district,year,case,fire_count
강북구,2019,실화,149.0
강북구,2020,기타,16.0
강북구,2020,방화,5.0
강북구,2020,소계,186.0
강북구,2020,실화,165.0
강북구,2021,기타,13.0
강북구,2021,방화,3.0
강북구,2021,소계,146.0
강북구,2021,실화,130.0
강북구,2022,기타,18.0
강북구,2022,방화,7.0
강북구,2022,소계,155.0
강북구,2022,실화,130.0
강북구,2023,기타,11.0
강북구,2023,방화,5.0
강북구,2023,소계,200.0
강북구,2023,실화,184.0
강서구,2006,기타,43.0
강서구,2006,방화,18.0
강서구,2006,소계,244.0
강서구,2006,실화,183.0
강서구,2007,기타,138.0
강서구,2007,방화,31.0
강서구,2007,소계,381.0
강서구,2007,실화,212.0
강서구,2008,기타,18.0
강서구,2008,방화,23.0
강서구,2008,소계,388.0
강서구,2008,실화,347.0
강서구,2009,기타,21.0
강서구,2009,방화,21.0
강서구,2009,소계,309.0
강서구,2009,실화,267.0
강서구,2010,기타,17.0
강서구,2010,방화,15.0
강서구,2010,소계,260.0
강서구,2010,실화,228.0
강서구,2011,기타,16.0
강서구,2011,방화,14.0
강서구,2011,소계,353.0
강서구,2011,실화,323.0
강서구,2012,기타,12.0
강서구,2012,방화,7.0
강서구,2012,소계,282.0
강서구,2012,실화,263.0
강서구,2013,기타,10.0
강서구,2013,방화,11.0
강서구,2013,소계,242.0
강서구,2013,실화,221.0
강서구,2014,기타,16.0
강서구,2014,방화,6.0
강서구,2014,소계,306.0
강서구,2014,실화,284.0
강서구,2015,기타,39.0
강서구,2015,방화,10.0
강서구,2015,소계,301.0
강서구,2015,실화,252.0
강서구,2016,기타,35.0
강서구,2016,방화,2.0
강서구,2016,소계,372.0
강서구,2016,실화,335.0
강서구,2017,기타,29.0
강서구,2017,방화,5.0
강서구,2017,소계,364.0
강서구,2017,실화,330.0
강서구,2018,기타,24.0
강서구,2018,방화,12.0
강서구,2018,소계,383.0
강서구,2018,실화,347.0
강서구,2019,기타,23.0
강서구,2019,방화,6.0
강서구,2019,소계,331.0
강서구,2019,실화,302.0
강서구,2020,기타,17.0
강서구,2020,방화,2.0
강서구,2020,소계,212.0
강서구,2020,실화,193.0
강서구,2021,기타,21.0
강서구,2021,방화,5.0
강서구,2021,소계,223.0
강서구,2021,실화,197.0
강서구,2022,기타,41.0
강서구,2022,방화,1.0
강서구,2022,소계,223.0
강서구,2022,실화,181.0
강서구,2023,기타,50.0
강서구,2023,방화,5.0
강서구,2023,소계,274.0
강서구,2023,실화,219.0
관악구,2006,기타,31.0
관악구,2006,방화,18.0
관악구,2006,소계,151.0
관악구,2006,실화,102.0
관악구,2007,기타,66.0
관악구,2007,방화,44.0
관악구,2007,소계,257.0
관악구,2007,실화,147.0
관악구,2008,기타,26.0
관악구,2008,방화,34.0
관악구,2008,소계,281.0
관악구,2008,실화,221.0
관악구,2009,기타,17.0
관악구,2009,방화,21.0
관악구,2009,소계,259.0
관악구,2009,실화,221.0
관악구,2010,기타,11.0
관악구,2010,방화,15.0
관악구,2010,소계,211.0
관악구,2010,실화,185.0
관악구,2011,기타,11.0
관악구,2011,방화,29.0
관악구,2011,소계,282.0
관악구,2011,실화,242.0
관악구,2012,기타,16.0
관악구,2012,방화,24.0
관악구,2012,소계,409.0
관악구,2012,실화,369.0
관악구,2013,기타,9.0
관악구,2013,방화,16.0
관악구,2013,소계,299.0
관악구,2013,실화,274.0
관악구,2014,기타,12.0
관악구,2014,방화,14.0
관악구,2014,소계,262.0
관악구,2014,실화,236.0
관악구,2015,기타,23.0
관악구,2015,방화,15.0
관악구,2015,소계,285.0
관악구,2015,실화,247.0
관악구,2016,기타,22.0
관악구,2016,방화,8.0
관악구,2016,소계,314.0
관악구,2016,실화,284.0
관악구,2017,기타,32.0
관악구,2017,방화,15.0
관악구,2017,소계,286.0
관악구,2017,실화,239.0
관악구,2018,기타,27.0
관악구,2018,방화,15.0
관악구,2018,소계,337.0
관악구,2018,실화,295.0
관악구,2019,기타,36.0
관악구,2019,방화,10.0
관악구,2019,소계,311.0
관악구,2019,실화,265.0
관악구,2020,기타,20.0
관악구,2020,방화,4.0
관악구,2020,소계,219.0
관악구,2020,실화,195.0
관악구,2021,기타,28.0
관악구,2021,방화,7.0
관악구,2021,소계,259.0
관악구,2021,실화,224.0
관악구,2022,기타,27.0
관악구,2022,방화,3.0
관악구,2022,소계,305.0
관악구,2022,실화,275.0
관악구,2023,기타,34.0
관악구,2023,방화,3.0
관악구,2023,소계,281.0
관악구,2023,실화,244.0
광진구,2006,기타,22.0
광진구,2006,방화,42.0
광진구,2006,소계,183.0
광진구,2006,실화,119.0
광진구,2007,기타,83.0
광진구,2007,방화,49.0
광진구,2007,소계,265.0
광진구,2007,실화,133.0
광진구,2008,기타,13.0
광진구,2008,방화,16.0
광진구,2008,소계,207.0
광진구,2008,실화,178.0
광진구,2009,기타,20.0
광진구,2009,방화,21.0
광진구,2009,소계,233.0
광진구,2009,실화,192.0
광진구,2010,기타,9.0
광진구,2010,방화,20.0
광진구,2010,소계,169.0
광진구,2010,실화,140.0
광진구,2011,기타,14.0
광진구,2011,방화,13.0
광진구,2011,소계,166.0
광진구,2011,실화,139.0
광진구,2012,기타,20.0
광진구,2012,방화,13.0
광진구,2012,소계,217.0
광진구,2012,실화,184.0
광진구,2013,기타,11.0
광진구,2013,방화,7.0
광진구,2013,소계,214.0
광진구,2013,실화,196.0
광진구,2014,기타,13.0
광진구,2014,방화,10.0
광진구,2014,소계,244.0
광진구,2014,실화,221.0
광진구,2015,기타,19.0
광진구,2015,방화,4.0
광진구,2015,소계,241.0
광진구,2015,실화,218.0
광진구,2016,기타,27.0
광진구,2016,방화,2.0
광진구,2016,소계,215.0
광진구,2016,실화,186.0
광진구,2017,기타,9.0
광진구,2017,방화,3.0
광진구,2017,소계,200.0
광진구,2017,실화,188.0
광진구,2018,기타,26.0
광진구,2018,방화,2.0
광진구,2018,소계,203.0
광진구,2018,실화,175.0
광진구,2019,기타,24.0
광진구,2019,방화,5.0
광진구,2019,소계,195.0
광진구,2019,실화,166.0
광진구,2020,기타,14.0
광진구,2020,방화,3.0
광진구,2020,소계,186.0
광진구,2020,실화,169.0
광진구,2021,기타,15.0
광진구,2021,방화,3.0
광진구,2021,소계,205.0
광진구,2021,실화,187.0
광진구,2022,기타,12.0
광진구,2022,방화,2.0
광진구,2022,소계,145.0
광진구,2022,실화,131.0
광진구,2023,기타,12.0
광진구,2023,방화,1.0
광진구,2023,소계,193.0
광진구,2023,실화,180.0
구로구,2006,기타,34.0
구로구,2006,방화,18.0
구로구,2006,소계,152.0
구로구,2006,실화,100.0
구로구,2007,기타,21.0
구로구,2007,방화,20.0
구로구,2007,소계,171.0
구로구,2007,실화,130.0
구로구,2008,기타,18.0
구로구,2008,방화,36.0
구로구,2008,소계,231.0
구로구,2008,실화,177.0
구로구,2009,기타,17.0
구로구,2009,방화,33.0
구로구,2009,소계,182.0
구로구,2009,실화,132.0
구로구,2010,기타,17.0
구로구,2010,방화,18.0
구로구,2010,소계,159.0
구로구,2010,실화,124.0
구로구,2011,기타,11.0
구로구,2011,방화,16.0
구로구,2011,소계,194.0
구로구,2011,실화,167.0
구로구,2012,기타,19.0
구로구,2012,방화,15.0
구로구,2012,소계,213.0
구로구,2012,실화,179.0
구로구,2013,기타,13.0
구로구,2013,방화,10.0
