구,연도,부상자수_월평균,발생건수_월평균
노원구,2022,159.42,115.33
노원구,2023,155.75,113.83
노원구,2024,143.08,107.33
노원구,2025,0.0,0.0
도봉구,2005,117.42,77.33
도봉구,2006,114.33,71.33
도봉구,2007,99.25,66.33
도봉구,2008,122.25,86.33
도봉구,2009,117.08,82.33
도봉구,2010,113.5,81.25
도봉구,2011,106.58,77.75
도봉구,2012,107.83,81.92
도봉구,2013,104.92,77.83
도봉구,2014,100.42,76.58
도봉구,2015,104.58,76.17
도봉구,2016,108.83,79.08
도봉구,2017,103.25,78.67
도봉구,2018,88.42,68.67
도봉구,2019,96.92,71.0
도봉구,2020,82.5,61.75
도봉구,2021,64.0,49.25
도봉구,2022,58.75,43.5
도봉구,2023,57.08,44.17
도봉구,2024,55.92,43.5
도봉구,2025,0.0,0.0
동대문구,2005,207.42,141.67
동대문구,2006,201.25,145.67
동대문구,2007,203.0,146.42
동대문구,2008,198.08,139.83
동대문구,2009,217.92,165.25
동대문구,2010,207.0,152.83
동대문구,2011,202.58,148.08
동대문구,2012,209.25,156.75
동대문구,2013,210.33,164.17
동대문구,2014,200.58,154.0
동대문구,2015,227.58,173.75
동대문구,2016,219.08,170.92
동대문구,2017,178.25,143.17
동대문구,2018,180.0,141.58
동대문구,2019,165.67,130.42
동대문구,2020,153.75,120.67
동대문구,2021,138.0,115.83
동대문구,2022,153.58,127.83
동대문구,2023,169.92,139.5
동대문구,2024,158.83,126.67
동대문구,2025,0.0,0.0
동작구,2005,149.17,99.42
동작구,2006,135.08,87.58
동작구,2007,137.08,90.5
동작구,2008,119.67,80.75
동작구,2009,150.08,102.75
동작구,2010,132.83,94.25
동작구,2011,139.67,99.33
동작구,2012,142.25,104.83
동작구,2013,154.0,102.75
동작구,2014,158.42,116.58
동작구,2015,166.17,115.5
동작구,2016,169.0,122.58
동작구,2017,170.25,117.42
동작구,2018,157.67,117.67
동작구,2019,168.42,117.17
동작구,2020,151.58,108.92
동작구,2021,126.67,95.67
동작구,2022,137.58,101.42
동작구,2023,139.0,103.5
동작구,2024,134.58,102.5
동작구,2025,0.0,0.0
마포구,2005,209.75,129.33
마포구,2006,202.42,132.42
마포구,2007,186.75,119.92
마포구,2008,212.0,139.42
마포구,2009,210.5,138.17
마포구,2010,224.75,143.83
마포구,2011,210.83,135.25
마포구,2012,196.92,130.08
마포구,2013,227.67,145.58
마포구,2014,219.42,146.58
마포구,2015,227.5,150.17
마포구,2016,217.08,147.33
마포구,2017,232.75,154.92
마포구,2018,202.42,139.25
마포구,2019,176.92,124.5
마포구,2020,146.17,106.0
마포구,2021,131.08,91.83
마포구,2022,123.58,88.75
마포구,2023,142.92,104.17
마포구,2024,136.75,100.08
마포구,2025,0.0,0.0
서대문구,2005,132.42,87.42
서대문구,2006,112.08,77.92
서대문구,2007,126.08,85.92
서대문구,2008,127.5,90.08
서대문구,2009,150.92,102.58
서대문구,2010,143.25,95.08
서대문구,2011,124.67,88.42
서대문구,2012,137.08,86.75
서대문구,2013,131.5,90.08
서대문구,2014,132.5,93.5
서대문구,2015,124.33,89.25
서대문구,2016,130.5,94.58
서대문구,2017,119.17,86.0
서대문구,2018,116.92,86.08
서대문구,2019,134.08,92.75
서대문구,2020,104.67,77.33
서대문구,2021,100.5,77.5
서대문구,2022,108.58,81.17
서대문구,2023,101.67,76.33
서대문구,2024,92.08,68.17
서대문구,2025,0.0,0.0
서초구,2005,208.42,130.92
서초구,2006,215.0,135.42
서초구,2007,239.25,148.67
서초구,2008,276.0,165.42
서초구,2009,297.5,185.67
서초구,2010,281.0,179.33
서초구,2011,265.75,170.67
서초구,2012,267.83,174.17
서초구,2013,275.33,171.25
서초구,2014,287.17,184.75
서초구,2015,279.83,180.0
서초구,2016,289.42,192.75
서초구,2017,295.67,196.75
서초구,2018,303.33,206.5
서초구,2019,294.17,201.5
서초구,2020,256.25,187.5
서초구,2021,244.33,176.5
서초구,2022,282.58,188.67
서초구,2023,276.58,180.67
서초구,2024,246.58,168.92
서초구,2025,0.0,0.0
성동구,2005,133.0,95.5
성동구,2006,129.67,87.92
성동구,2007,139.58,98.92
성동구,2008,134.67,95.08
성동구,2009,145.42,105.92
성동구,2010,127.33,91.42
성동구,2011,133.58,96.17
성동구,2012,116.67,82.17
성동구,2013,121.5,91.67
성동구,2014,142.67,99.08
성동구,2015,143.75,102.25
성동구,2016,128.42,91.58
성동구,2017,125.08,89.67
성동구,2018,130.08,95.25
성동구,2019,119.92,90.92
성동구,2020,123.42,93.25
성동구,2021,113.5,88.08
성동구,2022,101.83,79.0
성동구,2023,101.75,76.58
성동구,2024,96.25,76.58
성동구,2025,0.0,0.0
성북구,2005,187.58,129.17
성북구,2006,187.33,130.33
성북구,2007,161.92,115.92
성북구,2008,208.83,148.42
성북구,2009,218.08,158.75
성북구,2010,183.08,134.25
성북구,2011,175.25,130.75
성북구,2012,171.25,131.0
성북구,2013,179.08,128.0
성북구,2014,185.58,138.67
성북구,2015,190.5,140.0
성북구,2016,175.5,134.83
성북구,2017,172.33,129.75
성북구,2018,165.0,118.92
성북구,2019,167.25,125.75
성북구,2020,135.17,106.25
성북구,2021,133.83,107.08
성북구,2022,135.5,107.33
성북구,2023,131.75,104.67
성북구,2024,135.67,107.17
성북구,2025,0.0,0.0
송파구,2005,308.83,209.0
송파구,2006,310.0,207.25
송파구,2007,300.75,207.58
송파구,2008,327.08,218.5
송파구,2009,340.33,228.25
송파구,2010,311.83,214.42
송파구,2011,302.67,212.83
송파구,2012,338.33,237.0
송파구,2013,296.33,206.08
송파구,2014,302.92,217.33
송파구,2015,313.58,223.92
송파구,2016,303.83,216.5
송파구,2017,317.08,229.83
송파구,2018,327.67,238.33
송파구,2019,333.58,241.0
송파구,2020,292.42,216.25
송파구,2021,292.42,217.25
송파구,2022,299.5,215.08
송파구,2023,300.25,217.83
송파구,2024,285.33,208.33
송파구,2025,0.0,0.0
양천구,2005,154.08,108.67
양천구,2006,156.5,106.08
양천구,2007,144.75,98.75
양천구,2008,176.83,127.75
양천구,2009,201.08,144.33
양천구,2010,172.5,121.92
양천구,2011,167.17,120.33
양천구,2012,169.67,118.17
양천구,2013,158.75,111.67
양천구,2014,166.67,122.17
양천구,2015,185.92,133.0
양천구,2016,171.33,124.42
양천구,2017,149.08,111.92
양천구,2018,161.58,119.0
양천구,2019,173.75,125.5
양천구,2020,152.42,112.0
양천구,2021,141.0,108.75
양천구,2022,127.42,97.08
양천구,2023,135.33,101.75
양천구,2024,140.75,106.17
양천구,2025,0.0,0.0
영등포구,2005,273.42,182.17
영등포구,2006,266.92,180.5
영등포구,2007,271.83,183.08
영등포구,2008,275.75,184.25
영등포구,2009,287.33,194.67
영등포구,2010,279.0,187.75
영등포구,2011,277.17,192.5
영등포구,2012,267.17,181.58
영등포구,2013,260.67,179.75
영등포구,2014,260.67,182.75
영등포구,2015,297.0,205.17
영등포구,2016,289.42,200.25
영등포구,2017,293.25,198.83
영등포구,2018,294.33,207.75
영등포구,2019,287.58,203.25
영등포구,2020,258.5,184.0
영등포구,2021,247.25,181.5
영등포구,2022,225.58,166.5
영등포구,2023,218.25,158.33
영등포구,2024,220.25,162.33
영등포구,2025,0.0,0.0
용산구,2005,175.92,113.33
용산구,2006,169.5,110.75
용산구,2007,169.75,107.25
용산구,2008,150.42,102.75
용산구,2009,160.58,112.08
용산구,2010,144.83,103.75
용산구,2011,142.0,97.5
용산구,2012,150.75,100.25
용산구,2013,168.58,115.92
용산구,2014,164.25,112.5
용산구,2015,175.83,126.33
용산구,2016,172.42,119.0
용산구,2017,162.42,111.42
용산구,2018,154.33,110.83
용산구,2019,134.5,98.92
용산구,2020,98.17,74.17
용산구,2021,114.08,84.5
용산구,2022,110.83,84.5
용산구,2023,113.83,83.0
용산구,2024,97.83,72.33
용산구,2025,0.0,0.0
은평구,2005,162.5,114.42
은평구,2006,163.67,115.92
은평구,2007,153.92,109.58
은평구,2008,180.0,133.0
은평구,2009,198.25,144.92
은평구,2010,176.67,126.17
은평구,2011,171.5,125.75
은평구,2012,183.08,126.58
은평구,2013,143.0,105.83
은평구,2014,157.42,110.42
은평구,2015,139.42,100.25
은평구,2016,126.5,93.42
은평구,2017,124.08,88.92
은평구,2018,131.67,94.5
은평구,2019,122.0,93.25
은평구,2020,117.92,79.42
은평구,2021,101.5,72.25
은평구,2022,104.67,76.5
은평구,2023,112.75,86.58
은평구,2024,131.17,101.5
은평구,2025,0.0,0.0
종로구,2005,182.08,125.17
종로구,2006,173.17,113.42
종로구,2007,193.92,132.5
종로구,2008,179.58,130.42
종로구,2009,184.25,131.58
종로구,2010,167.42,119.67
종로구,2011,166.17,118.42
종로구,2012,166.17,114.5
종로구,2013,147.5,106.17
종로구,2014,149.17,109.5
종로구,2015,161.08,117.83
종로구,2016,145.67,108.25
종로구,2017,140.75,99.17
종로구,2018,128.83,94.5
종로구,2019,129.92,94.42
종로구,2020,102.0,75.25
종로구,2021,87.5,64.83
종로구,2022,112.58,81.17
종로구,2023,110.92,82.33
종로구,2024,104.42,76.42
종로구,2025,0.0,0.0
중구,2005,154.75,111.08
중구,2006,160.58,115.67
중구,2007,162.0,117.67
중구,2008,163.5,119.58
중구,2009,173.17,128.25
중구,2010,179.33,128.33
중구,2011,168.75,124.75
중구,2012,168.17,121.5
중구,2013,164.58,120.17
중구,2014,148.75,108.75
중구,2015,150.25,111.5
중구,2016,143.0,107.33
중구,2017,140.33,104.33
중구,2018,125.5,94.0
중구,2019,134.58,98.67
중구,2020,104.0,79.58
중구,2021,96.33,71.17
중구,2022,101.0,78.58
중구,2023,99.5,77.58
중구,2024,103.0,81.33
중구,2025,0.0,0.0
중랑구,2005,228.25,154.17
중랑구,2006,218.08,152.0
중랑구,2007,251.83,172.58
중랑구,2008,231.92,169.92
중랑구,2009,235.42,169.33
중랑구,2010,236.75,173.33
중랑구,2011,198.83,148.5
중랑구,2012,200.08,146.08
중랑구,2013,197.42,143.0
중랑구,2014,181.67,135.17
중랑구,2015,189.08,143.5
중랑구,2016,169.17,127.92
중랑구,2017,185.67,136.58
중랑구,2018,177.92,130.42
중랑구,2019,176.83,135.0
중랑구,2020,162.67,120.58
중랑구,2021,152.17,114.42
중랑구,2022,157.5,116.75
중랑구,2023,142.0,105.67
중랑구,2024,135.25,99.92
중랑구,2025,0.0,0.0
