구,연월,거주인구
강남구,2008-08,569327.0
송파구,2008-08,651323.0
강동구,2008-08,470388.0
종로구,2008-09,179330.0
중구,2008-09,139438.0
용산구,2008-09,250775.0
성동구,2008-09,330698.0
광진구,2008-09,388527.0
동대문구,2008-09,384543.0
중랑구,2008-09,433442.0
성북구,2008-09,480956.0
강북구,2008-09,346187.0
도봉구,2008-09,377399.0
노원구,2008-09,621468.0
은평구,2008-09,462078.0
서대문구,2008-09,345435.0
마포구,2008-09,395018.0
양천구,2008-09,508337.0
강서구,2008-09,582538.0
구로구,2008-09,449854.0
금천구,2008-09,266084.0
영등포구,2008-09,444906.0
동작구,2008-09,412675.0
관악구,2008-09,554506.0
서초구,2008-09,412369.0
강남구,2008-09,569327.0
송파구,2008-09,651323.0
강동구,2008-09,470388.0
종로구,2008-10,179754.0
중구,2008-10,138811.0
용산구,2008-10,251043.0
성동구,2008-10,322679.0
광진구,2008-10,387254.0
동대문구,2008-10,381663.0
중랑구,2008-10,432845.0
성북구,2008-10,481419.0
강북구,2008-10,345754.0
도봉구,2008-10,376698.0
노원구,2008-10,620808.0
은평구,2008-10,463364.0
서대문구,2008-10,340731.0
마포구,2008-10,393241.0
양천구,2008-10,507899.0
강서구,2008-10,583545.0
구로구,2008-10,448696.0
금천구,2008-10,265244.0
영등포구,2008-10,443537.0
동작구,2008-10,410934.0
관악구,2008-10,551873.0
서초구,2008-10,412065.0
강남구,2008-10,565624.0
송파구,2008-10,676580.0
강동구,2008-10,473973.0
종로구,2008-11,179754.0
중구,2008-11,138811.0
용산구,2008-11,251043.0
성동구,2008-11,322679.0
광진구,2008-11,387254.0
동대문구,2008-11,381663.0
중랑구,2008-11,432845.0
성북구,2008-11,481419.0
강북구,2008-11,345754.0
도봉구,2008-11,376698.0
노원구,2008-11,620808.0
은평구,2008-11,463364.0
서대문구,2008-11,340731.0
마포구,2008-11,393241.0
양천구,2008-11,507899.0
강서구,2008-11,583545.0
구로구,2008-11,448696.0
금천구,2008-11,265244.0
영등포구,2008-11,443537.0
동작구,2008-11,410934.0
관악구,2008-11,551873.0
서초구,2008-11,412065.0
강남구,2008-11,565624.0
송파구,2008-11,676580.0
강동구,2008-11,473973.0
종로구,2008-12,179754.0
중구,2008-12,138811.0
용산구,2008-12,251043.0
성동구,2008-12,322679.0
광진구,2008-12,387254.0
동대문구,2008-12,381663.0
중랑구,2008-12,432845.0
성북구,2008-12,481419.0
강북구,2008-12,345754.0
도봉구,2008-12,376698.0
노원구,2008-12,620808.0
은평구,2008-12,463364.0
서대문구,2008-12,340731.0
마포구,2008-12,393241.0
양천구,2008-12,507899.0
강서구,2008-12,583545.0
구로구,2008-12,448696.0
금천구,2008-12,265244.0
영등포구,2008-12,443537.0
동작구,2008-12,410934.0
관악구,2008-12,551873.0
서초구,2008-12,412065.0
강남구,2008-12,565624.0
송파구,2008-12,676580.0
강동구,2008-12,473973.0
종로구,2009-01,179661.0
중구,2009-01,139047.0
용산구,2009-01,252120.0
성동구,2009-01,320180.0
광진구,2009-01,388376.0
동대문구,2009-01,382646.0
중랑구,2009-01,432565.0
성북구,2009-01,483393.0
강북구,2009-01,345346.0
도봉구,2009-01,376087.0
노원구,2009-01,620295.0
은평구,2009-01,467701.0
서대문구,2009-01,338784.0
마포구,2009-01,394204.0
양천구,2009-01,508403.0
강서구,2009-01,584728.0
구로구,2009-01,449603.0
금천구,2009-01,266505.0
영등포구,2009-01,445945.0
동작구,2009-01,411960.0
관악구,2009-01,552895.0
서초구,2009-01,418726.0
강남구,2009-01,568035.0
송파구,2009-01,688823.0
강동구,2009-01,476148.0
종로구,2009-02,179661.0
중구,2009-02,139047.0
용산구,2009-02,252120.0
성동구,2009-02,320180.0
광진구,2009-02,388376.0
동대문구,2009-02,382646.0
중랑구,2009-02,432565.0
성북구,2009-02,483393.0
강북구,2009-02,345346.0
도봉구,2009-02,376087.0
노원구,2009-02,620295.0
은평구,2009-02,467701.0
서대문구,2009-02,338784.0
마포구,2009-02,394204.0
양천구,2009-02,508403.0
강서구,2009-02,584728.0
구로구,2009-02,449603.0
금천구,2009-02,266505.0
영등포구,2009-02,445945.0
동작구,2009-02,411960.0
관악구,2009-02,552895.0
서초구,2009-02,418726.0
강남구,2009-02,568035.0
송파구,2009-02,688823.0
강동구,2009-02,476148.0
종로구,2009-03,179661.0
중구,2009-03,139047.0
용산구,2009-03,252120.0
성동구,2009-03,320180.0
광진구,2009-03,388376.0
동대문구,2009-03,382646.0
중랑구,2009-03,432565.0
성북구,2009-03,483393.0
강북구,2009-03,345346.0
도봉구,2009-03,376087.0
노원구,2009-03,620295.0
은평구,2009-03,467701.0
서대문구,2009-03,338784.0
마포구,2009-03,394204.0
양천구,2009-03,508403.0
강서구,2009-03,584728.0
구로구,2009-03,449603.0
금천구,2009-03,266505.0
영등포구,2009-03,445945.0
동작구,2009-03,411960.0
관악구,2009-03,552895.0
서초구,2009-03,418726.0
강남구,2009-03,568035.0
송파구,2009-03,688823.0
강동구,2009-03,476148.0
종로구,2009-04,178569.0
중구,2009-04,138531.0
용산구,2009-04,251710.0
성동구,2009-04,318706.0
광진구,2009-04,387637.0
동대문구,2009-04,379406.0
중랑구,2009-04,431988.0
성북구,2009-04,483844.0
강북구,2009-04,345090.0
도봉구,2009-04,374958.0
노원구,2009-04,618837.0
은평구,2009-04,469976.0
서대문구,2009-04,337471.0
마포구,2009-04,394026.0
양천구,2009-04,508188.0
강서구,2009-04,584691.0
구로구,2009-04,450249.0
금천구,2009-04,265905.0
영등포구,2009-04,444854.0
동작구,2009-04,411575.0
관악구,2009-04,552354.0
서초구,2009-04,421209.0
강남구,2009-04,568573.0
송파구,2009-04,690103.0
강동구,2009-04,481261.0
종로구,2009-05,178569.0
중구,2009-05,138531.0
용산구,2009-05,251710.0
성동구,2009-05,318706.0
광진구,2009-05,387637.0
동대문구,2009-05,379406.0
중랑구,2009-05,431988.0
성북구,2009-05,483844.0
강북구,2009-05,345090.0
도봉구,2009-05,374958.0
노원구,2009-05,618837.0
은평구,2009-05,469976.0
서대문구,2009-05,337471.0
마포구,2009-05,394026.0
양천구,2009-05,508188.0
강서구,2009-05,584691.0
구로구,2009-05,450249.0
금천구,2009-05,265905.0
영등포구,2009-05,444854.0
동작구,2009-05,411575.0
관악구,2009-05,552354.0
서초구,2009-05,421209.0
강남구,2009-05,568573.0
송파구,2009-05,690103.0
강동구,2009-05,481261.0
종로구,2009-06,178569.0
중구,2009-06,138531.0
용산구,2009-06,251710.0
성동구,2009-06,318706.0
광진구,2009-06,387637.0
동대문구,2009-06,379406.0
중랑구,2009-06,431988.0
성북구,2009-06,483844.0
강북구,2009-06,345090.0
도봉구,2009-06,374958.0
노원구,2009-06,618837.0
은평구,2009-06,469976.0
서대문구,2009-06,337471.0
마포구,2009-06,394026.0
양천구,2009-06,508188.0
강서구,2009-06,584691.0
구로구,2009-06,450249.0
금천구,2009-06,265905.0
영등포구,2009-06,444854.0
동작구,2009-06,411575.0
관악구,2009-06,552354.0
서초구,2009-06,421209.0
강남구,2009-06,568573.0
송파구,2009-06,690103.0
강동구,2009-06,481261.0
종로구,2009-07,178352.0
중구,2009-07,138035.0
용산구,2009-07,251528.0
성동구,2009-07,317670.0
광진구,2009-07,386990.0
동대문구,2009-07,377017.0
중랑구,2009-07,431469.0
성북구,2009-07,484380.0
강북구,2009-07,345020.0
도봉구,2009-07,373926.0
노원구,2009-07,617333.0
은평구,2009-07,470324.0
서대문구,2009-07,337892.0
마포구,2009-07,393803.0
양천구,2009-07,508329.0
강서구,2009-07,581817.0
구로구,2009-07,449866.0
금천구,2009-07,264473.0
영등포구,2009-07,443143.0
동작구,2009-07,410198.0
관악구,2009-07,550419.0
서초구,2009-07,429038.0
강남구,2009-07,569960.0
송파구,2009-07,689885.0
강동구,2009-07,487460.0
종로구,2009-08,178352.0
중구,2009-08,138035.0
용산구,2009-08,251528.0
성동구,2009-08,317670.0
광진구,2009-08,386990.0
동대문구,2009-08,377017.0
중랑구,2009-08,431469.0
성북구,2009-08,484380.0
강북구,2009-08,345020.0
도봉구,2009-08,373926.0
노원구,2009-08,617333.0
은평구,2009-08,470324.0
서대문구,2009-08,337892.0
마포구,2009-08,393803.0
양천구,2009-08,508329.0
강서구,2009-08,581817.0
구로구,2009-08,449866.0
금천구,2009-08,264473.0
영등포구,2009-08,443143.0
동작구,2009-08,410198.0
관악구,2009-08,550419.0
서초구,2009-08,429038.0
강남구,2009-08,569960.0
송파구,2009-08,689885.0
강동구,2009-08,487460.0
종로구,2009-09,178352.0
중구,2009-09,138035.0
용산구,2009-09,251528.0
성동구,2009-09,317670.0
광진구,2009-09,386990.0
동대문구,2009-09,377017.0
중랑구,2009-09,431469.0
성북구,2009-09,484380.0
강북구,2009-09,345020.0
도봉구,2009-09,373926.0
노원구,2009-09,617333.0
은평구,2009-09,470324.0
서대문구,2009-09,337892.0
마포구,2009-09,393803.0
양천구,2009-09,508329.0
강서구,2009-09,581817.0
구로구,2009-09,449866.0
금천구,2009-09,264473.0
영등포구,2009-09,443143.0
동작구,2009-09,410198.0
관악구,2009-09,550419.0
서초구,2009-09,429038.0
강남구,2009-09,569960.0
송파구,2009-09,689885.0
강동구,2009-09,487460.0
종로구,2009-10,177543.0
중구,2009-10,137861.0
용산구,2009-10,251200.0
성동구,2009-10,316064.0
광진구,2009-10,386513.0
동대문구,2009-10,374277.0
중랑구,2009-10,429700.0
성북구,2009-10,484457.0
강북구,2009-10,343912.0
도봉구,2009-10,372398.0
노원구,2009-10,615161.0
