district,metric,year,weather,count
종로구,발생건수 (건),2013,안개,1
종로구,발생건수 (건),2013,흐림,81
종로구,발생건수 (건),2014,눈,8
종로구,발생건수 (건),2014,맑음,1176
종로구,발생건수 (건),2014,비,85
종로구,발생건수 (건),2014,안개,-
종로구,발생건수 (건),2014,흐림,44
종로구,발생건수 (건),2015,눈,3
종로구,발생건수 (건),2015,맑음,1232
종로구,발생건수 (건),2015,비,125
종로구,발생건수 (건),2015,안개,-
종로구,발생건수 (건),2015,흐림,54
종로구,발생건수 (건),2016,눈,2
종로구,발생건수 (건),2016,맑음,1151
종로구,발생건수 (건),2016,비,84
종로구,발생건수 (건),2016,안개,1
종로구,발생건수 (건),2016,흐림,61
종로구,발생건수 (건),2017,눈,9
종로구,발생건수 (건),2017,맑음,1083
종로구,발생건수 (건),2017,비,56
종로구,발생건수 (건),2017,안개,-
종로구,발생건수 (건),2017,흐림,42
종로구,발생건수 (건),2018,눈,8
종로구,발생건수 (건),2018,맑음,1025
종로구,발생건수 (건),2018,비,69
종로구,발생건수 (건),2018,안개,-
종로구,발생건수 (건),2018,흐림,32
종로구,발생건수 (건),2019,눈,-
종로구,발생건수 (건),2019,맑음,1052
종로구,발생건수 (건),2019,비,48
종로구,발생건수 (건),2019,안개,-
종로구,발생건수 (건),2019,흐림,32
종로구,발생건수 (건),2020,눈,2
종로구,발생건수 (건),2020,맑음,804
종로구,발생건수 (건),2020,비,67
종로구,발생건수 (건),2020,안개,-
종로구,발생건수 (건),2020,흐림,28
종로구,발생건수 (건),2021,눈,3
종로구,발생건수 (건),2021,맑음,691
종로구,발생건수 (건),2021,비,47
종로구,발생건수 (건),2021,안개,-
종로구,발생건수 (건),2021,흐림,29
종로구,발생건수 (건),2022,눈,2
종로구,발생건수 (건),2022,맑음,867
종로구,발생건수 (건),2022,비,49
종로구,발생건수 (건),2022,안개,-
종로구,발생건수 (건),2022,흐림,53
종로구,발생건수 (건),2023,눈,3
종로구,발생건수 (건),2023,맑음,890
종로구,발생건수 (건),2023,비,61
종로구,발생건수 (건),2023,안개,-
종로구,발생건수 (건),2023,흐림,24
종로구,사망자 (명),2013,눈,-
종로구,사망자 (명),2013,맑음,11
종로구,사망자 (명),2013,비,1
종로구,사망자 (명),2013,안개,-
종로구,사망자 (명),2013,흐림,1
종로구,사망자 (명),2014,눈,-
종로구,사망자 (명),2014,맑음,10
종로구,사망자 (명),2014,비,-
종로구,사망자 (명),2014,안개,-
종로구,사망자 (명),2014,흐림,1
종로구,사망자 (명),2015,눈,-
종로구,사망자 (명),2015,맑음,8
종로구,사망자 (명),2015,비,-
종로구,사망자 (명),2015,안개,-
종로구,사망자 (명),2015,흐림,-
종로구,사망자 (명),2016,눈,-
종로구,사망자 (명),2016,맑음,3
종로구,사망자 (명),2016,비,3
종로구,사망자 (명),2016,안개,-
종로구,사망자 (명),2016,흐림,3
종로구,사망자 (명),2017,눈,-
종로구,사망자 (명),2017,맑음,11
종로구,사망자 (명),2017,비,1
종로구,사망자 (명),2017,안개,-
종로구,사망자 (명),2017,흐림,1
종로구,사망자 (명),2018,눈,-
종로구,사망자 (명),2018,맑음,6
종로구,사망자 (명),2018,비,-
종로구,사망자 (명),2018,안개,-
종로구,사망자 (명),2018,흐림,-
종로구,사망자 (명),2019,눈,-
종로구,사망자 (명),2019,맑음,6
종로구,사망자 (명),2019,비,-
종로구,사망자 (명),2019,안개,-
종로구,사망자 (명),2019,흐림,-
종로구,사망자 (명),2020,눈,-
종로구,사망자 (명),2020,맑음,5
종로구,사망자 (명),2020,비,-
종로구,사망자 (명),2020,안개,-
종로구,사망자 (명),2020,흐림,-
종로구,사망자 (명),2021,눈,-
