연월,구,대중교통_승객_수
2022-02-01,종로구,9976154
2022-02-01,용산구,5434982
2022-02-01,영등포구,10298645
2022-02-01,은평구,7320659
2022-02-01,송파구,10888854
2022-02-01,성북구,7517774
2022-02-01,성동구,6298250
2022-02-01,서초구,12692552
2022-02-01,양천구,5527752
2022-03-01,구로구,8246618
2022-03-01,도봉구,4972557
2022-03-01,노원구,8166223
2022-03-01,금천구,4867171
2022-03-01,광진구,7179672
2022-03-01,강남구,18606228
2022-03-01,강서구,9222133
2022-03-01,강북구,6660676
2022-03-01,강동구,6222442
2022-03-01,동대문구,7286083
2022-03-01,관악구,13177977
2022-03-01,동작구,8524354
2022-03-01,마포구,11161038
