district,year,weather,발생건수,사상자수
강서구,2022,비,84.0,110.0
강서구,2022,흐림,41.0,57.0
강서구,2023,눈,3.0,3.0
강서구,2023,맑음,1350.0,1866.0
강서구,2023,비,95.0,144.0
강서구,2023,흐림,34.0,51.0
관악구,2013,눈,8.0,12.0
관악구,2013,맑음,1489.0,2066.0
관악구,2013,비,128.0,236.0
관악구,2013,흐림,72.0,117.0
관악구,2014,눈,14.0,18.0
관악구,2014,맑음,1434.0,1955.0
관악구,2014,비,103.0,157.0
관악구,2014,흐림,56.0,77.0
관악구,2015,눈,11.0,15.0
관악구,2015,맑음,1424.0,1857.0
관악구,2015,비,107.0,154.0
관악구,2015,흐림,44.0,73.0
관악구,2016,눈,5.0,5.0
관악구,2016,맑음,1216.0,1641.0
관악구,2016,비,68.0,105.0
관악구,2016,흐림,37.0,49.0
관악구,2017,눈,9.0,11.0
관악구,2017,맑음,1150.0,1521.0
관악구,2017,비,37.0,57.0
관악구,2017,흐림,37.0,53.0
관악구,2018,눈,5.0,5.0
관악구,2018,맑음,1091.0,1436.0
관악구,2018,비,91.0,124.0
관악구,2018,흐림,37.0,63.0
관악구,2019,눈,4.0,4.0
관악구,2019,맑음,1175.0,1514.0
관악구,2019,비,96.0,127.0
관악구,2019,흐림,34.0,41.0
관악구,2020,눈,5.0,5.0
관악구,2020,맑음,1128.0,1436.0
관악구,2020,비,99.0,123.0
관악구,2020,흐림,89.0,111.0
관악구,2021,눈,16.0,19.0
관악구,2021,맑음,1175.0,1508.0
관악구,2021,비,94.0,127.0
관악구,2021,흐림,92.0,122.0
관악구,2022,눈,4.0,6.0
관악구,2022,맑음,1017.0,1356.0
관악구,2022,비,73.0,85.0
관악구,2022,흐림,66.0,81.0
관악구,2023,눈,3.0,3.0
관악구,2023,맑음,806.0,1044.0
관악구,2023,비,61.0,77.0
관악구,2023,흐림,88.0,113.0
광진구,2013,눈,5.0,7.0
광진구,2013,맑음,1155.0,1712.0
광진구,2013,비,96.0,141.0
광진구,2013,흐림,36.0,52.0
광진구,2014,눈,10.0,15.0
광진구,2014,맑음,1347.0,1896.0
광진구,2014,비,72.0,113.0
광진구,2014,흐림,47.0,65.0
광진구,2015,눈,2.0,2.0
광진구,2015,맑음,1127.0,1596.0
광진구,2015,비,76.0,113.0
광진구,2015,흐림,27.0,47.0
광진구,2016,눈,4.0,5.0
광진구,2016,맑음,916.0,1278.0
광진구,2016,비,73.0,106.0
광진구,2016,흐림,44.0,76.0
광진구,2017,눈,4.0,8.0
광진구,2017,맑음,965.0,1328.0
광진구,2017,비,46.0,57.0
광진구,2017,흐림,22.0,34.0
광진구,2018,눈,6.0,13.0
광진구,2018,맑음,981.0,1296.0
광진구,2018,비,77.0,109.0
