동별,연도,거주인구
서대문구,2023,3857100
서대문구,2024,3836277
서대문구,2025,954255
서초구,2008,4947687
서초구,2009,5100312
서초구,2010,5219421
서초구,2011,5268897
서초구,2012,5292024
서초구,2013,5328330
서초구,2014,5411952
서초구,2015,5427021
서초구,2016,5407419
서초구,2017,5372472
서초구,2018,5306565
서초구,2019,5229009
서초구,2020,5180649
서초구,2021,5050467
서초구,2022,4928004
서초구,2023,4921728
서초구,2024,4949763
서초구,2025,1238145
성동구,2008,3990873
성동구,2009,3817860
성동구,2010,3785028
성동구,2011,3745791
성동구,2012,3690375
성동구,2013,3698400
성동구,2014,3668796
성동구,2015,3663585
성동구,2016,3668271
성동구,2017,3746157
성동구,2018,3792837
성동구,2019,3743604
성동구,2020,3645732
성동구,2021,3543000
성동구,2022,3478344
성동구,2023,3432339
성동구,2024,3395355
성동구,2025,843186
성북구,2008,5764308
성북구,2009,5808222
성북구,2010,5857884
성북구,2011,5960967
성북구,2012,5909436
성북구,2013,5861475
성북구,2014,5767956
성북구,2015,5674233
성북구,2016,5585889
성북구,2017,5502612
성북구,2018,5408976
성북구,2019,5433513
성북구,2020,5411247
성북구,2021,5308080
성북구,2022,5313249
성북구,2023,5283531
성북구,2024,5232288
성북구,2025,1300707
송파구,2008,7810929
송파구,2009,8274321
송파구,2010,8278989
송파구,2011,8303838
송파구,2012,8238162
송파구,2013,8098140
송파구,2014,8109561
송파구,2015,8046972
송파구,2016,7961604
송파구,2017,8024760
송파구,2018,8076732
송파구,2019,8215863
송파구,2020,8128647
송파구,2021,7981251
송파구,2022,8001780
송파구,2023,7944348
송파구,2024,7898190
송파구,2025,1962381
양천구,2008,6097434
양천구,2009,6094812
양천구,2010,6044808
양천구,2011,6055632
양천구,2012,6029544
양천구,2013,5981502
양천구,2014,5918736
양천구,2015,5879457
양천구,2016,5822928
양천구,2017,5729226
양천구,2018,5646609
양천구,2019,5573799
양천구,2020,5521185
양천구,2021,5439147
양천구,2022,5359188
양천구,2023,5291115
양천구,2024,5233761
양천구,2025,1298703
영등포구,2008,5323617
영등포구,2009,5327067
영등포구,2010,5289960
영등포구,2011,5335803
영등포구,2012,5185155
영등포구,2013,5088948
영등포구,2014,5066331
영등포구,2015,5044446
영등포구,2016,4948938
영등포구,2017,4829652
영등포구,2018,4847439
영등포구,2019,4836747
영등포구,2020,4869807
영등포구,2021,4824501
영등포구,2022,4790958
영등포구,2023,4781793
영등포구,2024,4771200
영등포구,2025,1190502
용산구,2008,3001917
용산구,2009,3019674
용산구,2010,3025203
용산구,2011,3109914
용산구,2012,3082428
용산구,2013,3040725
용산구,2014,3007251
용산구,2015,2988864
용산구,2016,2956950
용산구,2017,2927925
용산구,2018,2942499
용산구,2019,2941146
용산구,2020,2943375
용산구,2021,2878758
용산구,2022,2820504
용산구,2023,2767047
용산구,2024,2635344
용산구,2025,649611
은평구,2008,5526879
은평구,2009,5636349
은평구,2010,5770134
은평구,2011,5966655
은평구,2012,6065625
은평구,2013,6098457
은평구,2014,6061023
은평구,2015,6045429
은평구,2016,5986629
은평구,2017,5910972
은평구,2018,5864439
은평구,2019,5843109
은평구,2020,5808996
은평구,2021,5742450
은평구,2022,5694597
은평구,2023,5634255
은평구,2024,5613960
은평구,2025,1393398
종로구,2008,2141502
종로구,2009,2142375
종로구,2010,2122731
종로구,2011,2141415
종로구,2012,2100582
종로구,2013,2030355
종로구,2014,1996677
종로구,2015,1973556
종로구,2016,1956321
종로구,2017,1965714
종로구,2018,1962087
종로구,2019,1950165
종로구,2020,1924026
종로구,2021,1859340
종로구,2022,1833447
종로구,2023,1815423
종로구,2024,1801119
종로구,2025,448434
중구,2008,1666248
중구,2009,1660422
중구,2010,1663344
중구,2011,1694199
중구,2012,1714740
중구,2013,1669662
중구,2014,1642764
중구,2015,1621260
중구,2016,1612449
중구,2017,1604535
중구,2018,1624371
중구,2019,1635789
중구,2020,1627365
중구,2021,1589091
중구,2022,1574016
중구,2023,1581186
중구,2024,1579245
중구,2025,391254
중랑구,2008,5192808
중랑구,2009,5177166
중랑구,2010,5164542
중랑구,2011,5164476
중랑구,2012,5107572
중랑구,2013,5065806
중랑구,2014,5079408
중랑구,2015,5052579
중랑구,2016,5007117
중랑구,2017,4969860
중랑구,2018,4917159
중랑구,2019,4855950
중랑구,2020,4801932
중랑구,2021,4729560
중랑구,2022,4703991
중랑구,2023,4663962
중랑구,2024,4637085
중랑구,2025,1152960
