자치구,년월,버스승객수
중랑구,2024-02,3615942.0
중랑구,2024-03,4146370.0
중랑구,2024-04,4184762.0
중랑구,2024-05,4324557.0
중랑구,2024-06,4092745.0
중랑구,2024-07,4278562.0
중랑구,2024-08,4474005.0
중랑구,2024-09,4367611.0
중랑구,2024-10,4593114.0
중랑구,2024-11,4563803.0
중랑구,2024-12,4601624.0
중랑구,2025-01,3746106.0
중랑구,2025-02,4000595.0
중랑구,2025-03,4515057.0
중랑구,2025-04,839270.0
