연도,자치구,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수
2011,서초구,115.0,178.0,0.0
2011,성동구,37.0,55.0,0.0
2011,성북구,48.0,77.0,2.0
2011,송파구,74.0,106.0,3.0
2011,양천구,32.0,44.0,1.0
2011,영등포구,51.0,92.0,1.0
2011,용산구,53.0,85.0,0.0
2011,은평구,40.0,74.0,1.0
2011,종로구,28.0,44.0,2.0
2011,중구,32.0,43.0,4.0
2011,중랑구,50.0,71.0,1.0
2012,강남구,239.0,343.0,2.0
2012,강동구,49.0,71.0,0.0
2012,강북구,29.0,51.0,0.0
2012,강서구,61.0,104.0,2.0
2012,관악구,40.0,65.0,0.0
2012,광진구,76.0,129.0,0.0
2012,구로구,74.0,127.0,1.0
2012,금천구,25.0,40.0,2.0
2012,노원구,43.0,66.0,0.0
2012,도봉구,29.0,42.0,0.0
2012,동대문구,56.0,90.0,0.0
2012,동작구,59.0,84.0,1.0
2012,마포구,74.0,111.0,1.0
2012,서대문구,40.0,62.0,0.0
2012,서초구,98.0,155.0,0.0
2012,성동구,23.0,35.0,0.0
2012,성북구,39.0,73.0,0.0
2012,송파구,119.0,186.0,0.0
2012,양천구,38.0,65.0,0.0
2012,영등포구,77.0,130.0,1.0
2012,용산구,49.0,82.0,0.0
2012,은평구,22.0,29.0,2.0
2012,종로구,36.0,57.0,0.0
2012,중구,32.0,49.0,0.0
2012,중랑구,47.0,77.0,1.0
2013,강남구,143.0,234.0,3.0
2013,강동구,42.0,63.0,0.0
2013,강북구,25.0,39.0,1.0
2013,강서구,55.0,96.0,2.0
2013,관악구,33.0,59.0,1.0
2013,광진구,44.0,70.0,0.0
2013,구로구,39.0,62.0,0.0
2013,금천구,31.0,41.0,0.0
2013,노원구,29.0,41.0,0.0
2013,도봉구,23.0,37.0,0.0
2013,동대문구,44.0,61.0,2.0
2013,동작구,33.0,62.0,0.0
2013,마포구,83.0,120.0,1.0
2013,서대문구,30.0,51.0,0.0
2013,서초구,87.0,138.0,0.0
2013,성동구,25.0,29.0,0.0
2013,성북구,43.0,59.0,1.0
2013,송파구,81.0,115.0,1.0
2013,양천구,22.0,38.0,1.0
2013,영등포구,47.0,86.0,0.0
2013,용산구,63.0,88.0,1.0
2013,은평구,22.0,38.0,1.0
2013,종로구,25.0,36.0,0.0
2013,중구,26.0,40.0,0.0
2013,중랑구,31.0,52.0,0.0
2014,강남구,139.0,212.0,0.0
2014,강동구,50.0,88.0,0.0
2014,강북구,22.0,35.0,1.0
2014,강서구,37.0,53.0,1.0
2014,관악구,33.0,54.0,0.0
2014,광진구,35.0,59.0,0.0
2014,구로구,45.0,67.0,0.0
2014,금천구,34.0,48.0,0.0
2014,노원구,39.0,52.0,0.0
2014,도봉구,13.0,16.0,1.0
2014,동대문구,45.0,71.0,1.0
2014,동작구,37.0,55.0,1.0
2014,마포구,87.0,133.0,1.0
2014,서대문구,29.0,39.0,0.0
2014,서초구,119.0,176.0,0.0
2014,성동구,26.0,41.0,0.0
2014,성북구,29.0,37.0,0.0
2014,송파구,58.0,93.0,1.0
2014,양천구,27.0,58.0,0.0
2014,영등포구,36.0,55.0,0.0
2014,용산구,25.0,37.0,0.0
2014,은평구,24.0,33.0,0.0
2014,종로구,25.0,38.0,1.0
2014,중구,16.0,26.0,0.0
2014,중랑구,19.0,29.0,0.0
2015,강남구,120.0,217.0,0.0
2015,강동구,54.0,94.0,1.0
2015,강북구,18.0,30.0,0.0
2015,강서구,43.0,65.0,1.0
2015,관악구,47.0,66.0,2.0
2015,광진구,42.0,64.0,1.0
2015,구로구,55.0,94.0,0.0
2015,금천구,24.0,40.0,0.0
2015,노원구,43.0,71.0,0.0
2015,도봉구,23.0,44.0,0.0
2015,동대문구,45.0,68.0,0.0
2015,동작구,36.0,55.0,0.0
2015,마포구,65.0,111.0,1.0
2015,서대문구,32.0,48.0,0.0
2015,서초구,69.0,113.0,1.0
2015,성동구,29.0,56.0,0.0
2015,성북구,35.0,47.0,0.0
2015,송파구,41.0,83.0,0.0
2015,양천구,43.0,59.0,0.0
2015,영등포구,47.0,69.0,1.0
2015,용산구,50.0,81.0,0.0
2015,은평구,26.0,45.0,2.0
2015,종로구,34.0,44.0,0.0
2015,중구,27.0,30.0,0.0
2015,중랑구,24.0,40.0,0.0
2016,강남구,101.0,166.0,0.0
2016,강동구,36.0,50.0,2.0
2016,강북구,25.0,52.0,0.0
2016,강서구,14.0,28.0,0.0
2016,관악구,18.0,24.0,0.0
2016,광진구,31.0,41.0,0.0
2016,구로구,32.0,48.0,0.0
2016,금천구,19.0,28.0,0.0
2016,노원구,32.0,60.0,0.0
2016,도봉구,23.0,40.0,0.0
2016,동대문구,34.0,48.0,0.0
2016,동작구,21.0,28.0,0.0
2016,마포구,56.0,79.0,0.0
2016,서대문구,29.0,40.0,1.0
2016,서초구,61.0,87.0,1.0
2016,성동구,15.0,29.0,0.0
2016,성북구,25.0,40.0,0.0
2016,송파구,47.0,65.0,1.0
2016,양천구,27.0,42.0,0.0
2016,영등포구,44.0,70.0,0.0
2016,용산구,34.0,62.0,0.0
2016,은평구,17.0,26.0,0.0
2016,종로구,30.0,41.0,0.0
2016,중구,6.0,11.0,0.0
2016,중랑구,13.0,15.0,0.0
2017,강남구,69.0,120.0,1.0
2017,강동구,16.0,19.0,0.0
2017,강북구,26.0,33.0,0.0
2017,강서구,25.0,40.0,0.0
2017,관악구,19.0,25.0,0.0
2017,광진구,28.0,47.0,0.0
2017,구로구,61.0,101.0,0.0
2017,금천구,25.0,41.0,0.0
2017,노원구,19.0,27.0,0.0
2017,도봉구,23.0,37.0,0.0
2017,동대문구,40.0,53.0,0.0
2017,동작구,26.0,47.0,0.0
2017,마포구,53.0,80.0,1.0
2017,서대문구,20.0,31.0,0.0
2017,서초구,61.0,95.0,1.0
2017,성동구,7.0,14.0,0.0
2017,성북구,29.0,45.0,1.0
2017,송파구,34.0,60.0,3.0
2017,양천구,11.0,24.0,0.0
2017,영등포구,35.0,64.0,1.0
2017,용산구,22.0,31.0,0.0
2017,은평구,22.0,24.0,1.0
2017,종로구,23.0,38.0,0.0
2017,중구,14.0,15.0,0.0
2017,중랑구,25.0,37.0,0.0
2018,강남구,75.0,130.0,1.0
2018,강동구,37.0,56.0,0.0
2018,강북구,26.0,44.0,1.0
2018,강서구,31.0,43.0,1.0
2018,관악구,21.0,36.0,0.0
2018,광진구,32.0,51.0,0.0
2018,구로구,44.0,71.0,0.0
2018,금천구,36.0,46.0,0.0
2018,노원구,27.0,48.0,1.0
2018,도봉구,14.0,22.0,0.0
2018,동대문구,33.0,45.0,0.0
2018,동작구,18.0,31.0,1.0
2018,마포구,42.0,61.0,0.0
2018,서대문구,15.0,32.0,0.0
2018,서초구,73.0,105.0,0.0
2018,성동구,24.0,44.0,0.0
2018,성북구,29.0,54.0,1.0
2018,송파구,36.0,53.0,1.0
2018,양천구,16.0,26.0,1.0
2018,영등포구,39.0,52.0,1.0
2018,용산구,41.0,57.0,1.0
