구,연도,용도,발생건수,사상자수
동대문구,2017,승용계,1030,1373
동대문구,2017,화물,47,53
동대문구,2018,버스계,81,119
동대문구,2018,승용계,1012,1340
동대문구,2018,화물,33,41
동대문구,2019,버스계,70,88
동대문구,2019,승용계,893,1173
동대문구,2019,화물,44,55
동대문구,2020,버스계,48,53
동대문구,2020,승용계,771,1026
동대문구,2020,화물,39,46
동대문구,2021,버스계,55,63
동대문구,2021,승용계,765,960
동대문구,2021,화물,41,46
동대문구,2022,버스계,66,80
동대문구,2022,승용계,854,1064
동대문구,2022,화물,46,54
동대문구,2023,버스계,122,133
동대문구,2023,승용계,938,1172
동대문구,2023,화물,58,71
동작구,2017,버스계,93,136
동작구,2017,승용계,907,1393
동작구,2017,화물,27,39
동작구,2018,버스계,90,125
동작구,2018,승용계,909,1277
동작구,2018,화물,27,38
동작구,2019,버스계,94,136
동작구,2019,승용계,868,1276
동작구,2019,화물,25,60
동작구,2020,버스계,80,108
동작구,2020,승용계,742,1100
동작구,2020,화물,39,51
동작구,2021,버스계,47,71
동작구,2021,승용계,673,911
동작구,2021,화물,35,50
동작구,2022,버스계,86,101
동작구,2022,승용계,728,1061
동작구,2022,화물,31,42
동작구,2023,버스계,82,100
동작구,2023,승용계,815,1141
동작구,2023,화물,34,42
마포구,2017,버스계,58,72
마포구,2017,승용계,1336,2119
마포구,2017,화물,38,44
마포구,2018,버스계,76,114
마포구,2018,승용계,1201,1815
마포구,2018,화물,29,41
마포구,2019,버스계,79,111
마포구,2019,승용계,992,1483
마포구,2019,화물,35,47
마포구,2020,버스계,49,59
마포구,2020,승용계,817,1207
마포구,2020,화물,29,33
마포구,2021,버스계,44,64
마포구,2021,승용계,712,1048
마포구,2021,화물,27,54
마포구,2022,버스계,51,58
마포구,2022,승용계,719,1035
마포구,2022,화물,15,21
마포구,2023,버스계,69,103
마포구,2023,승용계,858,1223
마포구,2023,화물,35,52
서대문구,2017,버스계,76,108
서대문구,2017,승용계,667,965
서대문구,2017,화물,20,24
서대문구,2018,버스계,74,101
서대문구,2018,승용계,673,955
서대문구,2018,화물,23,32
서대문구,2019,버스계,84,153
서대문구,2019,승용계,677,1016
서대문구,2019,화물,22,26
서대문구,2020,버스계,55,63
서대문구,2020,승용계,556,799
서대문구,2020,화물,18,23
서대문구,2021,버스계,59,72
서대문구,2021,승용계,526,718
서대문구,2021,화물,19,24
서대문구,2022,버스계,88,114
서대문구,2022,승용계,576,781
