district,year,metric,value
강동구,2020,인구 10만명당 부상자수 (명),344.8
강동구,2020,인구 10만명당 사망자수 (명),1.5
강동구,2020,자동차 1만대당 발생건수 (건),75.9
강동구,2021,인구 10만명당 부상자수 (명),302.9
강동구,2021,인구 10만명당 사망자수 (명),1.9
강동구,2021,자동차 1만대당 발생건수 (건),61.7
강동구,2022,인구 10만명당 부상자수 (명),334.7
강동구,2022,인구 10만명당 사망자수 (명),1.5
강동구,2022,자동차 1만대당 발생건수 (건),67.5
강동구,2023,인구 10만명당 부상자수 (명),328.5
강동구,2023,인구 10만명당 사망자수 (명),0.9
강동구,2023,자동차 1만대당 발생건수 (건),69.1
강북구,2005,인구 10만명당 부상자수 (명),452.0
강북구,2005,인구 10만명당 사망자수 (명),5.1
강북구,2005,자동차 1만대당 발생건수 (건),124.4
강북구,2006,인구 10만명당 부상자수 (명),505.4
강북구,2006,인구 10만명당 사망자수 (명),2.0
강북구,2006,자동차 1만대당 발생건수 (건),137.4
강북구,2007,인구 10만명당 부상자수 (명),513.9
강북구,2007,인구 10만명당 사망자수 (명),3.2
강북구,2007,자동차 1만대당 발생건수 (건),137.8
강북구,2008,인구 10만명당 부상자수 (명),545.8
강북구,2008,인구 10만명당 사망자수 (명),3.5
강북구,2008,자동차 1만대당 발생건수 (건),149.6
강북구,2009,인구 10만명당 부상자수 (명),566.7
강북구,2009,인구 10만명당 사망자수 (명),5.8
강북구,2009,자동차 1만대당 발생건수 (건),151.0
강북구,2010,인구 10만명당 부상자수 (명),508.6
강북구,2010,인구 10만명당 사망자수 (명),4.6
강북구,2010,자동차 1만대당 발생건수 (건),137.4
강북구,2011,인구 10만명당 부상자수 (명),472.6
강북구,2011,인구 10만명당 사망자수 (명),2.0
강북구,2011,자동차 1만대당 발생건수 (건),124.1
강북구,2012,인구 10만명당 부상자수 (명),484.9
강북구,2012,인구 10만명당 사망자수 (명),2.6
강북구,2012,자동차 1만대당 발생건수 (건),125.6
강북구,2013,인구 10만명당 부상자수 (명),446.0
강북구,2013,인구 10만명당 사망자수 (명),2.9
강북구,2013,자동차 1만대당 발생건수 (건),115.0
강북구,2014,인구 10만명당 부상자수 (명),523.9
강북구,2014,인구 10만명당 사망자수 (명),3.5
강북구,2014,자동차 1만대당 발생건수 (건),136.0
강북구,2015,인구 10만명당 부상자수 (명),503.6
강북구,2015,인구 10만명당 사망자수 (명),4.8
강북구,2015,자동차 1만대당 발생건수 (건),129.5
강북구,2016,인구 10만명당 부상자수 (명),507.4
강북구,2016,인구 10만명당 사망자수 (명),4.5
강북구,2016,자동차 1만대당 발생건수 (건),124.2
강북구,2017,인구 10만명당 부상자수 (명),477.7
강북구,2017,인구 10만명당 사망자수 (명),2.7
강북구,2017,자동차 1만대당 발생건수 (건),120.5
강북구,2018,인구 10만명당 부상자수 (명),505.7
강북구,2018,인구 10만명당 사망자수 (명),4.0
강북구,2018,자동차 1만대당 발생건수 (건),122.6
강북구,2019,인구 10만명당 부상자수 (명),537.0
강북구,2019,인구 10만명당 사망자수 (명),2.2
강북구,2019,자동차 1만대당 발생건수 (건),130.0
강북구,2020,인구 10만명당 부상자수 (명),455.8
강북구,2020,인구 10만명당 사망자수 (명),1.0
강북구,2020,자동차 1만대당 발생건수 (건),110.9
강북구,2021,인구 10만명당 부상자수 (명),430.3
강북구,2021,인구 10만명당 사망자수 (명),2.0
강북구,2021,자동차 1만대당 발생건수 (건),109.4
강북구,2022,인구 10만명당 부상자수 (명),425.3
강북구,2022,인구 10만명당 사망자수 (명),2.0
강북구,2022,자동차 1만대당 발생건수 (건),112.0
강북구,2023,인구 10만명당 부상자수 (명),415.4
강북구,2023,인구 10만명당 사망자수 (명),1.7
