연도,자치구,자전거_발생건수,자전거_사망자수,자전거_부상자수
2014,강서구,226,4,233
2014,구로구,194,2,220
2014,금천구,99,0,108
2014,영등포구,419,1,484
2014,동작구,152,2,170
2014,관악구,121,0,133
2014,서초구,128,1,135
2014,강남구,191,0,197
2014,송파구,470,5,500
2014,강동구,247,4,252
2015,종로구,59,0,62
2015,중구,39,0,40
2015,용산구,82,1,88
2015,성동구,203,1,233
2015,광진구,198,1,217
2015,동대문구,277,1,286
2015,중랑구,237,1,263
2015,성북구,125,2,131
2015,강북구,134,2,140
2015,도봉구,126,0,135
2015,노원구,225,5,238
2015,은평구,147,0,166
2015,서대문구,72,0,75
2015,마포구,213,1,219
2015,양천구,195,3,201
2015,강서구,245,1,267
2015,구로구,170,1,183
2015,금천구,80,0,88
2015,영등포구,407,4,457
2015,동작구,160,0,177
2015,관악구,98,0,101
2015,서초구,120,0,131
2015,강남구,214,2,235
2015,송파구,476,1,535
2015,강동구,227,0,242
2016,종로구,51,0,54
2016,중구,26,0,27
2016,용산구,91,0,105
2016,성동구,147,1,160
2016,광진구,128,0,135
2016,동대문구,252,3,263
2016,중랑구,200,0,218
2016,성북구,96,0,96
2016,강북구,103,1,110
2016,도봉구,143,2,150
2016,노원구,188,2,194
2016,은평구,112,3,119
2016,서대문구,65,2,69
2016,마포구,149,0,160
2016,양천구,199,3,212
2016,강서구,203,1,211
2016,구로구,179,2,189
2016,금천구,56,1,59
2016,영등포구,345,3,382
2016,동작구,123,2,146
2016,관악구,72,1,71
2016,서초구,112,0,114
2016,강남구,151,0,169
2016,송파구,417,0,468
2016,강동구,237,0,258
2017,종로구,58,1,63
2017,중구,27,1,29
2017,용산구,79,0,90
2017,성동구,119,3,125
2017,광진구,114,2,116
2017,동대문구,208,2,214
2017,중랑구,208,1,224
2017,성북구,105,1,109
2017,강북구,93,0,105
2017,도봉구,137,1,140
2017,노원구,148,0,158
2017,은평구,86,0,89
2017,서대문구,60,0,63
2017,마포구,113,0,119
2017,양천구,146,1,148
2017,강서구,162,3,176
2017,구로구,128,2,130
2017,금천구,55,0,56
2017,영등포구,257,2,278
2017,동작구,112,1,134
2017,관악구,56,0,60
2017,서초구,63,0,64
2017,강남구,138,1,146
2017,송파구,401,2,444
2017,강동구,190,6,197
2018,종로구,40,0,41
2018,중구,27,1,26
2018,용산구,56,1,69
2018,성동구,116,2,123
2018,광진구,115,2,121
2018,동대문구,204,3,215
2018,중랑구,140,1,145
2018,성북구,75,0,75
2018,강북구,82,1,83
2018,도봉구,102,1,103
2018,노원구,161,1,166
2018,은평구,106,1,110
2018,서대문구,55,0,64
2018,마포구,91,1,95
2018,양천구,121,0,132
2018,강서구,103,2,105
2018,구로구,130,1,139
2018,금천구,47,0,50
2018,영등포구,280,5,297
2018,동작구,114,0,126
2018,관악구,56,1,55
2018,서초구,78,0,80
2018,강남구,119,2,131
2018,송파구,343,1,372
2018,강동구,157,2,163
2019,종로구,41,1,41
2019,중구,40,0,42
2019,용산구,53,0,56
2019,성동구,133,1,141
2019,광진구,109,0,115
2019,동대문구,185,2,198
2019,중랑구,166,2,176
2019,성북구,95,1,97
2019,강북구,107,2,113
2019,도봉구,118,0,138
2019,노원구,210,0,220
2019,은평구,123,1,133
2019,서대문구,69,1,73
2019,마포구,106,0,114
2019,양천구,145,1,146
2019,강서구,161,1,173
2019,구로구,139,1,148
2019,금천구,73,1,84
2019,영등포구,319,1,374
2019,동작구,95,0,115
2019,관악구,74,1,79
2019,서초구,80,0,87
2019,강남구,114,0,127
2019,송파구,434,0,486
2019,강동구,176,1,188
2020,종로구,43,1,46
2020,중구,37,0,38
2020,용산구,43,0,49
2020,성동구,167,1,187
2020,광진구,92,0,97
2020,동대문구,209,0,227
2020,중랑구,209,1,235
2020,성북구,73,0,79
2020,강북구,74,0,79
2020,도봉구,96,1,103
2020,노원구,216,1,229
2020,은평구,82,1,86
2020,서대문구,62,1,65
2020,마포구,115,1,130
2020,양천구,144,1,169
2020,강서구,165,2,176
2020,구로구,105,1,115
2020,금천구,63,1,72
2020,영등포구,350,1,400
2020,동작구,126,0,150
2020,관악구,77,3,75
2020,서초구,119,1,126
2020,강남구,176,0,208
2020,송파구,418,2,475
2020,강동구,182,3,192
2021,종로구,46,0,47
2021,중구,36,0,38
2021,용산구,99,1,114
2021,성동구,169,0,188
2021,광진구,121,0,133
2021,동대문구,189,4,193
2021,중랑구,177,0,198
2021,성북구,87,2,92
2021,강북구,91,0,95
2021,도봉구,91,2,101
2021,노원구,203,0,228
2021,은평구,100,3,109
2021,서대문구,60,0,60
2021,마포구,107,1,130
2021,양천구,127,3,131
2021,강서구,187,2,198
2021,구로구,128,1,134
2021,금천구,50,1,53
2021,영등포구,338,1,383
2021,동작구,89,1,101
2021,관악구,62,0,70
2021,서초구,101,0,112
2021,강남구,161,0,188
2021,송파구,389,5,425
2021,강동구,125,0,132
2022,종로구,46,1,50
2022,중구,44,0,48
2022,용산구,67,0,72
2022,성동구,144,1,153
2022,광진구,69,0,73
2022,동대문구,197,1,206
2022,중랑구,173,1,190
2022,성북구,78,0,78
2022,강북구,86,0,87
2022,도봉구,62,0,65
2022,노원구,156,0,162
2022,은평구,104,0,111
2022,서대문구,69,0,72
2022,마포구,105,1,119
2022,양천구,111,1,115
2022,강서구,222,1,246
2022,구로구,135,1,152
2022,금천구,52,0,57
2022,영등포구,310,2,364
2022,동작구,93,0,104
2022,관악구,57,1,60
2022,서초구,86,1,95
2022,강남구,159,1,178
2022,송파구,364,1,408
2022,강동구,139,0,146
2023,종로구,39,0,42
2023,중구,43,0,45
2023,용산구,62,1,66
2023,성동구,94,1,106
2023,광진구,69,0,75
2023,동대문구,221,1,240
2023,중랑구,161,1,180
2023,성북구,59,1,67
2023,강북구,67,0,70
2023,도봉구,73,1,77
2023,노원구,155,2,163
2023,은평구,70,0,77
2023,서대문구,43,0,46
2023,마포구,84,2,88
2023,양천구,118,1,131
2023,강서구,156,0,164
2023,구로구,136,0,148
2023,금천구,62,1,73
2023,영등포구,247,1,278
2023,동작구,82,0,90
2023,관악구,47,1,48
2023,서초구,81,0,87
2023,강남구,172,0,203
2023,송파구,359,1,407
2023,강동구,150,0,161
