연도,자치구,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수
2007,성동구,26.0,1.0,10.0,0.0,22.0,0.0,30.0,0.0,149.0,9.0
2007,성북구,87.0,0.0,39.0,1.0,29.0,0.0,47.0,0.0,232.0,5.0
2007,송파구,101.0,1.0,78.0,0.0,52.0,0.0,142.0,1.0,213.0,1.0
2007,양천구,35.0,0.0,37.0,1.0,26.0,1.0,54.0,2.0,192.0,4.0
2007,영등포구,96.0,2.0,31.0,0.0,33.0,1.0,71.0,4.0,256.0,16.0
2007,용산구,67.0,1.0,15.0,0.0,24.0,0.0,31.0,3.0,112.0,3.0
2007,은평구,45.0,0.0,79.0,1.0,64.0,0.0,74.0,1.0,170.0,5.0
2007,종로구,58.0,1.0,46.0,0.0,34.0,0.0,74.0,2.0,185.0,5.0
2007,중구,63.0,1.0,40.0,0.0,35.0,0.0,64.0,3.0,131.0,5.0
2007,중랑구,69.0,3.0,80.0,1.0,39.0,1.0,96.0,3.0,229.0,4.0
2008,강남구,86.0,0.0,101.0,1.0,126.0,1.0,119.0,1.0,259.0,9.0
2008,강동구,143.0,2.0,60.0,1.0,67.0,0.0,60.0,0.0,181.0,4.0
2008,강북구,96.0,0.0,52.0,1.0,19.0,0.0,34.0,0.0,216.0,5.0
2008,강서구,178.0,2.0,55.0,1.0,52.0,1.0,80.0,3.0,205.0,1.0
2008,관악구,57.0,0.0,76.0,0.0,78.0,0.0,97.0,2.0,276.0,5.0
2008,광진구,32.0,1.0,43.0,0.0,52.0,0.0,72.0,4.0,179.0,3.0
2008,구로구,24.0,1.0,58.0,0.0,41.0,0.0,79.0,0.0,239.0,11.0
2008,금천구,79.0,2.0,17.0,0.0,17.0,0.0,24.0,3.0,133.0,5.0
2008,노원구,113.0,1.0,12.0,0.0,30.0,0.0,64.0,2.0,252.0,7.0
2008,도봉구,43.0,1.0,25.0,1.0,26.0,0.0,50.0,1.0,184.0,10.0
2008,동대문구,123.0,6.0,9.0,1.0,25.0,0.0,30.0,2.0,251.0,16.0
2008,동작구,43.0,0.0,29.0,0.0,27.0,0.0,45.0,1.0,123.0,4.0
2008,마포구,64.0,1.0,66.0,0.0,39.0,0.0,50.0,0.0,169.0,6.0
2008,서대문구,54.0,1.0,38.0,0.0,25.0,0.0,68.0,3.0,145.0,6.0
2008,서초구,105.0,2.0,25.0,0.0,34.0,0.0,89.0,1.0,116.0,3.0
2008,성동구,71.0,4.0,7.0,0.0,17.0,1.0,33.0,1.0,123.0,1.0
2008,성북구,69.0,3.0,44.0,0.0,39.0,0.0,55.0,3.0,275.0,7.0
2008,송파구,146.0,1.0,71.0,0.0,59.0,1.0,154.0,1.0,236.0,8.0
2008,양천구,59.0,1.0,50.0,1.0,56.0,1.0,68.0,0.0,207.0,8.0
2008,영등포구,90.0,6.0,42.0,0.0,56.0,0.0,94.0,3.0,206.0,11.0
2008,용산구,77.0,1.0,25.0,0.0,22.0,1.0,36.0,1.0,113.0,2.0
2008,은평구,23.0,0.0,148.0,4.0,88.0,0.0,73.0,4.0,190.0,6.0
2008,종로구,40.0,1.0,56.0,1.0,34.0,1.0,73.0,1.0,200.0,12.0
2008,중구,50.0,2.0,53.0,0.0,42.0,0.0,91.0,0.0,130.0,5.0
2008,중랑구,44.0,1.0,89.0,0.0,69.0,1.0,84.0,0.0,257.0,6.0
2009,강남구,225.0,4.0,102.0,0.0,122.0,0.0,86.0,6.0,293.0,5.0
2009,강동구,189.0,2.0,19.0,0.0,45.0,1.0,44.0,0.0,158.0,3.0
2009,강북구,130.0,1.0,52.0,1.0,24.0,0.0,39.0,0.0,213.0,3.0
2009,강서구,213.0,2.0,32.0,1.0,41.0,1.0,75.0,2.0,207.0,1.0
2009,관악구,194.0,2.0,75.0,0.0,47.0,0.0,43.0,2.0,238.0,3.0
2009,광진구,104.0,1.0,45.0,0.0,27.0,1.0,53.0,1.0,177.0,4.0
2009,구로구,76.0,2.0,55.0,1.0,45.0,0.0,61.0,3.0,222.0,3.0
2009,금천구,98.0,6.0,24.0,0.0,19.0,0.0,26.0,1.0,121.0,7.0
2009,노원구,127.0,1.0,25.0,0.0,34.0,0.0,67.0,5.0,240.0,5.0
2009,도봉구,99.0,1.0,13.0,1.0,26.0,3.0,21.0,1.0,142.0,4.0
2009,동대문구,155.0,5.0,19.0,1.0,42.0,0.0,42.0,2.0,264.0,12.0
2009,동작구,111.0,0.0,34.0,0.0,19.0,0.0,41.0,0.0,136.0,7.0
2009,마포구,145.0,1.0,39.0,0.0,23.0,0.0,49.0,3.0,172.0,6.0
2009,서대문구,103.0,4.0,30.0,0.0,20.0,0.0,46.0,2.0,153.0,8.0
2009,서초구,160.0,2.0,13.0,0.0,27.0,1.0,77.0,0.0,157.0,8.0
2009,성동구,109.0,2.0,13.0,0.0,19.0,0.0,26.0,0.0,112.0,1.0
2009,성북구,161.0,0.0,33.0,0.0,48.0,0.0,64.0,2.0,222.0,6.0
2009,송파구,214.0,2.0,69.0,1.0,54.0,1.0,117.0,1.0,226.0,5.0
2009,양천구,121.0,0.0,37.0,0.0,32.0,0.0,39.0,3.0,172.0,2.0
2009,영등포구,165.0,3.0,33.0,0.0,66.0,0.0,81.0,2.0,212.0,10.0
2009,용산구,76.0,1.0,19.0,0.0,23.0,1.0,49.0,3.0,130.0,3.0
2009,은평구,145.0,2.0,88.0,0.0,55.0,1.0,70.0,2.0,152.0,5.0
2009,종로구,128.0,4.0,31.0,0.0,27.0,0.0,63.0,2.0,132.0,4.0
2009,중구,102.0,1.0,53.0,0.0,34.0,0.0,70.0,2.0,140.0,7.0
2009,중랑구,157.0,2.0,91.0,0.0,42.0,0.0,46.0,2.0,220.0,5.0
2010,강남구,259.0,6.0,99.0,0.0,66.0,0.0,79.0,2.0,277.0,4.0
2010,강동구,185.0,5.0,11.0,0.0,44.0,0.0,41.0,0.0,153.0,3.0
2010,강북구,138.0,3.0,57.0,0.0,33.0,2.0,36.0,0.0,210.0,6.0
2010,강서구,270.0,5.0,14.0,1.0,25.0,0.0,50.0,0.0,214.0,6.0
2010,관악구,194.0,4.0,82.0,0.0,34.0,0.0,48.0,0.0,219.0,7.0
2010,광진구,165.0,2.0,15.0,0.0,19.0,0.0,34.0,0.0,144.0,6.0
2010,구로구,83.0,1.0,49.0,0.0,22.0,1.0,37.0,2.0,233.0,1.0
2010,금천구,115.0,1.0,28.0,0.0,9.0,0.0,16.0,2.0,177.0,3.0
2010,노원구,123.0,3.0,14.0,1.0,37.0,0.0,56.0,1.0,238.0,6.0
2010,도봉구,108.0,2.0,16.0,0.0,20.0,2.0,47.0,0.0,114.0,1.0
2010,동대문구,200.0,4.0,15.0,0.0,32.0,0.0,41.0,0.0,207.0,13.0
2010,동작구,129.0,1.0,20.0,0.0,16.0,0.0,29.0,0.0,117.0,5.0
2010,마포구,169.0,5.0,11.0,0.0,23.0,0.0,38.0,2.0,191.0,4.0
2010,서대문구,114.0,1.0,24.0,0.0,29.0,2.0,31.0,0.0,157.0,7.0
2010,서초구,175.0,4.0,24.0,1.0,58.0,1.0,46.0,1.0,166.0,8.0
2010,성동구,114.0,2.0,6.0,0.0,11.0,0.0,18.0,1.0,86.0,2.0
2010,성북구,186.0,1.0,31.0,0.0,35.0,0.0,73.0,1.0,194.0,6.0
2010,송파구,236.0,3.0,48.0,0.0,34.0,0.0,99.0,0.0,221.0,2.0
2010,양천구,115.0,3.0,24.0,0.0,39.0,1.0,34.0,0.0,149.0,2.0
2010,영등포구,145.0,3.0,31.0,1.0,53.0,2.0,78.0,4.0,225.0,7.0
2010,용산구,86.0,3.0,20.0,0.0,18.0,0.0,36.0,0.0,120.0,4.0
2010,은평구,135.0,1.0,99.0,2.0,48.0,1.0,43.0,1.0,183.0,4.0
2010,종로구,123.0,2.0,24.0,2.0,23.0,0.0,53.0,0.0,161.0,9.0
2010,중구,121.0,1.0,29.0,0.0,41.0,0.0,59.0,0.0,121.0,1.0
2010,중랑구,208.0,4.0,69.0,1.0,50.0,0.0,59.0,0.0,200.0,3.0
2011,강남구,395.0,9.0,104.0,0.0,54.0,0.0,67.0,1.0,236.0,9.0
2011,강동구,202.0,1.0,23.0,0.0,27.0,0.0,36.0,0.0,162.0,4.0
2011,강북구,144.0,1.0,38.0,0.0,22.0,0.0,26.0,0.0,160.0,1.0
2011,강서구,320.0,1.0,19.0,0.0,27.0,1.0,47.0,0.0,164.0,3.0
2011,관악구,202.0,3.0,53.0,0.0,33.0,1.0,40.0,2.0,201.0,4.0
2011,광진구,179.0,4.0,2.0,0.0,25.0,1.0,19.0,1.0,131.0,10.0
2011,구로구,45.0,0.0,91.0,0.0,25.0,0.0,24.0,0.0,238.0,9.0
2011,금천구,148.0,2.0,21.0,0.0,13.0,0.0,8.0,0.0,156.0,5.0
2011,노원구,37.0,0.0,32.0,0.0,36.0,0.0,78.0,0.0,280.0,8.0
2011,도봉구,101.0,1.0,22.0,0.0,22.0,0.0,25.0,1.0,132.0,5.0
2011,동대문구,200.0,1.0,11.0,0.0,24.0,0.0,65.0,2.0,190.0,3.0
2011,동작구,208.0,2.0,16.0,0.0,20.0,0.0,24.0,1.0,111.0,5.0
2011,마포구,159.0,3.0,19.0,0.0,21.0,0.0,47.0,2.0,161.0,8.0
2011,서대문구,130.0,3.0,17.0,0.0,24.0,0.0,27.0,4.0,153.0,4.0
2011,서초구,226.0,3.0,18.0,0.0,41.0,0.0,35.0,1.0,162.0,4.0
2011,성동구,140.0,3.0,7.0,0.0,7.0,0.0,14.0,1.0,98.0,3.0
2011,성북구,172.0,4.0,33.0,0.0,39.0,0.0,30.0,0.0,214.0,10.0
2011,송파구,292.0,7.0,40.0,0.0,33.0,1.0,71.0,3.0,169.0,9.0
2011,양천구,118.0,0.0,26.0,1.0,29.0,1.0,44.0,0.0,152.0,3.0
2011,영등포구,227.0,3.0,15.0,3.0,56.0,1.0,78.0,1.0,225.0,8.0
2011,용산구,80.0,0.0,41.0,1.0,24.0,0.0,35.0,2.0,106.0,1.0
2011,은평구,110.0,3.0,113.0,1.0,44.0,2.0,39.0,2.0,238.0,9.0
2011,종로구,193.0,3.0,25.0,0.0,12.0,1.0,20.0,1.0,171.0,8.0
2011,중구,188.0,8.0,34.0,0.0,47.0,0.0,43.0,1.0,110.0,2.0
2011,중랑구,230.0,1.0,37.0,1.0,32.0,1.0,40.0,1.0,164.0,4.0
2012,강남구,507.0,5.0,90.0,1.0,51.0,1.0,57.0,2.0,242.0,6.0
2012,강동구,250.0,3.0,19.0,0.0,21.0,1.0,29.0,1.0,133.0,5.0
2012,강북구,163.0,1.0,27.0,1.0,14.0,0.0,41.0,1.0,153.0,2.0
2012,강서구,345.0,7.0,15.0,0.0,15.0,1.0,30.0,1.0,108.0,5.0
2012,관악구,238.0,4.0,43.0,1.0,36.0,0.0,38.0,0.0,176.0,6.0
2012,광진구,231.0,3.0,8.0,0.0,10.0,0.0,28.0,1.0,128.0,4.0
2012,구로구,111.0,0.0,46.0,0.0,33.0,1.0,25.0,0.0,259.0,9.0
2012,금천구,136.0,5.0,12.0,0.0,4.0,1.0,6.0,0.0,115.0,7.0
2012,노원구,86.0,1.0,33.0,0.0,26.0,0.0,39.0,1.0,252.0,8.0
2012,도봉구,107.0,3.0,29.0,0.0,16.0,0.0,25.0,3.0,150.0,4.0
2012,동대문구,249.0,6.0,15.0,0.0,20.0,0.0,32.0,1.0,210.0,3.0
2012,동작구,196.0,5.0,11.0,0.0,15.0,0.0,15.0,0.0,125.0,2.0
2012,마포구,191.0,10.0,11.0,0.0,22.0,0.0,28.0,2.0,141.0,0.0
2012,서대문구,132.0,3.0,17.0,0.0,25.0,0.0,21.0,0.0,124.0,1.0
2012,서초구,270.0,7.0,18.0,0.0,39.0,0.0,30.0,1.0,173.0,5.0
2012,성동구,130.0,1.0,2.0,0.0,14.0,0.0,15.0,0.0,62.0,3.0
2012,성북구,156.0,1.0,25.0,0.0,21.0,0.0,27.0,1.0,259.0,6.0
2012,송파구,367.0,2.0,38.0,0.0,33.0,0.0,49.0,0.0,181.0,4.0
2012,양천구,145.0,0.0,24.0,0.0,20.0,0.0,38.0,2.0,173.0,6.0
