자치구,연도,버스승객수,지하철_승객_수,승객수,발생건수,부상자수
양천구,2018,66381106,60743365,129302997,1428,1939
양천구,2019,65064732,65281571,132374258,1506,2085
양천구,2020,57792479,57553756,116126745,1344,1829
양천구,2021,58249867,57258181,115944825,1305,1692
양천구,2022,49935376,33122740,82849173,1165,1529
양천구,2023,51700387,35246813,86210895,1221,1624
영등포구,2017,77109682,115720878,194257193,2386,3519
영등포구,2018,83817450,115672099,202010869,2493,3532
영등포구,2019,80386271,112579470,195314534,2439,3451
영등포구,2020,71961496,101434784,174464871,2208,3102
영등포구,2021,72565475,100895315,174187054,2178,2967
영등포구,2022,69249142,91456080,160125278,1998,2707
영등포구,2023,72385610,100245702,171180808,1900,2619
용산구,2017,61485079,81067138,144096492,1378,1996
용산구,2018,65606866,76541147,144719932,1330,1852
용산구,2019,60764922,68379434,131536200,1187,1614
용산구,2020,51271983,54796319,107166092,890,1178
용산구,2021,54254916,65018727,120016042,1014,1369
용산구,2022,50522621,39275251,89569077,1014,1330
용산구,2023,54008198,44224352,97412363,996,1366
은평구,2017,55551508,45007055,101573661,1067,1489
은평구,2018,61474719,48525750,112045225,1134,1580
은평구,2019,58784518,43936309,104648324,1119,1464
은평구,2020,51194178,43617447,95383433,953,1415
은평구,2021,50876504,41404251,92491883,867,1218
은평구,2022,61785742,48786154,110277584,918,1256
은평구,2023,63339506,51824450,114189970,1039,1353
종로구,2017,58794379,77860591,138331770,1190,1689
종로구,2018,62777954,73554834,139032257,1134,1546
종로구,2019,60184903,73470051,136185433,1133,1559
종로구,2020,51780892,63223494,116258412,903,1224
종로구,2021,50739032,62131242,113715671,778,1050
종로구,2022,67437230,89060469,163685389,974,1351
종로구,2023,70681807,100757777,176420440,988,1331
중구,2017,60024962,79633320,141454405,1252,1684
중구,2018,62826608,74423870,140019180,1128,1506
중구,2019,61132874,77223322,140958181,1184,1615
중구,2020,52778193,65690023,119807472,955,1248
중구,2021,52061289,67207605,120177381,854,1156
중구,2022,45734613,120418388,165400026,943,1212
중구,2023,48724105,144621600,191695215,931,1194
중랑구,2017,65217667,73727945,140285674,1639,2228
중랑구,2018,68837390,71703069,142869914,1565,2135
중랑구,2019,67291125,70577077,140101697,1620,2122
중랑구,2020,59722811,66060344,126717011,1447,1952
중랑구,2021,59538905,66367492,126456907,1373,1826
중랑구,2022,46030861,31840864,77677587,1401,1890
중랑구,2023,48355628,33835338,81493710,1268,1704
