구,항목,모델,R2,학습데이터수
은평구,길가장자리구역통행중_사망자수,선형회귀,0.4391,19
종로구,길가장자리구역통행중_사망자수,선형회귀,0.0977,19
중구,길가장자리구역통행중_사망자수,선형회귀,0.1185,19
중랑구,길가장자리구역통행중_사망자수,선형회귀,0.267,19
강남구,보도통행중_부상자수,선형회귀,0.3275,19
강동구,보도통행중_부상자수,선형회귀,0.2184,19
강북구,보도통행중_부상자수,선형회귀,0.4206,19
강서구,보도통행중_부상자수,선형회귀,0.1146,19
관악구,보도통행중_부상자수,선형회귀,0.4588,19
광진구,보도통행중_부상자수,선형회귀,0.4979,19
구로구,보도통행중_부상자수,선형회귀,0.2725,19
금천구,보도통행중_부상자수,선형회귀,0.0657,19
노원구,보도통행중_부상자수,선형회귀,0.226,19
도봉구,보도통행중_부상자수,선형회귀,0.5421,19
동대문구,보도통행중_부상자수,선형회귀,0.2533,19
동작구,보도통행중_부상자수,선형회귀,0.1909,19
마포구,보도통행중_부상자수,선형회귀,0.2629,19
서대문구,보도통행중_부상자수,선형회귀,0.0364,19
서초구,보도통행중_부상자수,선형회귀,0.1426,19
성동구,보도통행중_부상자수,선형회귀,0.0625,19
성북구,보도통행중_부상자수,선형회귀,0.4567,19
송파구,보도통행중_부상자수,선형회귀,0.1364,19
양천구,보도통행중_부상자수,선형회귀,0.5267,19
영등포구,보도통행중_부상자수,선형회귀,0.271,19
용산구,보도통행중_부상자수,선형회귀,0.3853,19
은평구,보도통행중_부상자수,선형회귀,0.4985,19
종로구,보도통행중_부상자수,선형회귀,0.1387,19
중구,보도통행중_부상자수,선형회귀,0.5791,19
중랑구,보도통행중_부상자수,선형회귀,0.6667,19
강남구,보도통행중_사망자수,선형회귀,0.0586,19
강동구,보도통행중_사망자수,선형회귀,0.1498,19
강북구,보도통행중_사망자수,선형회귀,0.1146,19
강서구,보도통행중_사망자수,선형회귀,0.4424,19
관악구,보도통행중_사망자수,선형회귀,0.1222,19
광진구,보도통행중_사망자수,선형회귀,0.1259,19
구로구,보도통행중_사망자수,선형회귀,0.0673,19
금천구,보도통행중_사망자수,선형회귀,0.1556,19
노원구,보도통행중_사망자수,선형회귀,0.3187,19
도봉구,보도통행중_사망자수,선형회귀,0.258,19
동대문구,보도통행중_사망자수,선형회귀,0.1669,19
동작구,보도통행중_사망자수,선형회귀,0.0369,19
마포구,보도통행중_사망자수,선형회귀,0.06,19
서대문구,보도통행중_사망자수,선형회귀,0.0123,19
서초구,보도통행중_사망자수,선형회귀,0.1063,19
성동구,보도통행중_사망자수,선형회귀,0.2865,19
성북구,보도통행중_사망자수,선형회귀,0.1976,19
송파구,보도통행중_사망자수,선형회귀,0.1447,19
양천구,보도통행중_사망자수,선형회귀,0.3132,19
영등포구,보도통행중_사망자수,선형회귀,0.4273,19
용산구,보도통행중_사망자수,선형회귀,0.0011,19
은평구,보도통행중_사망자수,선형회귀,0.1619,19
종로구,보도통행중_사망자수,선형회귀,0.018,19
중구,보도통행중_사망자수,선형회귀,0.005,19
중랑구,보도통행중_사망자수,선형회귀,0.1915,19
강남구,차도 통행중_부상자수,선형회귀,0.4075,19
강동구,차도 통행중_부상자수,선형회귀,0.2177,19
강북구,차도 통행중_부상자수,선형회귀,0.0117,19
강서구,차도 통행중_부상자수,선형회귀,0.3445,19
관악구,차도 통행중_부상자수,선형회귀,0.1826,19
광진구,차도 통행중_부상자수,선형회귀,0.4433,19
구로구,차도 통행중_부상자수,선형회귀,0.1769,19
금천구,차도 통행중_부상자수,선형회귀,0.1069,19
노원구,차도 통행중_부상자수,선형회귀,0.3535,19
도봉구,차도 통행중_부상자수,선형회귀,0.4541,19
동대문구,차도 통행중_부상자수,선형회귀,0.1172,19
동작구,차도 통행중_부상자수,선형회귀,0.0,19
마포구,차도 통행중_부상자수,선형회귀,0.3085,19
서대문구,차도 통행중_부상자수,선형회귀,0.371,19
서초구,차도 통행중_부상자수,선형회귀,0.2478,19
성동구,차도 통행중_부상자수,선형회귀,0.1205,19
성북구,차도 통행중_부상자수,선형회귀,0.3164,19
송파구,차도 통행중_부상자수,선형회귀,0.4639,19
양천구,차도 통행중_부상자수,선형회귀,0.4327,19
영등포구,차도 통행중_부상자수,선형회귀,0.3652,19
용산구,차도 통행중_부상자수,선형회귀,0.5868,19
은평구,차도 통행중_부상자수,선형회귀,0.4274,19
종로구,차도 통행중_부상자수,선형회귀,0.1157,19
중구,차도 통행중_부상자수,선형회귀,0.5451,19
중랑구,차도 통행중_부상자수,선형회귀,0.2943,19
강남구,차도 통행중_사망자수,선형회귀,0.3746,19
강동구,차도 통행중_사망자수,선형회귀,0.0081,19
강북구,차도 통행중_사망자수,선형회귀,0.2748,19
강서구,차도 통행중_사망자수,선형회귀,0.1947,19
관악구,차도 통행중_사망자수,선형회귀,0.0355,19
광진구,차도 통행중_사망자수,선형회귀,0.1798,19
구로구,차도 통행중_사망자수,선형회귀,0.0293,19
금천구,차도 통행중_사망자수,선형회귀,0.2809,19
노원구,차도 통행중_사망자수,선형회귀,0.2142,19
도봉구,차도 통행중_사망자수,선형회귀,0.0551,19
동대문구,차도 통행중_사망자수,선형회귀,0.1653,19
동작구,차도 통행중_사망자수,선형회귀,0.0262,19
마포구,차도 통행중_사망자수,선형회귀,0.0382,19
서대문구,차도 통행중_사망자수,선형회귀,0.0928,19
서초구,차도 통행중_사망자수,선형회귀,0.0896,19
성동구,차도 통행중_사망자수,선형회귀,0.1949,19
성북구,차도 통행중_사망자수,선형회귀,0.2341,19
송파구,차도 통행중_사망자수,선형회귀,0.1201,19
양천구,차도 통행중_사망자수,선형회귀,0.1216,19
영등포구,차도 통행중_사망자수,선형회귀,0.4149,19
용산구,차도 통행중_사망자수,선형회귀,0.1072,19
은평구,차도 통행중_사망자수,선형회귀,0.2953,19
종로구,차도 통행중_사망자수,선형회귀,0.069,19
중구,차도 통행중_사망자수,선형회귀,0.081,19
중랑구,차도 통행중_사망자수,선형회귀,0.0905,19
강남구,횡단중_부상자수,선형회귀,0.4385,19
강동구,횡단중_부상자수,선형회귀,0.5221,19
강북구,횡단중_부상자수,선형회귀,0.7392,19
강서구,횡단중_부상자수,선형회귀,0.3719,19
관악구,횡단중_부상자수,선형회귀,0.7416,19
광진구,횡단중_부상자수,선형회귀,0.7507,19
구로구,횡단중_부상자수,선형회귀,0.4637,19
금천구,횡단중_부상자수,선형회귀,0.3306,19
노원구,횡단중_부상자수,선형회귀,0.5723,19
도봉구,횡단중_부상자수,선형회귀,0.542,19
동대문구,횡단중_부상자수,선형회귀,0.5388,19
동작구,횡단중_부상자수,선형회귀,0.2908,19
마포구,횡단중_부상자수,선형회귀,0.4937,19
서대문구,횡단중_부상자수,선형회귀,0.302,19
서초구,횡단중_부상자수,선형회귀,0.2772,19
성동구,횡단중_부상자수,선형회귀,0.3597,19
성북구,횡단중_부상자수,선형회귀,0.4603,19
송파구,횡단중_부상자수,선형회귀,0.1628,19
양천구,횡단중_부상자수,선형회귀,0.5461,19
영등포구,횡단중_부상자수,선형회귀,0.6127,19
용산구,횡단중_부상자수,선형회귀,0.2139,19
은평구,횡단중_부상자수,선형회귀,0.7191,19
종로구,횡단중_부상자수,선형회귀,0.6161,19
중구,횡단중_부상자수,선형회귀,0.418,19
중랑구,횡단중_부상자수,선형회귀,0.5519,19
강남구,횡단중_사망자수,선형회귀,0.5973,19
강동구,횡단중_사망자수,선형회귀,0.2102,19
강북구,횡단중_사망자수,선형회귀,0.1563,19
강서구,횡단중_사망자수,선형회귀,0.1345,19
관악구,횡단중_사망자수,선형회귀,0.3066,19
광진구,횡단중_사망자수,선형회귀,0.4455,19
구로구,횡단중_사망자수,선형회귀,0.5482,19
금천구,횡단중_사망자수,선형회귀,0.3012,19
노원구,횡단중_사망자수,선형회귀,0.1921,19
도봉구,횡단중_사망자수,선형회귀,0.1178,19
동대문구,횡단중_사망자수,선형회귀,0.397,19
동작구,횡단중_사망자수,선형회귀,0.1909,19
마포구,횡단중_사망자수,선형회귀,0.3121,19
서대문구,횡단중_사망자수,선형회귀,0.6161,19
서초구,횡단중_사망자수,선형회귀,0.2427,19
성동구,횡단중_사망자수,선형회귀,0.0946,19
성북구,횡단중_사망자수,선형회귀,0.4309,19
송파구,횡단중_사망자수,선형회귀,0.3297,19
양천구,횡단중_사망자수,선형회귀,0.0527,19
영등포구,횡단중_사망자수,선형회귀,0.5939,19
용산구,횡단중_사망자수,선형회귀,0.0118,19
은평구,횡단중_사망자수,선형회귀,0.1477,19
종로구,횡단중_사망자수,선형회귀,0.5821,19
중구,횡단중_사망자수,선형회귀,0.3358,19
중랑구,횡단중_사망자수,선형회귀,0.1377,19
강남구,뺑소니_발생건수,선형회귀,0.5455,19
강동구,뺑소니_발생건수,선형회귀,0.3415,19
강북구,뺑소니_발생건수,선형회귀,0.8149,19
강서구,뺑소니_발생건수,선형회귀,0.532,19
관악구,뺑소니_발생건수,선형회귀,0.757,19
광진구,뺑소니_발생건수,선형회귀,0.8015,19
구로구,뺑소니_발생건수,선형회귀,0.4487,19
금천구,뺑소니_발생건수,선형회귀,0.6657,19
노원구,뺑소니_발생건수,선형회귀,0.7083,19
도봉구,뺑소니_발생건수,선형회귀,0.8683,19
동대문구,뺑소니_발생건수,선형회귀,0.8688,19
동작구,뺑소니_발생건수,선형회귀,0.5101,19
마포구,뺑소니_발생건수,선형회귀,0.5062,19
서대문구,뺑소니_발생건수,선형회귀,0.6926,19
서초구,뺑소니_발생건수,선형회귀,0.3596,19
성동구,뺑소니_발생건수,선형회귀,0.6117,19
성북구,뺑소니_발생건수,선형회귀,0.8275,19
송파구,뺑소니_발생건수,선형회귀,0.6978,19
양천구,뺑소니_발생건수,선형회귀,0.5891,19
영등포구,뺑소니_발생건수,선형회귀,0.668,19
용산구,뺑소니_발생건수,선형회귀,0.1725,19
은평구,뺑소니_발생건수,선형회귀,0.6974,19
종로구,뺑소니_발생건수,선형회귀,0.6751,19
중구,뺑소니_발생건수,선형회귀,0.2393,19
중랑구,뺑소니_발생건수,선형회귀,0.8386,19
강남구,뺑소니_부상자수,선형회귀,0.6791,19
강동구,뺑소니_부상자수,선형회귀,0.3467,19
강북구,뺑소니_부상자수,선형회귀,0.8257,19
강서구,뺑소니_부상자수,선형회귀,0.6478,19
관악구,뺑소니_부상자수,선형회귀,0.8513,19
광진구,뺑소니_부상자수,선형회귀,0.8142,19
구로구,뺑소니_부상자수,선형회귀,0.4562,19
금천구,뺑소니_부상자수,선형회귀,0.7595,19
노원구,뺑소니_부상자수,선형회귀,0.7133,19
도봉구,뺑소니_부상자수,선형회귀,0.7308,19
동대문구,뺑소니_부상자수,선형회귀,0.8137,19
동작구,뺑소니_부상자수,선형회귀,0.5136,19
마포구,뺑소니_부상자수,선형회귀,0.6198,19
서대문구,뺑소니_부상자수,선형회귀,0.7007,19
서초구,뺑소니_부상자수,선형회귀,0.3844,19
성동구,뺑소니_부상자수,선형회귀,0.513,19
성북구,뺑소니_부상자수,선형회귀,0.8396,19
송파구,뺑소니_부상자수,선형회귀,0.6629,19
양천구,뺑소니_부상자수,선형회귀,0.6885,19
영등포구,뺑소니_부상자수,선형회귀,0.7414,19
용산구,뺑소니_부상자수,선형회귀,0.2125,19
은평구,뺑소니_부상자수,선형회귀,0.6117,19
종로구,뺑소니_부상자수,선형회귀,0.8177,19
중구,뺑소니_부상자수,선형회귀,0.4163,19
중랑구,뺑소니_부상자수,선형회귀,0.8312,19
강남구,뺑소니_사망자수,선형회귀,0.2935,19
강동구,뺑소니_사망자수,선형회귀,0.1306,19
강북구,뺑소니_사망자수,선형회귀,0.257,19
강서구,뺑소니_사망자수,선형회귀,0.5572,19
관악구,뺑소니_사망자수,선형회귀,0.0355,19
광진구,뺑소니_사망자수,선형회귀,0.0959,19
구로구,뺑소니_사망자수,선형회귀,0.3639,19
금천구,뺑소니_사망자수,선형회귀,0.283,19
노원구,뺑소니_사망자수,선형회귀,0.28,19
도봉구,뺑소니_사망자수,선형회귀,0.3206,19
동대문구,뺑소니_사망자수,선형회귀,0.0753,19
동작구,뺑소니_사망자수,선형회귀,0.2247,19
마포구,뺑소니_사망자수,선형회귀,0.0423,19
서대문구,뺑소니_사망자수,선형회귀,0.2547,19
서초구,뺑소니_사망자수,선형회귀,0.0491,19
성동구,뺑소니_사망자수,선형회귀,0.3478,19
성북구,뺑소니_사망자수,선형회귀,0.3025,19
송파구,뺑소니_사망자수,선형회귀,0.0737,19
양천구,뺑소니_사망자수,선형회귀,0.0091,19
영등포구,뺑소니_사망자수,선형회귀,0.2426,19
용산구,뺑소니_사망자수,선형회귀,0.2398,19
은평구,뺑소니_사망자수,선형회귀,0.5137,19
종로구,뺑소니_사망자수,선형회귀,0.1817,19
중구,뺑소니_사망자수,선형회귀,0.1258,19
중랑구,뺑소니_사망자수,선형회귀,0.309,19
강남구,자전거_발생건수,선형회귀,0.7455,19
강동구,자전거_발생건수,선형회귀,0.0405,19
강북구,자전거_발생건수,선형회귀,0.2866,19
강서구,자전거_발생건수,선형회귀,0.2791,19
관악구,자전거_발생건수,선형회귀,0.0285,19
광진구,자전거_발생건수,선형회귀,0.1621,19
구로구,자전거_발생건수,선형회귀,0.4201,19
금천구,자전거_발생건수,선형회귀,0.0795,19
노원구,자전거_발생건수,선형회귀,0.2807,19
도봉구,자전거_발생건수,선형회귀,0.2722,19
동대문구,자전거_발생건수,선형회귀,0.5284,19
동작구,자전거_발생건수,선형회귀,0.7025,19
마포구,자전거_발생건수,선형회귀,0.2924,19
서대문구,자전거_발생건수,선형회귀,0.6005,19
서초구,자전거_발생건수,선형회귀,0.5538,19
성동구,자전거_발생건수,선형회귀,0.3457,19
성북구,자전거_발생건수,선형회귀,0.0511,19
송파구,자전거_발생건수,선형회귀,0.5632,19
양천구,자전거_발생건수,선형회귀,0.1816,19
영등포구,자전거_발생건수,선형회귀,0.4478,19
용산구,자전거_발생건수,선형회귀,0.3685,19
은평구,자전거_발생건수,선형회귀,0.0453,19
종로구,자전거_발생건수,선형회귀,0.1605,19
중구,자전거_발생건수,선형회귀,0.3886,19
중랑구,자전거_발생건수,선형회귀,0.064,19
강남구,자전거_사망자수,선형회귀,0.0153,19
강동구,자전거_사망자수,선형회귀,0.1035,19
강북구,자전거_사망자수,선형회귀,0.2932,19
강서구,자전거_사망자수,선형회귀,0.0849,19
관악구,자전거_사망자수,선형회귀,0.1062,19
광진구,자전거_사망자수,선형회귀,0.1049,19
구로구,자전거_사망자수,선형회귀,0.2733,19
금천구,자전거_사망자수,선형회귀,0.0106,19
노원구,자전거_사망자수,선형회귀,0.0665,19
도봉구,자전거_사망자수,선형회귀,0.0457,19
동대문구,자전거_사망자수,선형회귀,0.1602,19
동작구,자전거_사망자수,선형회귀,0.1662,19
마포구,자전거_사망자수,선형회귀,0.0833,19
서대문구,자전거_사망자수,선형회귀,0.1608,19
서초구,자전거_사망자수,선형회귀,0.0768,19
성동구,자전거_사망자수,선형회귀,0.1253,19
성북구,자전거_사망자수,선형회귀,0.0003,19
송파구,자전거_사망자수,선형회귀,0.2061,19
양천구,자전거_사망자수,선형회귀,0.0735,19
영등포구,자전거_사망자수,선형회귀,0.0814,19
용산구,자전거_사망자수,선형회귀,0.177,19
은평구,자전거_사망자수,선형회귀,0.0468,19
종로구,자전거_사망자수,선형회귀,0.0325,19
중구,자전거_사망자수,선형회귀,0.1049,19
중랑구,자전거_사망자수,선형회귀,0.2366,19
강남구,자전거_부상자수,선형회귀,0.77,19
강동구,자전거_부상자수,선형회귀,0.0654,19
강북구,자전거_부상자수,선형회귀,0.3074,19
강서구,자전거_부상자수,선형회귀,0.2996,19
관악구,자전거_부상자수,선형회귀,0.0097,19
광진구,자전거_부상자수,선형회귀,0.1257,19
구로구,자전거_부상자수,선형회귀,0.3925,19
금천구,자전거_부상자수,선형회귀,0.1159,19
노원구,자전거_부상자수,선형회귀,0.3146,19
도봉구,자전거_부상자수,선형회귀,0.2925,19
동대문구,자전거_부상자수,선형회귀,0.5797,19
동작구,자전거_부상자수,선형회귀,0.7523,19
마포구,자전거_부상자수,선형회귀,0.291,19
서대문구,자전거_부상자수,선형회귀,0.621,19
서초구,자전거_부상자수,선형회귀,0.5472,19
성동구,자전거_부상자수,선형회귀,0.366,19
성북구,자전거_부상자수,선형회귀,0.0648,19
송파구,자전거_부상자수,선형회귀,0.6084,19
양천구,자전거_부상자수,선형회귀,0.156,19
영등포구,자전거_부상자수,선형회귀,0.4763,19
용산구,자전거_부상자수,선형회귀,0.3333,19
은평구,자전거_부상자수,선형회귀,0.0315,19
종로구,자전거_부상자수,선형회귀,0.1985,19
중구,자전거_부상자수,선형회귀,0.4137,19
중랑구,자전거_부상자수,선형회귀,0.1146,19
강남구,차대사람_사상자수,선형회귀,0.5474,19
강동구,차대사람_사상자수,선형회귀,0.3997,19
강북구,차대사람_사상자수,선형회귀,0.4078,19
강서구,차대사람_사상자수,선형회귀,0.4532,19
관악구,차대사람_사상자수,선형회귀,0.6415,19
광진구,차대사람_사상자수,선형회귀,0.7683,19
구로구,차대사람_사상자수,선형회귀,0.2344,19
금천구,차대사람_사상자수,선형회귀,0.1466,19
노원구,차대사람_사상자수,선형회귀,0.4541,19
도봉구,차대사람_사상자수,선형회귀,0.5422,19
동대문구,차대사람_사상자수,선형회귀,0.3884,19
동작구,차대사람_사상자수,선형회귀,0.5213,19
마포구,차대사람_사상자수,선형회귀,0.2425,19
서대문구,차대사람_사상자수,선형회귀,0.2147,19
서초구,차대사람_사상자수,선형회귀,0.3919,19
성동구,차대사람_사상자수,선형회귀,0.0076,19
성북구,차대사람_사상자수,선형회귀,0.5286,19
송파구,차대사람_사상자수,선형회귀,0.1319,19
양천구,차대사람_사상자수,선형회귀,0.2094,19
영등포구,차대사람_사상자수,선형회귀,0.2409,19
용산구,차대사람_사상자수,선형회귀,0.0716,19
은평구,차대사람_사상자수,선형회귀,0.5445,19
종로구,차대사람_사상자수,선형회귀,0.3348,19
중구,차대사람_사상자수,선형회귀,0.518,19
중랑구,차대사람_사상자수,선형회귀,0.6894,19
강남구,차대차_사상자수,선형회귀,0.1239,19
강동구,차대차_사상자수,선형회귀,0.5025,19
강북구,차대차_사상자수,선형회귀,0.6295,19
강서구,차대차_사상자수,선형회귀,0.5815,19
관악구,차대차_사상자수,선형회귀,0.8195,19
광진구,차대차_사상자수,선형회귀,0.9458,19
구로구,차대차_사상자수,선형회귀,0.8308,19
금천구,차대차_사상자수,선형회귀,0.4146,19
노원구,차대차_사상자수,선형회귀,0.7771,19
도봉구,차대차_사상자수,선형회귀,0.8563,19
동대문구,차대차_사상자수,선형회귀,0.8168,19
동작구,차대차_사상자수,선형회귀,0.5233,19
마포구,차대차_사상자수,선형회귀,0.5774,19
서대문구,차대차_사상자수,선형회귀,0.4383,19
서초구,차대차_사상자수,선형회귀,0.2321,19
성동구,차대차_사상자수,선형회귀,0.6358,19
성북구,차대차_사상자수,선형회귀,0.6941,19
송파구,차대차_사상자수,선형회귀,0.076,19
양천구,차대차_사상자수,선형회귀,0.206,19
영등포구,차대차_사상자수,선형회귀,0.3877,19
용산구,차대차_사상자수,선형회귀,0.5508,19
은평구,차대차_사상자수,선형회귀,0.7799,19
종로구,차대차_사상자수,선형회귀,0.9249,19
중구,차대차_사상자수,선형회귀,0.8103,19
중랑구,차대차_사상자수,선형회귀,0.8713,19
강남구,차량단독_사상자수,선형회귀,0.344,19
강동구,차량단독_사상자수,선형회귀,0.1166,19
강북구,차량단독_사상자수,선형회귀,0.0968,19
강서구,차량단독_사상자수,선형회귀,0.0752,19
관악구,차량단독_사상자수,선형회귀,0.2656,19
광진구,차량단독_사상자수,선형회귀,0.3466,19
구로구,차량단독_사상자수,선형회귀,0.0427,19
금천구,차량단독_사상자수,선형회귀,0.2724,19
노원구,차량단독_사상자수,선형회귀,0.062,19
도봉구,차량단독_사상자수,선형회귀,0.449,19
동대문구,차량단독_사상자수,선형회귀,0.1469,19
동작구,차량단독_사상자수,선형회귀,0.1418,19
마포구,차량단독_사상자수,선형회귀,0.3021,19
서대문구,차량단독_사상자수,선형회귀,0.5313,19
서초구,차량단독_사상자수,선형회귀,0.1523,19
성동구,차량단독_사상자수,선형회귀,0.038,19
성북구,차량단독_사상자수,선형회귀,0.1823,19
송파구,차량단독_사상자수,선형회귀,0.0721,19
양천구,차량단독_사상자수,선형회귀,0.5089,19
영등포구,차량단독_사상자수,선형회귀,0.0658,19
용산구,차량단독_사상자수,선형회귀,0.2446,19
은평구,차량단독_사상자수,선형회귀,0.0231,19
종로구,차량단독_사상자수,선형회귀,0.0631,19
중구,차량단독_사상자수,선형회귀,0.0381,19
중랑구,차량단독_사상자수,선형회귀,0.0281,19
강남구,차대사람_발생건수,선형회귀,0.5648,19
강동구,차대사람_발생건수,선형회귀,0.4006,19
강북구,차대사람_발생건수,선형회귀,0.3565,19
