구,항목,모델,R2,학습데이터수
동대문구,눈_사상자수,선형회귀,0.284,11
동작구,눈_사상자수,선형회귀,0.7736,11
마포구,눈_사상자수,선형회귀,0.7957,11
서대문구,눈_사상자수,선형회귀,0.2899,11
서초구,눈_사상자수,선형회귀,0.0974,11
성동구,눈_사상자수,선형회귀,0.2495,11
성북구,눈_사상자수,선형회귀,0.334,11
송파구,눈_사상자수,선형회귀,0.3453,11
양천구,눈_사상자수,선형회귀,0.1342,11
영등포구,눈_사상자수,선형회귀,0.6287,11
용산구,눈_사상자수,선형회귀,0.2905,11
은평구,눈_사상자수,선형회귀,0.767,11
종로구,눈_사상자수,선형회귀,0.2121,11
중구,눈_사상자수,선형회귀,0.2337,11
중랑구,눈_사상자수,선형회귀,0.6202,11
강남구,맑음_사상자수,선형회귀,0.6733,11
강동구,맑음_사상자수,선형회귀,0.8251,11
강북구,맑음_사상자수,선형회귀,0.6364,11
강서구,맑음_사상자수,선형회귀,0.5589,11
관악구,맑음_사상자수,선형회귀,0.9156,11
광진구,맑음_사상자수,선형회귀,0.9063,11
구로구,맑음_사상자수,선형회귀,0.706,11
금천구,맑음_사상자수,선형회귀,0.2747,11
노원구,맑음_사상자수,선형회귀,0.3226,11
도봉구,맑음_사상자수,선형회귀,0.9215,11
동대문구,맑음_사상자수,선형회귀,0.8653,11
동작구,맑음_사상자수,선형회귀,0.6157,11
마포구,맑음_사상자수,선형회귀,0.8211,11
서대문구,맑음_사상자수,선형회귀,0.7578,11
서초구,맑음_사상자수,선형회귀,0.2366,11
성동구,맑음_사상자수,선형회귀,0.6105,11
성북구,맑음_사상자수,선형회귀,0.8073,11
송파구,맑음_사상자수,선형회귀,0.3042,11
양천구,맑음_사상자수,선형회귀,0.4039,11
영등포구,맑음_사상자수,선형회귀,0.6237,11
용산구,맑음_사상자수,선형회귀,0.8153,11
은평구,맑음_사상자수,선형회귀,0.6642,11
종로구,맑음_사상자수,선형회귀,0.6481,11
중구,맑음_사상자수,선형회귀,0.8163,11
중랑구,맑음_사상자수,선형회귀,0.8104,11
강남구,비_사상자수,선형회귀,0.1586,11
강동구,비_사상자수,선형회귀,0.6398,11
강북구,비_사상자수,선형회귀,0.4075,11
강서구,비_사상자수,선형회귀,0.2585,11
관악구,비_사상자수,선형회귀,0.4556,11
광진구,비_사상자수,선형회귀,0.7548,11
구로구,비_사상자수,선형회귀,0.5396,11
금천구,비_사상자수,선형회귀,0.2847,11
노원구,비_사상자수,선형회귀,0.2743,11
도봉구,비_사상자수,선형회귀,0.6013,11
동대문구,비_사상자수,선형회귀,0.5948,11
