성북구,11,452,8,227,2,35,-,19,-,28,1,143,15,447,11,254,1,47,1,59,-,43,2,44,6,434,5,232,-,47,1,39,-,29,-,87,13,482,7,275,3,55,-,44,-,39,3,69,8,528,6,222,2,64,-,33,-,48,-,161,8,519,6,194,1,73,-,31,-,35,1,186,14,488,10,214,-,30,-,33,-,39,4,172,8,488,6,259,1,27,-,25,-,21,1,156,8,462,4,257,2,37,1,29,1,23,-,116,9,491,3,242,1,46,-,31,1,29,4,143,9,513,5,279,2,45,1,58,-,22,1,109,6,506,4,277,-,64,-,52,-,12,2,101,11,411,7,227,1,43,-,31,-,25,3,85,9,400,5,208,2,42,-,19,-,23,2,108,4,415,2,209,1,53,-,12,-,20,1,121,10,304,8,112,-,37,-,13,-,22,2,120,4,299,3,99,-,33,-,8,1,26,-,133,5,312,2,108,1,40,-,11,-,25,2,128,5,308,1,92,1,22,-,12,1,22,2,160
강북구,11,383,5,190,1,21,-,15,1,22,4,135,4,411,2,212,-,41,1,65,-,22,1,71,8,409,8,232,-,48,-,59,-,22,-,48,6,417,5,216,-,34,1,52,-,19,-,96,5,458,3,213,-,39,1,52,-,24,1,130,11,474,6,210,-,36,-,57,2,33,3,138,2,390,1,160,-,26,-,38,-,22,1,144,5,398,2,153,1,41,1,27,-,14,1,163,7,419,6,154,1,30,-,13,-,12,-,210,8,442,6,136,-,20,-,14,-,9,2,263,11,440,5,183,1,24,1,15,-,21,4,197,8,421,6,188,-,15,-,28,-,15,2,175,5,449,2,178,1,70,-,33,-,18,2,150,9,407,6,142,-,54,-,25,-,19,3,167,2,410,2,144,-,30,-,32,-,11,-,193,2,299,1,82,-,19,-,10,-,10,1,178,5,263,3,74,-,22,-,19,-,5,2,143,6,323,3,91,-,26,1,23,-,15,2,168,4,296,1,75,-,66,-,23,1,16,2,116
도봉구,3,290,2,121,-,27,-,8,-,18,1,116,6,234,3,114,3,38,-,14,-,42,-,26,2,265,-,151,-,19,-,30,1,22,1,43,13,328,10,184,1,50,1,25,-,26,1,43,10,301,4,142,1,21,1,13,3,26,1,99,5,305,1,114,-,47,-,16,2,20,2,108,7,302,5,132,1,25,-,22,-,22,1,101,10,327,4,150,3,25,-,29,-,16,3,107,5,296,3,131,-,19,-,10,-,24,2,112,11,306,6,131,-,15,-,16,-,17,5,127,6,272,4,139,1,20,-,33,-,21,1,59,9,305,4,141,3,20,-,19,-,12,2,113,4,312,2,164,1,22,-,18,-,15,1,93,5,286,2,132,-,24,-,14,-,9,3,107,2,283,-,127,-,19,-,13,-,19,2,105,4,192,2,75,1,19,-,7,-,13,1,78,1,173,-,80,-,14,-,5,-,14,1,60,2,162,1,67,-,9,-,13,-,13,1,60,5,133,3,57,1,7,-,6,-,5,1,58
노원구,8,413,5,192,-,72,-,8,2,23,1,118,4,364,1,196,1,35,-,19,2,26,-,88,10,407,5,236,2,65,-,29,2,35,1,42,10,471,7,252,2,64,-,12,-,30,1,113,11,494,5,240,5,67,-,25,-,34,1,127,11,468,6,238,1,56,1,14,-,37,3,123,8,463,8,280,-,78,-,32,-,36,-,37,10,436,8,252,1,39,-,33,-,26,1,86,5,407,1,216,1,31,1,34,1,14,1,112,10,441,3,184,1,30,-,8,-,21,6,198,5,407,4,199,-,43,1,27,-,27,-,111,6,406,4,244,-,32,-,22,-,24,2,84,5,393,1,217,2,46,-,18,1,19,1,93,10,392,5,175,2,54,-,19,1,29,2,115,6,430,3,189,1,60,-,19,-,33,2,129,4,279,3,105,1,47,-,9,-,35,-,83,2,288,1,131,1,36,-,9,-,23,-,89,2,313,1,119,1,34,-,9,-,28,-,123,5,276,4,98,1,34,-,15,-,40,-,89
은평구,8,421,5,185,1,51,-,33,-,21,2,131,7,444,1,188,-,51,2,49,1,41,3,115,7,432,5,170,1,74,1,79,-,64,-,45,14,522,6,190,4,73,4,148,-,88,-,23,10,510,5,152,2,70,-,88,1,55,2,145,9,508,4,183,1,43,2,99,1,48,1,135,17,544,9,238,2,39,1,113,2,44,3,110,13,549,10,198,1,63,-,68,2,60,-,160,5,478,1,172,1,43,-,47,-,24,3,192,6,457,2,166,2,33,-,55,-,25,2,178,12,399,10,180,1,54,1,38,-,30,-,97,8,407,5,176,-,41,-,14,-,27,3,149,7,429,6,170,1,57,-,27,-,9,-,166,7,374,2,126,1,52,1,34,-,22,3,140,3,371,2,129,-,37,-,30,-,32,1,143,3,265,1,104,1,26,-,8,-,15,1,112,2,257,2,94,-,16,-,14,-,39,-,94,3,277,1,95,1,40,-,15,-,17,1,110,6,330,3,96,1,42,-,27,-,34,2,131
서대문구,12,280,9,121,-,35,-,14,-,22,3,88,6,282,5,134,-,58,1,38,-,21,-,31,10,300,6,147,3,70,1,66,-,9,-,8,10,330,6,145,3,68,-,38,-,25,1,54,14,352,8,153,2,46,-,30,-,20,4,103,10,355,7,157,-,31,-,24,2,29,1,114,11,351,4,153,4,27,-,17,-,24,3,130,4,319,1,124,-,21,-,17,-,25,3,132,10,335,5,126,1,36,-,8,-,35,4,130,9,368,5,151,3,32,-,16,-,18,1,151,7,373,3,104,1,28,1,18,1,16,1,207,11,320,6,104,2,68,1,8,-,12,2,128,5,324,4,141,-,35,-,25,-,25,1,98,4,341,3,153,1,46,-,17,-,18,-,107,8,324,4,134,2,38,-,10,-,21,2,121,8,264,3,133,1,24,-,10,-,16,4,81,3,228,3,99,-,36,-,6,-,17,-,70,3,255,1,96,-,35,-,11,1,20,1,93,1,227,-,102,-,17,-,18,-,19,1,71
마포구,12,341,9,127,-,37,-,15,-,45,3,117,9,341,6,146,1,91,-,30,1,37,1,37,8,326,6,136,-,116,1,35,1,26,-,13,7,388,6,169,-,50,-,66,-,39,1,64,10,428,6,172,3,49,-,39,-,23,1,145,11,432,4,191,2,38,-,11,-,23,5,169,13,407,8,161,2,47,-,19,-,21,3,159,12,393,-,141,2,28,-,11,-,22,10,191,14,454,7,151,1,36,-,23,-,20,6,224,12,471,8,117,-,36,-,16,-,31,4,271,8,496,3,168,1,54,-,37,-,25,4,212,8,456,3,166,4,94,-,30,-,19,1,147,7,492,5,149,2,63,-,21,-,30,-,229,4,416,3,145,-,50,-,22,-,21,1,178,4,375,2,115,1,33,-,7,-,20,1,200,9,294,5,91,2,26,1,5,1,15,-,157,6,232,2,69,1,28,-,12,-,21,3,102,7,249,5,73,1,27,-,13,-,23,1,113,5,279,2,74,1,27,-,14,-,34,2,130
양천구,4,343,1,131,1,50,-,13,-,26,2,123,9,292,4,166,3,57,-,30,1,29,1,10,8,344,4,192,2,54,1,37,1,26,-,35,11,440,8,207,-,68,1,50,1,56,1,59,5,401,2,172,3,39,-,37,-,32,-,121,6,361,2,149,-,34,-,24,1,39,3,115,5,369,3,152,-,44,1,26,1,29,-,118,8,400,6,173,2,38,-,24,-,20,-,145,4,404,2,138,-,36,-,17,-,27,2,186,7,410,6,139,1,12,-,6,-,30,-,223,5,483,4,190,-,25,-,31,-,28,1,209,6,413,4,152,2,52,-,46,-,17,-,146,8,378,2,151,2,63,-,18,-,11,4,135,5,383,3,141,1,26,-,19,-,14,1,183,7,386,3,131,2,13,-,20,-,24,2,198,4,290,3,103,-,18,-,7,1,15,-,147,7,296,4,93,-,20,-,9,-,32,3,142,7,259,3,75,1,12,-,8,-,14,3,150,2,291,-,93,-,30,-,12,-,28,2,128
강서구,8,493,7,180,-,48,-,34,1,30,-,201,12,445,6,166,-,44,-,37,2,36,4,162,11,498,7,206,1,64,-,24,1,44,2,160,8,570,1,205,3,80,1,55,1,52,2,178,7,568,1,207,2,75,1,32,1,41,2,213,12,573,6,214,-,50,1,14,-,25,5,270,5,577,3,164,-,47,-,19,1,27,1,320,14,513,5,108,1,30,-,15,1,15,7,345,15,519,7,143,1,18,-,19,-,17,7,322,14,515,5,142,1,23,-,21,1,18,7,311,7,547,3,152,1,95,-,28,1,19,2,253,6,485,4,287,1,38,-,13,-,11,1,136,6,414,3,146,2,69,-,29,-,42,1,128,5,412,3,167,1,47,-,23,-,21,1,154,13,469,6,154,3,51,-,29,-,39,4,196,10,403,4,159,2,43,-,10,-,37,4,154,8,345,3,118,-,30,-,23,1,25,4,149,9,398,3,121,-,27,1,22,-,31,5,197,4,336,2,104,-,29,-,14,-,21,2,168
구로구,14,361,8,150,-,44,-,13,1,29,5,125,10,320,10,179,-,27,-,23,-,33,-,58,9,327,8,184,1,39,-,35,-,29,-,40,12,441,11,239,-,79,-,58,-,41,1,24,9,459,3,222,3,61,1,55,-,45,2,76,5,424,1,233,2,37,-,49,1,22,1,83,9,423,9,238,-,24,-,91,-,25,-,45,10,474,9,259,-,25,-,46,1,33,-,111,10,436,8,196,-,27,-,53,-,32,2,128,12,468,6,210,-,14,1,33,-,22,5,189,14,451,7,204,2,37,-,27,-,22,5,161,5,450,3,176,-,64,-,22,-,24,2,164,9,379,4,175,2,39,-,25,-,21,3,119,10,383,6,167,-,44,-,24,1,22,3,126,8,420,6,165,-,31,-,23,-,23,2,178,2,313,1,111,1,33,-,19,-,42,-,108,2,290,-,67,-,29,2,19,-,34,-,141,3,295,1,84,1,16,-,22,-,39,1,134,1,342,1,120,-,25,-,19,-,20,-,158
