"합계",성북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1550,123.0,19,4.1,2251,481.7,1564,119.7,24,5.0,2248,469.8,1391,105.1,9,1.9,1943,407.0,1781,133.8,19,3.9,2506,520.5,1905,139.1,15,3.1,2617,540.2,1611,114.8,10,2.0,2197,441.4,1569,111.2,22,4.4,2103,425.3,1572,110.1,11,2.2,2055,418.8,1536,107.4,9,1.9,2149,442.8,1664,116.7,17,3.6,2227,467.9,1680,117.5,19,4.1,2286,486.8,1618,113.4,13,2.8,2106,456.2,1557,108.5,17,3.7,2068,454.1,1427,99.9,14,3.1,1980,442.3,1509,103.5,8,1.8,2007,441.3,1275,86.9,7,1.6,1622,362.8,1285,88.7,15,3.4,1606,364.9,1288,87.9,8,1.8,1626,367.9,1256,85.9,8,1.8,1581,360.8
"합계",강북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1136,124.4,18,5.1,1606,452.0,1258,137.4,7,2.0,1777,505.4,1263,137.8,11,3.2,1792,513.9,1373,149.6,12,3.5,1887,545.8,1392,151.0,20,5.8,1949,566.7,1293,137.4,16,4.6,1780,508.6,1174,124.1,7,2.0,1648,472.6,1212,125.6,9,2.6,1680,484.9,1107,115.0,10,2.9,1525,446.0,1313,136.0,12,3.5,1773,523.9,1265,129.5,16,4.8,1684,503.6,1227,124.2,15,4.5,1678,507.4,1202,120.5,9,2.7,1567,477.7,1216,122.6,13,4.0,1633,505.7,1277,130.0,7,2.2,1706,537.0,1087,110.9,3,1.0,1420,455.8,1017,109.4,6,2.0,1302,430.3,1044,112.0,6,2.0,1266,425.3,972,105.0,5,1.7,1217,415.4
"합계",도봉구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,928,87.7,8,2.1,1409,367.5,856,80.9,9,2.4,1372,361.3,796,74.5,11,2.9,1191,314.6,1036,96.6,17,4.5,1467,389.4,988,91.5,17,4.6,1405,377.3,975,90.7,11,3.0,1362,367.4,933,86.2,15,4.1,1279,347.6,983,90.6,16,4.4,1294,355.1,934,85.9,8,2.2,1259,349.1,919,83.9,14,3.9,1205,338.8,914,82.6,8,2.3,1255,355.3,949,84.9,11,3.1,1306,372.9,944,84.3,9,2.6,1239,357.9,824,73.5,6,1.8,1061,310.6,852,76.6,4,1.2,1163,346.5,741,66.9,7,2.1,990,302.4,591,54.1,3,0.9,768,240.5,522,47.9,2,0.6,705,224.5,530,48.9,7,2.3,685,221.3
"합계",노원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1722,105.3,20,3.2,2638,422.2,1583,96.3,16,2.6,2447,393.6,1707,102.6,26,4.2,2380,383.1,1742,104.0,22,3.5,2476,398.8,1829,108.4,21,3.4,2602,423.0,1683,99.2,25,4.1,2434,395.5,1529,90.5,14,2.3,2231,366.9,1623,96.0,13,2.2,2330,387.8,1522,90.5,13,2.2,2175,366.1,1516,90.1,17,2.9,2038,347.7,1459,85.9,15,2.6,2098,362.8,1535,89.8,13,2.3,2216,388.0,1499,88.3,11,2.0,2055,368.2,1569,93.1,14,2.6,2227,406.3,1703,102.0,8,1.5,2302,428.4,1462,87.1,5,0.9,2016,382.5,1413,84.4,8,1.6,1940,376.7,1384,82.5,6,1.2,1913,376.6,1366,81.5,9,1.8,1869,371.6
"합계",은평구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1373,109.7,11,2.3,1950,411.9,1391,111.5,18,3.8,1964,419.7,1315,105.4,16,3.5,1847,398.5,1596,127.0,16,3.5,2160,466.2,1739,134.5,15,3.2,2379,505.3,1514,112.2,16,3.2,2120,430.1,1509,109.7,20,4.0,2058,413.0,1519,106.6,21,4.2,2197,434.3,1270,87.8,10,2.0,1716,337.7,1325,91.0,11,2.2,1889,375.4,1203,81.4,16,3.2,1673,332.9,1121,75.3,14,2.8,1518,306.1,1067,71.2,12,2.4,1489,303.1,1134,75.3,12,2.5,1580,324.0,1119,74.3,7,1.4,1464,302.1,953,62.1,14,2.9,1415,292.3,867,56.9,11,2.3,1218,255.3,918,59.9,9,1.9,1256,266.9,1039,67.1,7,1.5,1353,287.3
"합계",서대문구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1049,109.8,16,4.5,1589,446.4,935,97.0,10,2.8,1345,377.1,1031,106.0,13,3.6,1513,423.6,1081,114.7,14,4.1,1530,449.0,1231,130.7,26,7.7,1811,537.9,1141,122.1,15,4.5,1719,514.9,1061,115.7,14,4.3,1496,461.0,1041,111.1,13,4.0,1645,506.6,1081,115.0,14,4.3,1578,486.9,1122,118.8,16,5.0,1590,495.5,1071,110.2,13,4.0,1492,461.8,1135,114.3,14,4.3,1566,480.6,1032,102.2,8,2.5,1430,440.0,1033,101.6,5,1.5,1403,434.3,1113,109.2,14,4.3,1609,497.9,928,88.7,6,1.9,1256,388.9,930,90.9,9,2.9,1206,382.1,974,93.2,5,1.6,1303,407.8,916,86.9,4,1.2,1220,380.5
"합계",마포구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1552,126.9,27,6.9,2517,640.2,1589,127.1,22,5.5,2429,611.8,1439,113.7,24,6.0,2241,559.7,1673,134.7,12,3.1,2544,646.9,1658,132.9,29,7.4,2526,643.9,1726,136.4,22,5.5,2697,673.5,1623,127.0,23,5.8,2530,634.7,1561,121.6,23,5.8,2363,600.4,1747,135.1,23,5.9,2732,698.5,1759,132.4,20,5.1,2633,665.2,1802,133.8,17,4.3,2730,685.3,1768,131.5,15,3.8,2605,666.4,1859,138.9,8,2.1,2793,724.0,1671,123.7,11,2.8,2429,628.7,1494,110.6,7,1.8,2123,550.1,1272,92.9,13,3.4,1754,459.3,1102,79.2,14,3.7,1573,415.4,1065,78.2,10,2.7,1483,394.9,1250,91.2,14,3.7,1715,457.1
"합계",양천구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1304,85.0,16,3.2,1849,367.7,1273,81.5,14,2.8,1878,371.4,1185,74.4,16,3.1,1737,341.5,1533,96.8,21,4.1,2122,417.8,1732,106.4,18,3.6,2413,476.2,1463,89.9,12,2.4,2070,409.7,1444,88.7,14,2.8,2006,396.8,1418,86.2,14,2.8,2036,406.8,1340,81.2,14,2.8,1905,383.4,1466,88.7,13,2.6,2000,407.6,1596,95.3,14,2.9,2231,456.2,1493,89.0,12,2.5,2056,426.7,1343,79.3,13,2.7,1789,376.6,1428,84.4,11,2.3,1939,414.2,1506,89.4,11,2.4,2085,451.0,1344,77.9,7,1.5,1829,399.5,1305,77.9,14,3.1,1692,375.6,1165,70.6,8,1.8,1529,344.4,1221,74.3,5,1.1,1624,369.7
"합계",강서구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1794,104.2,19,3.4,2725,488.9,1687,95.2,24,4.3,2437,435.3,1769,97.1,19,3.4,2484,438.5,2056,109.2,22,3.8,2811,481.7,1994,104.3,15,2.6,2867,495.0,1872,95.1,21,3.6,2594,446.9,1885,96.6,16,2.8,2740,475.8,1767,90.9,25,4.4,2573,448.4,1715,88.4,26,4.5,2517,437.6,1806,88.6,32,5.4,2614,441.8,1932,92.2,12,2.0,2762,463.7,1691,78.7,13,2.2,2230,370.4,1584,71.8,12,2.0,2155,354.3,1502,67.4,11,1.8,2208,365.8,1829,81.9,20,3.3,2491,416.4,1575,70.2,17,2.9,2131,363.7,1501,66.8,13,2.2,2042,352.2,1606,71.1,15,2.6,2108,366.8,1518,67.7,9,1.6,2112,371.3
"합계",구로구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1387,103.9,24,5.6,2196,514.1,1396,99.3,22,5.0,2163,495.2,1479,101.0,13,2.9,2322,521.7,1577,105.8,22,4.9,2348,523.3,1583,106.4,15,3.3,2364,525.8,1568,103.5,14,3.1,2270,501.5,1542,105.0,15,3.3,2226,485.1,1582,108.6,21,4.6,2366,520.6,1415,94.6,19,4.2,2165,478.8,1566,102.2,19,4.2,2205,482.4,1508,97.4,19,4.2,2127,467.9,1511,96.3,9,2.0,2139,475.8,1433,89.4,12,2.7,1960,443.9,1532,95.6,13,3.0,2129,485.5,1529,95.5,13,3.0,2096,477.0,1325,82.2,10,2.3,1810,418.5,1350,84.0,9,2.1,1729,410.5,1274,77.9,12,2.9,1691,404.1,1359,83.5,5,1.2,1840,442.7
