연도,구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
2015,강남구,582206.0,330.0,447.0,2.0,92.0,0.0,55.0,1.0,45.0,0.0,309.0,7.0,120.0,217.0,0.0,214.0,2.0,235.0,15.0,3569.0,298.0,80.0,22.0,5111.0,446.0,111.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,2962.0,90.0,960.0,4641.0,105.0,977.4,3.4,151.8
2016,강남구,575597.0,319.0,455.0,0.0,98.0,0.0,73.0,0.0,87.0,0.0,218.0,3.0,101.0,166.0,0.0,151.0,0.0,169.0,12.0,3370.0,247.0,85.0,14.0,4786.0,360.0,126.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,2883.0,69.0,936.0,4429.0,92.0,951.7,2.1,147.3
2017,강남구,566427.0,289.0,352.0,1.0,81.0,0.0,43.0,1.0,62.0,1.0,320.0,4.0,69.0,120.0,1.0,138.0,1.0,146.0,24.0,3132.0,192.0,81.0,37.0,4491.0,271.0,128.0,475.0,96.0,2812.0,60.0,146.0,4122.0,90.0,810.0,2590.0,69.0,864.0,4037.0,77.0,883.9,3.4,136.0
2018,강남구,551615.0,288.0,355.0,2.0,114.0,0.0,40.0,2.0,52.0,1.0,221.0,4.0,75.0,130.0,1.0,119.0,2.0,131.0,13.0,3004.0,191.0,87.0,20.0,4330.0,283.0,120.0,406.0,81.0,2835.0,49.0,120.0,4181.0,63.0,749.0,2639.0,71.0,792.0,4108.0,87.0,907.3,3.7,137.2
2019,강남구,548432.0,310.0,428.0,4.0,98.0,0.0,63.0,1.0,51.0,2.0,223.0,1.0,65.0,107.0,0.0,114.0,0.0,127.0,1.0,3308.0,206.0,97.0,1.0,4609.0,302.0,133.0,437.0,104.0,2888.0,63.0,132.0,4155.0,88.0,825.0,2832.0,65.0,867.0,4252.0,77.0,941.8,2.5,147.4
2020,강남구,546049.0,312.0,383.0,1.0,94.0,1.0,65.0,0.0,32.0,2.0,54.0,2.0,65.0,107.0,0.0,176.0,0.0,208.0,6.0,3185.0,282.0,128.0,9.0,4372.0,425.0,180.0,364.0,84.0,2774.0,70.0,103.0,3993.0,88.0,721.0,2964.0,67.0,761.0,4371.0,74.0,953.8,3.1,147.5
2021,강남구,537880.0,318.0,374.0,4.0,72.0,0.0,58.0,0.0,45.0,0.0,132.0,2.0,106.0,145.0,1.0,161.0,0.0,188.0,38.0,3308.0,216.0,109.0,54.0,4466.0,303.0,147.0,362.0,101.0,2783.0,76.0,127.0,3880.0,104.0,659.0,3103.0,58.0,693.0,4429.0,63.0,962.3,1.9,149.1
2022,강남구,535784.0,309.0,471.0,3.0,69.0,0.0,63.0,0.0,40.0,0.0,152.0,4.0,90.0,122.0,1.0,159.0,1.0,178.0,15.0,3258.0,201.0,73.0,18.0,4462.0,273.0,102.0,411.0,113.0,2769.0,74.0,172.0,3880.0,102.0,771.0,2879.0,59.0,793.0,4205.0,70.0,945.9,3.0,140.0
2023,강남구,544179.0,327.0,404.0,2.0,70.0,0.0,90.0,0.0,78.0,1.0,187.0,2.0,91.0,115.0,1.0,172.0,0.0,203.0,5.0,3408.0,266.0,83.0,8.0,4556.0,353.0,100.0,388.0,140.0,2953.0,77.0,198.0,4029.0,98.0,801.0,3057.0,68.0,853.0,4305.0,78.0,950.2,1.3,145.7
2024,강남구,562337.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,강남구,563189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,강동구,0.0,110.0,143.0,0.0,21.0,1.0,26.0,1.0,37.0,0.0,176.0,4.0,60.0,83.0,0.0,101.0,5.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,922.0,20.0,402.0,1431.0,24.0,393.9,4.1,93.7
2006,강동구,0.0,105.0,140.0,3.0,46.0,0.0,24.0,0.0,18.0,0.0,135.0,4.0,36.0,47.0,2.0,109.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,892.0,28.0,370.0,1362.0,37.0,376.8,3.4,89.1
2007,강동구,0.0,123.0,86.0,3.0,52.0,0.0,47.0,1.0,69.0,1.0,190.0,4.0,46.0,75.0,0.0,113.0,2.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,1036.0,30.0,445.0,1634.0,46.0,449.0,4.1,102.3
2008,강동구,471101.0,141.0,143.0,2.0,60.0,1.0,67.0,0.0,60.0,0.0,181.0,4.0,48.0,69.0,1.0,201.0,0.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,1164.0,38.0,512.0,1803.0,50.0,496.2,2.7,116.0
2009,강동구,483631.0,128.0,189.0,2.0,19.0,0.0,45.0,1.0,44.0,0.0,158.0,3.0,61.0,89.0,1.0,165.0,5.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,1060.0,51.0,453.0,1640.0,59.0,435.0,4.5,101.0
2010,강동구,493030.0,117.0,185.0,5.0,11.0,0.0,44.0,0.0,41.0,0.0,153.0,3.0,31.0,60.0,0.0,179.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,967.0,33.0,448.0,1461.0,50.0,391.4,2.8,90.7
