연도,구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
2025,강북구,288797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,강서구,0.0,149.0,201.0,0.0,34.0,0.0,30.0,1.0,48.0,0.0,180.0,7.0,133.0,195.0,1.0,77.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,1286.0,42.0,493.0,2186.0,65.0,488.9,3.4,104.2
2006,강서구,0.0,140.0,162.0,4.0,37.0,0.0,36.0,2.0,44.0,0.0,166.0,6.0,97.0,142.0,1.0,92.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,1218.0,56.0,438.0,1952.0,71.0,435.3,4.3,95.2
2007,강서구,0.0,147.0,160.0,2.0,24.0,0.0,44.0,1.0,64.0,1.0,206.0,7.0,92.0,138.0,1.0,104.0,3.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,472.0,1251.0,46.0,506.0,1947.0,50.0,438.5,3.4,97.1
2008,강서구,580174.0,171.0,178.0,2.0,55.0,1.0,52.0,1.0,80.0,3.0,205.0,1.0,69.0,103.0,2.0,184.0,5.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,1447.0,68.0,573.0,2184.0,76.0,481.7,3.8,109.2
2009,강서구,582608.0,166.0,213.0,2.0,32.0,1.0,41.0,1.0,75.0,2.0,207.0,1.0,64.0,108.0,1.0,147.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,1402.0,57.0,574.0,2238.0,70.0,495.0,2.6,104.3
2010,강서구,578182.0,156.0,270.0,5.0,14.0,1.0,25.0,0.0,50.0,0.0,214.0,6.0,51.0,81.0,2.0,139.0,1.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,1255.0,63.0,597.0,1945.0,73.0,446.9,3.6,95.1
2011,강서구,577986.0,157.0,320.0,1.0,19.0,0.0,27.0,1.0,47.0,0.0,164.0,3.0,74.0,124.0,1.0,142.0,2.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,1262.0,70.0,575.0,2099.0,82.0,475.8,2.8,96.6
2012,강서구,574692.0,147.0,345.0,7.0,15.0,0.0,15.0,1.0,30.0,1.0,108.0,5.0,61.0,104.0,2.0,162.0,1.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,1191.0,81.0,526.0,1980.0,92.0,448.4,4.4,90.9
2013,강서구,574508.0,142.0,322.0,7.0,19.0,0.0,17.0,0.0,18.0,1.0,143.0,7.0,55.0,96.0,2.0,178.0,1.0,186.0,15.0,1465.0,117.0,116.0,33.0,2149.0,175.0,184.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,506.0,1118.0,91.0,538.0,1870.0,135.0,437.6,4.5,88.4
2014,강서구,582906.0,150.0,311.0,7.0,21.0,0.0,18.0,1.0,23.0,1.0,142.0,5.0,37.0,53.0,1.0,226.0,4.0,233.0,9.0,1599.0,104.0,89.0,14.0,2271.0,181.0,170.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,1229.0,72.0,531.0,2025.0,90.0,441.8,5.4,88.6
2015,강서구,595215.0,161.0,253.0,2.0,28.0,0.0,19.0,1.0,95.0,1.0,152.0,3.0,43.0,65.0,1.0,245.0,1.0,267.0,2.0,1757.0,128.0,43.0,3.0,2530.0,185.0,53.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,1329.0,72.0,556.0,2134.0,84.0,463.7,2.0,92.2
2016,강서구,599344.0,140.0,136.0,1.0,13.0,0.0,11.0,0.0,38.0,1.0,287.0,4.0,14.0,28.0,0.0,203.0,1.0,211.0,4.0,1588.0,62.0,29.0,4.0,2100.0,85.0,45.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,1139.0,81.0,495.0,1644.0,104.0,370.4,2.2,78.7
2017,강서구,606681.0,132.0,128.0,1.0,29.0,0.0,42.0,0.0,69.0,2.0,146.0,3.0,25.0,40.0,0.0,162.0,3.0,176.0,7.0,1442.0,60.0,60.0,11.0,1971.0,87.0,78.0,335.0,96.0,1016.0,29.0,124.0,1462.0,38.0,402.0,1125.0,57.0,423.0,1681.0,63.0,354.3,2.0,71.8
2018,강서구,606005.0,125.0,154.0,1.0,23.0,0.0,21.0,0.0,47.0,1.0,167.0,3.0,31.0,43.0,1.0,103.0,2.0,105.0,9.0,1314.0,104.0,70.0,15.0,1913.0,163.0,123.0,359.0,106.0,990.0,24.0,193.0,1482.0,33.0,387.0,1052.0,63.0,418.0,1719.0,82.0,365.8,1.8,67.4
2019,강서구,600907.0,152.0,196.0,4.0,29.0,0.0,39.0,0.0,51.0,3.0,154.0,6.0,56.0,71.0,0.0,161.0,1.0,173.0,6.0,1554.0,110.0,120.0,15.0,2133.0,135.0,174.0,308.0,121.0,1155.0,38.0,192.0,1599.0,55.0,469.0,1298.0,62.0,495.0,1933.0,83.0,416.4,3.3,81.9
2020,강서구,591085.0,131.0,154.0,4.0,10.0,0.0,37.0,0.0,43.0,2.0,159.0,4.0,56.0,71.0,0.0,165.0,2.0,176.0,2.0,1367.0,112.0,51.0,3.0,1853.0,155.0,65.0,195.0,74.0,965.0,42.0,110.0,1362.0,59.0,346.0,1179.0,50.0,363.0,1726.0,59.0,363.7,2.9,70.2
2021,강서구,581708.0,125.0,149.0,4.0,23.0,0.0,25.0,1.0,30.0,0.0,118.0,3.0,60.0,86.0,0.0,187.0,2.0,198.0,8.0,1324.0,92.0,65.0,11.0,1802.0,141.0,87.0,202.0,68.0,885.0,41.0,92.0,1275.0,59.0,340.0,1121.0,40.0,363.0,1645.0,47.0,352.2,2.2,66.8
2022,강서구,576835.0,133.0,197.0,5.0,22.0,1.0,31.0,0.0,27.0,0.0,121.0,3.0,33.0,54.0,0.0,222.0,1.0,246.0,3.0,1438.0,84.0,41.0,4.0,1894.0,110.0,57.0,182.0,100.0,965.0,41.0,121.0,1332.0,59.0,386.0,1178.0,42.0,414.0,1660.0,49.0,366.8,2.6,71.1
2023,강서구,571224.0,126.0,168.0,2.0,14.0,0.0,21.0,0.0,29.0,0.0,104.0,2.0,43.0,65.0,0.0,156.0,0.0,164.0,3.0,1350.0,95.0,34.0,3.0,1866.0,144.0,51.0,224.0,93.0,981.0,43.0,133.0,1430.0,60.0,330.0,1153.0,35.0,343.0,1743.0,35.0,371.3,1.6,67.7
2024,강서구,564500.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,강서구,560094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,관악구,0.0,137.0,214.0,5.0,27.0,0.0,26.0,3.0,27.0,0.0,195.0,9.0,103.0,154.0,3.0,37.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,1149.0,47.0,479.0,1835.0,60.0,437.2,4.7,120.7
2006,관악구,0.0,139.0,103.0,1.0,114.0,0.0,40.0,0.0,62.0,0.0,172.0,2.0,65.0,107.0,0.0,47.0,1.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,1181.0,36.0,480.0,1867.0,41.0,435.2,2.2,119.6
2007,관악구,0.0,153.0,85.0,3.0,91.0,0.0,71.0,0.0,65.0,0.0,224.0,7.0,76.0,125.0,2.0,51.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,1297.0,45.0,536.0,2017.0,62.0,471.5,3.3,131.0
2008,관악구,553449.0,162.0,57.0,0.0,76.0,0.0,78.0,0.0,97.0,2.0,276.0,5.0,61.0,107.0,0.0,94.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,1337.0,67.0,575.0,2068.0,80.0,491.1,2.4,138.2
2009,관악구,550744.0,164.0,194.0,2.0,75.0,0.0,47.0,0.0,43.0,2.0,238.0,3.0,60.0,108.0,0.0,77.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,1342.0,66.0,610.0,2103.0,79.0,507.6,2.6,140.1
2010,관악구,546486.0,154.0,194.0,4.0,82.0,0.0,34.0,0.0,48.0,0.0,219.0,7.0,68.0,114.0,0.0,74.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,1238.0,56.0,590.0,1993.0,65.0,478.8,2.9,131.3
2011,관악구,548943.0,144.0,202.0,3.0,53.0,0.0,33.0,1.0,40.0,2.0,201.0,4.0,56.0,93.0,1.0,98.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,1170.0,64.0,534.0,1804.0,75.0,438.5,3.1,123.3
2012,관악구,543777.0,142.0,238.0,4.0,43.0,1.0,36.0,0.0,38.0,0.0,176.0,6.0,40.0,65.0,0.0,89.0,2.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,1131.0,62.0,538.0,1713.0,68.0,425.3,3.7,119.9
2013,관악구,538154.0,146.0,291.0,8.0,29.0,0.0,22.0,0.0,21.0,0.0,190.0,6.0,33.0,59.0,1.0,105.0,0.0,107.0,8.0,1489.0,128.0,72.0,12.0,2066.0,236.0,117.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0,1151.0,65.0,561.0,1861.0,80.0,463.8,3.7,122.9
2014,관악구,533809.0,143.0,304.0,9.0,49.0,1.0,26.0,0.0,13.0,1.0,150.0,0.0,33.0,54.0,0.0,121.0,0.0,133.0,14.0,1434.0,103.0,56.0,18.0,1955.0,157.0,77.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,1125.0,76.0,549.0,1699.0,91.0,435.6,4.1,119.5
2015,관악구,531299.0,135.0,243.0,1.0,60.0,1.0,24.0,0.0,12.0,0.0,199.0,7.0,47.0,66.0,2.0,98.0,0.0,101.0,11.0,1424.0,107.0,44.0,15.0,1857.0,154.0,73.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,1057.0,55.0,552.0,1532.0,63.0,403.6,2.3,111.7
2016,관악구,528280.0,117.0,159.0,6.0,36.0,3.0,29.0,1.0,44.0,2.0,169.0,1.0,18.0,24.0,0.0,72.0,1.0,71.0,5.0,1216.0,68.0,37.0,5.0,1641.0,105.0,49.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,932.0,51.0,460.0,1371.0,83.0,360.5,3.6,95.9
2017,관악구,523288.0,104.0,139.0,3.0,33.0,0.0,15.0,0.0,35.0,3.0,151.0,4.0,19.0,25.0,0.0,56.0,0.0,60.0,9.0,1150.0,37.0,37.0,11.0,1521.0,57.0,53.0,254.0,67.0,800.0,20.0,86.0,1110.0,24.0,368.0,851.0,32.0,391.0,1243.0,36.0,318.5,2.1,85.3
2018,관악구,521494.0,108.0,141.0,2.0,30.0,0.0,31.0,2.0,45.0,1.0,118.0,2.0,21.0,36.0,0.0,56.0,1.0,55.0,5.0,1091.0,91.0,37.0,5.0,1436.0,124.0,63.0,310.0,78.0,877.0,22.0,95.0,1206.0,25.0,354.0,904.0,42.0,377.0,1298.0,50.0,330.2,1.5,89.1
2019,관악구,519449.0,113.0,152.0,2.0,25.0,0.0,15.0,0.0,44.0,2.0,123.0,2.0,23.0,27.0,1.0,74.0,1.0,79.0,4.0,1175.0,96.0,34.0,4.0,1514.0,127.0,41.0,275.0,90.0,863.0,26.0,107.0,1136.0,33.0,352.0,964.0,47.0,367.0,1347.0,51.0,339.2,1.9,94.3
2020,관악구,514334.0,120.0,145.0,4.0,26.0,0.0,18.0,1.0,38.0,0.0,115.0,2.0,23.0,27.0,1.0,77.0,3.0,75.0,5.0,1128.0,99.0,89.0,5.0,1436.0,123.0,111.0,199.0,68.0,915.0,37.0,78.0,1189.0,41.0,329.0,1087.0,28.0,346.0,1456.0,30.0,356.8,2.6,99.9
2021,관악구,501964.0,118.0,171.0,2.0,13.0,0.0,19.0,0.0,33.0,1.0,91.0,2.0,17.0,23.0,2.0,62.0,0.0,70.0,16.0,1175.0,94.0,92.0,19.0,1508.0,127.0,122.0,231.0,88.0,889.0,25.0,125.0,1147.0,30.0,315.0,1064.0,40.0,334.0,1454.0,49.0,366.2,1.6,101.8
2022,관악구,500788.0,97.0,145.0,1.0,14.0,0.0,23.0,0.0,41.0,0.0,70.0,5.0,29.0,38.0,0.0,57.0,1.0,60.0,4.0,1017.0,73.0,66.0,6.0,1356.0,85.0,81.0,278.0,85.0,727.0,28.0,118.0,973.0,34.0,283.0,851.0,38.0,304.0,1197.0,43.0,306.2,1.8,83.5
2023,관악구,500880.0,81.0,159.0,3.0,24.0,0.0,24.0,0.0,27.0,1.0,57.0,0.0,31.0,37.0,0.0,47.0,1.0,48.0,3.0,806.0,61.0,88.0,3.0,1044.0,77.0,113.0,247.0,74.0,583.0,16.0,87.0,789.0,24.0,286.0,671.0,23.0,309.0,930.0,23.0,251.5,2.0,70.0
2024,관악구,496887.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,관악구,497213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,광진구,0.0,130.0,182.0,4.0,3.0,0.0,17.0,0.0,20.0,0.0,136.0,8.0,94.0,135.0,1.0,102.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,1195.0,25.0,369.0,1906.0,28.0,599.8,5.5,146.4
2006,광진구,0.0,133.0,84.0,1.0,9.0,0.0,51.0,0.0,41.0,0.0,158.0,5.0,92.0,145.0,0.0,98.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,1258.0,28.0,350.0,1963.0,36.0,612.8,2.9,149.1
2007,광진구,0.0,139.0,72.0,0.0,40.0,1.0,41.0,1.0,85.0,1.0,177.0,6.0,70.0,114.0,1.0,129.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,1250.0,29.0,417.0,1948.0,48.0,620.1,4.4,154.4
2008,광진구,388065.0,137.0,32.0,1.0,43.0,0.0,52.0,0.0,72.0,4.0,179.0,3.0,52.0,87.0,1.0,161.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,1253.0,40.0,378.0,2046.0,63.0,637.8,4.4,151.6
2009,광진구,387379.0,138.0,104.0,1.0,45.0,0.0,27.0,1.0,53.0,1.0,177.0,4.0,73.0,114.0,3.0,175.0,6.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,1240.0,37.0,404.0,1908.0,49.0,604.1,6.7,148.9
2010,광진구,386087.0,128.0,165.0,2.0,15.0,0.0,19.0,0.0,34.0,0.0,144.0,6.0,49.0,87.0,0.0,157.0,2.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,1148.0,33.0,376.0,1811.0,42.0,569.0,4.4,139.7
2011,광진구,387923.0,119.0,179.0,4.0,2.0,0.0,25.0,1.0,19.0,1.0,131.0,10.0,56.0,80.0,3.0,128.0,1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,1035.0,41.0,372.0,1632.0,52.0,525.8,5.9,128.0
2012,광진구,385599.0,124.0,231.0,3.0,8.0,0.0,10.0,0.0,28.0,1.0,128.0,4.0,76.0,129.0,0.0,179.0,1.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,1081.0,35.0,405.0,1759.0,43.0,569.9,4.4,131.9
2013,광진구,382734.0,108.0,204.0,1.0,14.0,0.0,18.0,0.0,8.0,1.0,109.0,1.0,44.0,70.0,0.0,172.0,2.0,180.0,5.0,1155.0,96.0,36.0,7.0,1712.0,141.0,52.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,933.0,38.0,356.0,1522.0,48.0,502.3,2.6,114.3
2014,광진구,379486.0,123.0,228.0,2.0,7.0,0.0,24.0,1.0,14.0,0.0,137.0,4.0,35.0,59.0,0.0,223.0,1.0,246.0,10.0,1347.0,72.0,47.0,15.0,1896.0,113.0,65.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,1034.0,56.0,422.0,1608.0,63.0,551.4,3.2,130.3
2015,광진구,376238.0,102.0,158.0,3.0,18.0,0.0,19.0,0.0,38.0,0.0,107.0,4.0,42.0,64.0,1.0,198.0,1.0,217.0,2.0,1127.0,76.0,27.0,2.0,1596.0,113.0,47.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,854.0,49.0,361.0,1347.0,53.0,464.8,4.5,107.5
2016,광진구,373658.0,87.0,137.0,0.0,11.0,0.0,15.0,0.0,31.0,0.0,115.0,4.0,31.0,41.0,0.0,128.0,0.0,135.0,4.0,916.0,73.0,44.0,5.0,1278.0,106.0,76.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,708.0,42.0,308.0,1117.0,50.0,394.0,2.4,90.4
2017,광진구,372151.0,88.0,142.0,0.0,29.0,0.0,3.0,0.0,15.0,1.0,115.0,4.0,28.0,47.0,0.0,114.0,2.0,116.0,4.0,965.0,46.0,22.0,8.0,1328.0,57.0,34.0,191.0,50.0,686.0,21.0,61.0,1007.0,33.0,283.0,744.0,37.0,308.0,1106.0,43.0,387.1,4.3,90.9
2018,광진구,370813.0,92.0,90.0,1.0,49.0,2.0,18.0,0.0,24.0,1.0,101.0,2.0,32.0,51.0,0.0,115.0,2.0,121.0,6.0,981.0,77.0,33.0,13.0,1296.0,109.0,50.0,177.0,37.0,752.0,12.0,54.0,1037.0,21.0,266.0,810.0,32.0,292.0,1157.0,35.0,397.2,2.7,93.2
2019,광진구,368859.0,81.0,140.0,2.0,18.0,0.0,11.0,0.0,22.0,0.0,75.0,1.0,29.0,45.0,1.0,109.0,0.0,115.0,1.0,896.0,49.0,27.0,1.0,1225.0,60.0,33.0,171.0,41.0,642.0,22.0,64.0,905.0,29.0,260.0,682.0,31.0,270.0,1015.0,34.0,358.6,0.8,82.8
2020,광진구,362986.0,72.0,104.0,1.0,6.0,0.0,15.0,0.0,20.0,0.0,127.0,3.0,29.0,45.0,1.0,92.0,0.0,97.0,0.0,795.0,49.0,25.0,0.0,1041.0,69.0,39.0,172.0,23.0,557.0,23.0,36.0,776.0,31.0,190.0,649.0,30.0,201.0,918.0,30.0,318.0,1.1,73.9
2021,광진구,354376.0,76.0,122.0,1.0,20.0,0.0,17.0,0.0,20.0,0.0,37.0,1.0,31.0,39.0,1.0,121.0,0.0,133.0,1.0,837.0,54.0,16.0,1.0,1095.0,78.0,22.0,190.0,48.0,526.0,24.0,57.0,745.0,28.0,207.0,693.0,22.0,212.0,985.0,23.0,344.8,1.1,78.7
2022,광진구,352057.0,59.0,98.0,2.0,7.0,0.0,13.0,0.0,8.0,1.0,43.0,3.0,25.0,42.0,1.0,69.0,0.0,73.0,3.0,657.0,20.0,25.0,3.0,896.0,32.0,40.0,133.0,28.0,445.0,8.0,47.0,645.0,9.0,167.0,528.0,13.0,180.0,780.0,15.0,275.0,2.6,60.2
2023,광진구,351221.0,59.0,121.0,2.0,7.0,0.0,22.0,0.0,13.0,0.0,22.0,1.0,17.0,24.0,1.0,69.0,0.0,75.0,3.0,622.0,39.0,43.0,4.0,788.0,41.0,56.0,181.0,27.0,476.0,13.0,28.0,624.0,19.0,186.0,517.0,14.0,188.0,700.0,15.0,256.0,1.1,61.4
2024,광진구,349722.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2025,광진구,348660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2005,구로구,0.0,115.0,125.0,5.0,13.0,0.0,29.0,1.0,44.0,0.0,150.0,8.0,58.0,87.0,1.0,69.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,1012.0,31.0,373.0,1805.0,42.0,514.1,5.6,103.9
2006,구로구,0.0,116.0,58.0,0.0,23.0,0.0,33.0,0.0,27.0,0.0,179.0,10.0,67.0,105.0,1.0,59.0,2.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,1045.0,40.0,330.0,1802.0,53.0,495.2,5.0,99.3
2007,구로구,0.0,123.0,40.0,0.0,35.0,0.0,29.0,0.0,39.0,1.0,184.0,8.0,63.0,107.0,0.0,87.0,2.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,1126.0,39.0,337.0,1952.0,46.0,521.7,2.9,101.0
2008,구로구,449012.0,131.0,24.0,1.0,58.0,0.0,41.0,0.0,79.0,0.0,239.0,11.0,55.0,84.0,2.0,119.0,1.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,1106.0,52.0,454.0,1848.0,68.0,523.3,4.9,105.8
2009,구로구,449832.0,131.0,76.0,2.0,55.0,1.0,45.0,0.0,61.0,3.0,222.0,3.0,43.0,73.0,0.0,108.0,3.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,1096.0,53.0,470.0,1842.0,67.0,525.8,3.3,106.4
2010,구로구,449586.0,130.0,83.0,1.0,49.0,0.0,22.0,1.0,37.0,2.0,233.0,1.0,50.0,82.0,0.0,121.0,1.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,1108.0,48.0,434.0,1792.0,58.0,501.5,3.1,103.5
2011,구로구,455683.0,128.0,45.0,0.0,91.0,0.0,25.0,0.0,24.0,0.0,238.0,9.0,67.0,112.0,0.0,104.0,3.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,1065.0,62.0,442.0,1721.0,78.0,485.1,3.3,105.0
2012,구로구,457202.0,131.0,111.0,0.0,46.0,0.0,33.0,1.0,25.0,0.0,259.0,9.0,74.0,127.0,1.0,144.0,1.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,1072.0,59.0,494.0,1823.0,70.0,520.6,4.6,108.6
2013,구로구,453349.0,117.0,128.0,2.0,53.0,0.0,32.0,0.0,27.0,0.0,196.0,8.0,39.0,62.0,0.0,141.0,0.0,147.0,10.0,1240.0,102.0,61.0,13.0,1894.0,175.0,99.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,954.0,55.0,464.0,1653.0,67.0,478.8,4.2,94.6
2014,구로구,456758.0,130.0,189.0,5.0,33.0,1.0,22.0,0.0,14.0,0.0,210.0,6.0,45.0,67.0,0.0,194.0,2.0,220.0,11.0,1388.0,115.0,51.0,13.0,1945.0,194.0,71.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,1066.0,48.0,497.0,1667.0,60.0,482.4,4.2,102.2
2015,구로구,456525.0,125.0,161.0,5.0,27.0,0.0,22.0,0.0,37.0,2.0,204.0,7.0,55.0,94.0,0.0,170.0,1.0,183.0,4.0,1297.0,152.0,54.0,6.0,1846.0,213.0,80.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,1019.0,51.0,474.0,1618.0,54.0,467.9,4.2,97.4
2016,구로구,452283.0,125.0,164.0,2.0,22.0,0.0,24.0,0.0,64.0,0.0,176.0,3.0,32.0,48.0,0.0,179.0,2.0,189.0,7.0,1355.0,101.0,46.0,7.0,1931.0,133.0,75.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,1030.0,46.0,465.0,1628.0,55.0,475.8,2.0,96.3
2017,구로구,444622.0,119.0,119.0,3.0,25.0,0.0,21.0,0.0,39.0,2.0,175.0,4.0,61.0,101.0,0.0,128.0,2.0,130.0,11.0,1301.0,70.0,42.0,12.0,1772.0,110.0,64.0,241.0,82.0,897.0,35.0,99.0,1286.0,47.0,370.0,1015.0,48.0,399.0,1518.0,55.0,443.9,2.7,89.4
2018,구로구,439605.0,127.0,126.0,3.0,24.0,0.0,22.0,1.0,44.0,0.0,167.0,6.0,44.0,71.0,0.0,130.0,1.0,139.0,4.0,1375.0,108.0,34.0,7.0,1929.0,140.0,50.0,249.0,91.0,963.0,41.0,116.0,1384.0,52.0,376.0,1089.0,67.0,400.0,1662.0,80.0,485.5,3.0,95.6
