연도,자치구,거주인구,교통사고 발생건수,기타_부상자수,기타_사망자수,길가장자리구역통행중_부상자수,길가장자리구역통행중_사망자수,보도통행중_부상자수,보도통행중_사망자수,차도 통행중_부상자수,차도 통행중_사망자수,횡단중_부상자수,횡단중_사망자수,뺑소니_발생건수,뺑소니_부상자수,뺑소니_사망자수,자전거_발생건수,자전거_사망자수,자전거_부상자수,대중교통_승객수
2018,금천구,253119,77,137.0,0.0,5.0,0.0,10.0,0.0,19.0,2.0,104.0,3.0,36.0,46.0,0.0,47.0,0.0,50.0,0.0
2019,금천구,253248,76,136.0,1.0,7.0,1.0,20.0,0.0,12.0,0.0,95.0,3.0,30.0,40.0,0.0,73.0,1.0,84.0,0.0
2020,금천구,249850,67,119.0,1.0,6.0,0.0,11.0,0.0,6.0,0.0,136.0,2.0,30.0,40.0,0.0,63.0,1.0,72.0,0.0
2021,금천구,244756,68,117.0,3.0,5.0,0.0,9.0,1.0,2.0,1.0,51.0,3.0,17.0,24.0,0.0,50.0,1.0,53.0,595493.0
2022,금천구,244205,70,148.0,4.0,2.0,0.0,6.0,1.0,1.0,0.0,49.0,0.0,26.0,32.0,0.0,52.0,0.0,57.0,65283441.0
2023,금천구,242053,73,115.0,0.0,8.0,0.0,41.0,0.0,9.0,0.0,62.0,3.0,18.0,25.0,0.0,62.0,1.0,73.0,66972935.0
2024,금천구,239870,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66169966.0
2025,금천구,238431,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16349093.0
2005,노원구,0,143,118.0,1.0,8.0,0.0,23.0,2.0,72.0,0.0,192.0,5.0,61.0,94.0,1.0,124.0,1.0,124.0,0.0
2006,노원구,0,131,88.0,0.0,19.0,0.0,26.0,2.0,35.0,1.0,196.0,1.0,51.0,77.0,0.0,126.0,1.0,126.0,0.0
2007,노원구,0,142,42.0,1.0,29.0,0.0,35.0,2.0,65.0,2.0,236.0,5.0,56.0,75.0,3.0,140.0,1.0,146.0,0.0
2008,노원구,621066,145,113.0,1.0,12.0,0.0,30.0,0.0,64.0,2.0,252.0,7.0,73.0,112.0,1.0,136.0,2.0,142.0,0.0
2009,노원구,617906,152,127.0,1.0,25.0,0.0,34.0,0.0,67.0,5.0,240.0,5.0,68.0,116.0,0.0,200.0,1.0,204.0,0.0
2010,노원구,613710,140,123.0,3.0,14.0,1.0,37.0,0.0,56.0,1.0,238.0,6.0,65.0,99.0,2.0,154.0,1.0,160.0,0.0
2011,노원구,610225,127,37.0,0.0,32.0,0.0,36.0,0.0,78.0,0.0,280.0,8.0,41.0,85.0,1.0,141.0,1.0,142.0,0.0
2012,노원구,603977,135,86.0,1.0,33.0,0.0,26.0,0.0,39.0,1.0,252.0,8.0,43.0,66.0,0.0,166.0,2.0,173.0,0.0
2013,노원구,596954,126,112.0,1.0,34.0,1.0,14.0,1.0,31.0,1.0,216.0,1.0,29.0,41.0,0.0,169.0,0.0,178.0,0.0
2014,노원구,589074,126,198.0,6.0,8.0,0.0,21.0,0.0,30.0,1.0,184.0,3.0,39.0,52.0,0.0,213.0,1.0,220.0,0.0
2015,노원구,581684,121,111.0,0.0,27.0,1.0,27.0,0.0,43.0,0.0,199.0,4.0,43.0,71.0,0.0,225.0,5.0,238.0,0.0
2016,노원구,575074,127,84.0,2.0,22.0,0.0,24.0,0.0,32.0,0.0,244.0,4.0,32.0,60.0,0.0,188.0,2.0,194.0,0.0
2017,노원구,564037,124,93.0,1.0,18.0,0.0,19.0,1.0,46.0,2.0,217.0,1.0,19.0,27.0,0.0,148.0,0.0,158.0,0.0
2018,노원구,552052,130,115.0,2.0,19.0,0.0,29.0,1.0,54.0,2.0,175.0,5.0,27.0,48.0,1.0,161.0,1.0,166.0,0.0
2019,노원구,541305,141,129.0,2.0,19.0,0.0,33.0,0.0,60.0,1.0,189.0,3.0,49.0,62.0,0.0,210.0,0.0,220.0,0.0
2020,노원구,531275,121,83.0,0.0,9.0,0.0,35.0,0.0,47.0,1.0,105.0,3.0,49.0,62.0,0.0,216.0,1.0,229.0,0.0
2021,노원구,518553,117,89.0,0.0,9.0,0.0,23.0,0.0,36.0,1.0,131.0,1.0,29.0,40.0,0.0,203.0,0.0,228.0,938616.0
2022,노원구,511076,115,123.0,0.0,9.0,0.0,28.0,0.0,34.0,1.0,119.0,1.0,32.0,49.0,0.0,156.0,0.0,162.0,107270696.0
2023,노원구,504744,113,89.0,0.0,15.0,0.0,40.0,0.0,34.0,1.0,98.0,4.0,11.0,18.0,0.0,155.0,2.0,163.0,112105094.0
2024,노원구,499170,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117451742.0
2025,노원구,495111,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28097713.0
2005,도봉구,0,77,116.0,1.0,8.0,0.0,18.0,0.0,27.0,0.0,121.0,2.0,40.0,69.0,0.0,61.0,2.0,64.0,0.0
2006,도봉구,0,71,26.0,0.0,14.0,0.0,42.0,0.0,38.0,3.0,114.0,3.0,33.0,45.0,0.0,68.0,1.0,68.0,0.0
2007,도봉구,0,66,43.0,1.0,30.0,0.0,22.0,1.0,19.0,0.0,151.0,0.0,29.0,45.0,0.0,59.0,1.0,59.0,0.0
2008,도봉구,377690,86,43.0,1.0,25.0,1.0,26.0,0.0,50.0,1.0,184.0,10.0,33.0,55.0,2.0,103.0,0.0,107.0,0.0
2009,도봉구,374342,82,99.0,1.0,13.0,1.0,26.0,3.0,21.0,1.0,142.0,4.0,35.0,55.0,1.0,119.0,1.0,125.0,0.0
2010,도봉구,369781,81,108.0,2.0,16.0,0.0,20.0,2.0,47.0,0.0,114.0,1.0,33.0,67.0,1.0,104.0,2.0,105.0,0.0
2011,도봉구,369162,77,101.0,1.0,22.0,0.0,22.0,0.0,25.0,1.0,132.0,5.0,30.0,44.0,0.0,102.0,1.0,107.0,0.0
2012,도봉구,365638,81,107.0,3.0,29.0,0.0,16.0,0.0,25.0,3.0,150.0,4.0,29.0,42.0,0.0,130.0,2.0,129.0,0.0
2013,도봉구,362265,77,112.0,2.0,10.0,0.0,24.0,0.0,19.0,0.0,131.0,3.0,23.0,37.0,0.0,123.0,2.0,130.0,0.0
2014,도봉구,357832,76,127.0,5.0,16.0,0.0,17.0,0.0,15.0,0.0,131.0,6.0,13.0,16.0,1.0,140.0,2.0,143.0,0.0
2015,도봉구,354558,76,59.0,1.0,33.0,0.0,21.0,0.0,20.0,1.0,139.0,4.0,23.0,44.0,0.0,126.0,0.0,135.0,0.0
2016,도봉구,351552,79,113.0,2.0,19.0,0.0,12.0,0.0,20.0,3.0,141.0,4.0,23.0,40.0,0.0,143.0,2.0,150.0,0.0
2017,도봉구,347539,78,93.0,1.0,18.0,0.0,15.0,0.0,22.0,1.0,164.0,2.0,23.0,37.0,0.0,137.0,1.0,140.0,0.0
2018,도봉구,343444,68,107.0,3.0,14.0,0.0,9.0,0.0,24.0,0.0,132.0,2.0,14.0,22.0,0.0,102.0,1.0,103.0,0.0
2019,도봉구,338078,71,105.0,2.0,13.0,0.0,19.0,0.0,19.0,0.0,127.0,0.0,12.0,15.0,0.0,118.0,0.0,138.0,0.0
2020,도봉구,330475,61,78.0,1.0,7.0,0.0,13.0,0.0,19.0,1.0,75.0,2.0,12.0,15.0,0.0,96.0,1.0,103.0,0.0
2021,도봉구,321563,49,60.0,1.0,5.0,0.0,14.0,0.0,14.0,0.0,80.0,0.0,12.0,27.0,0.0,91.0,2.0,101.0,575012.0
2022,도봉구,315972,43,60.0,1.0,13.0,0.0,13.0,0.0,9.0,0.0,67.0,1.0,7.0,8.0,0.0,62.0,0.0,65.0,65646193.0
2023,도봉구,310967,44,58.0,1.0,6.0,0.0,5.0,0.0,7.0,1.0,57.0,3.0,9.0,9.0,0.0,73.0,1.0,77.0,67530479.0
2024,도봉구,307470,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70682725.0
2025,도봉구,305391,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17771559.0
2005,동대문구,0,141,121.0,3.0,17.0,0.0,22.0,2.0,32.0,2.0,226.0,7.0,58.0,75.0,0.0,97.0,3.0,98.0,0.0
2006,동대문구,0,145,137.0,3.0,19.0,0.0,19.0,1.0,35.0,2.0,241.0,6.0,70.0,105.0,0.0,108.0,3.0,108.0,0.0
2007,동대문구,0,146,156.0,2.0,11.0,0.0,32.0,1.0,19.0,0.0,243.0,8.0,72.0,122.0,0.0,112.0,3.0,120.0,0.0
2008,동대문구,384516,139,123.0,6.0,9.0,1.0,25.0,0.0,30.0,2.0,251.0,16.0,52.0,83.0,0.0,139.0,3.0,146.0,0.0
2009,동대문구,378336,165,155.0,5.0,19.0,1.0,42.0,0.0,42.0,2.0,264.0,12.0,62.0,95.0,0.0,218.0,2.0,223.0,0.0
2010,동대문구,374993,152,200.0,4.0,15.0,0.0,32.0,0.0,41.0,0.0,207.0,13.0,43.0,76.0,1.0,168.0,2.0,171.0,0.0
2011,동대문구,379792,148,200.0,1.0,11.0,0.0,24.0,0.0,65.0,2.0,190.0,3.0,45.0,69.0,0.0,168.0,0.0,174.0,0.0
2012,동대문구,377501,156,249.0,6.0,15.0,0.0,20.0,0.0,32.0,1.0,210.0,3.0,56.0,90.0,0.0,189.0,4.0,193.0,0.0
2013,동대문구,376489,164,319.0,4.0,12.0,0.0,16.0,0.0,23.0,1.0,173.0,5.0,44.0,61.0,2.0,232.0,2.0,238.0,0.0
2014,동대문구,375481,154,320.0,5.0,11.0,1.0,12.0,0.0,13.0,1.0,154.0,9.0,45.0,71.0,1.0,252.0,1.0,270.0,0.0
2015,동대문구,375057,173,310.0,3.0,22.0,0.0,19.0,0.0,26.0,0.0,217.0,5.0,45.0,68.0,0.0,277.0,1.0,286.0,0.0
2016,동대문구,371859,170,196.0,0.0,41.0,1.0,13.0,0.0,32.0,0.0,315.0,7.0,34.0,48.0,0.0,252.0,3.0,263.0,0.0
2017,동대문구,367831,143,198.0,7.0,35.0,0.0,23.0,1.0,34.0,1.0,226.0,5.0,40.0,53.0,0.0,208.0,2.0,214.0,0.0
2018,동대문구,364982,141,256.0,5.0,24.0,0.0,20.0,0.0,44.0,0.0,156.0,4.0,33.0,45.0,0.0,204.0,3.0,215.0,0.0
2019,동대문구,363291,130,213.0,2.0,14.0,0.0,23.0,0.0,45.0,1.0,143.0,3.0,29.0,39.0,0.0,185.0,2.0,198.0,0.0
2020,동대문구,359716,120,143.0,2.0,10.0,0.0,23.0,0.0,33.0,0.0,153.0,1.0,29.0,39.0,0.0,209.0,0.0,227.0,0.0
2021,동대문구,352115,115,153.0,2.0,7.0,0.0,26.0,0.0,30.0,2.0,86.0,7.0,24.0,31.0,0.0,189.0,4.0,193.0,823467.0
2022,동대문구,353029,127,193.0,0.0,14.0,0.0,32.0,1.0,52.0,1.0,130.0,0.0,18.0,21.0,0.0,197.0,1.0,206.0,97840816.0
2023,동대문구,357384,139,172.0,1.0,12.0,0.0,43.0,0.0,55.0,1.0,107.0,3.0,23.0,34.0,2.0,221.0,1.0,240.0,104373061.0
2024,동대문구,359524,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106320592.0
2025,동대문구,361950,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25967228.0
2005,동작구,0,99,100.0,1.0,24.0,1.0,18.0,0.0,42.0,0.0,139.0,3.0,32.0,47.0,1.0,20.0,0.0,20.0,0.0
2006,동작구,0,87,62.0,1.0,40.0,3.0,26.0,0.0,48.0,4.0,95.0,4.0,48.0,62.0,2.0,29.0,0.0,30.0,0.0
2007,동작구,0,90,79.0,1.0,30.0,0.0,14.0,0.0,36.0,2.0,111.0,6.0,49.0,84.0,0.0,31.0,0.0,32.0,0.0
2008,동작구,413675,80,43.0,0.0,29.0,0.0,27.0,0.0,45.0,1.0,123.0,4.0,38.0,61.0,0.0,42.0,1.0,43.0,0.0
2009,동작구,410426,102,111.0,0.0,34.0,0.0,19.0,0.0,41.0,0.0,136.0,7.0,42.0,73.0,0.0,68.0,0.0,71.0,0.0
2010,동작구,409653,94,129.0,1.0,20.0,0.0,16.0,0.0,29.0,0.0,117.0,5.0,44.0,68.0,0.0,60.0,0.0,63.0,0.0
2011,동작구,414252,99,208.0,2.0,16.0,0.0,20.0,0.0,24.0,1.0,111.0,5.0,69.0,88.0,1.0,67.0,0.0,69.0,0.0
2012,동작구,414560,104,196.0,5.0,11.0,0.0,15.0,0.0,15.0,0.0,125.0,2.0,59.0,84.0,1.0,78.0,0.0,83.0,0.0
2013,동작구,420739,102,179.0,5.0,25.0,0.0,24.0,0.0,12.0,0.0,123.0,4.0,33.0,62.0,0.0,108.0,1.0,121.0,0.0
2014,동작구,421197,116,241.0,4.0,22.0,0.0,15.0,0.0,18.0,0.0,128.0,4.0,37.0,55.0,1.0,152.0,2.0,170.0,0.0
2015,동작구,416588,115,91.0,0.0,73.0,0.0,28.0,0.0,51.0,1.0,172.0,0.0,36.0,55.0,0.0,160.0,0.0,177.0,0.0
2016,동작구,413689,122,145.0,1.0,84.0,0.0,17.0,0.0,20.0,1.0,204.0,6.0,21.0,28.0,0.0,123.0,2.0,146.0,0.0
2017,동작구,410733,117,160.0,2.0,39.0,0.0,25.0,1.0,35.0,2.0,143.0,6.0,26.0,47.0,0.0,112.0,1.0,134.0,0.0
2018,동작구,407825,117,141.0,3.0,38.0,0.0,20.0,0.0,57.0,2.0,169.0,4.0,18.0,31.0,1.0,114.0,0.0,126.0,0.0
2019,동작구,410857,117,149.0,1.0,30.0,0.0,28.0,0.0,77.0,0.0,139.0,2.0,18.0,44.0,0.0,95.0,0.0,115.0,0.0
2020,동작구,405191,108,138.0,2.0,24.0,1.0,24.0,0.0,27.0,0.0,104.0,3.0,18.0,44.0,0.0,126.0,0.0,150.0,0.0
2021,동작구,396480,95,158.0,4.0,9.0,0.0,23.0,0.0,21.0,2.0,81.0,2.0,26.0,39.0,0.0,89.0,1.0,101.0,971233.0
2022,동작구,393184,101,171.0,0.0,19.0,0.0,23.0,0.0,28.0,4.0,68.0,1.0,17.0,27.0,0.0,93.0,0.0,104.0,113578826.0
2023,동작구,390418,103,162.0,2.0,10.0,0.0,31.0,0.0,43.0,0.0,93.0,3.0,18.0,25.0,0.0,82.0,0.0,90.0,117226430.0
2024,동작구,388565,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121281195.0
2025,동작구,386897,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30701581.0
2005,마포구,0,129,117.0,3.0,15.0,0.0,45.0,0.0,37.0,0.0,127.0,9.0,106.0,151.0,1.0,49.0,1.0,49.0,0.0
2006,마포구,0,132,37.0,1.0,30.0,0.0,37.0,1.0,91.0,1.0,146.0,6.0,113.0,195.0,0.0,74.0,2.0,74.0,0.0
2007,마포구,0,119,13.0,0.0,35.0,1.0,26.0,1.0,116.0,0.0,136.0,6.0,84.0,136.0,0.0,59.0,1.0,59.0,0.0
2008,마포구,397842,139,64.0,1.0,66.0,0.0,39.0,0.0,50.0,0.0,169.0,6.0,55.0,93.0,0.0,115.0,0.0,119.0,0.0
2009,마포구,393586,138,145.0,1.0,39.0,0.0,23.0,0.0,49.0,3.0,172.0,6.0,57.0,110.0,0.0,99.0,4.0,102.0,0.0
2010,마포구,394312,143,169.0,5.0,11.0,0.0,23.0,0.0,38.0,2.0,191.0,4.0,81.0,146.0,3.0,117.0,0.0,122.0,0.0
2011,마포구,400863,135,159.0,3.0,19.0,0.0,21.0,0.0,47.0,2.0,161.0,8.0,67.0,128.0,1.0,106.0,1.0,114.0,0.0
2012,마포구,395821,130,191.0,10.0,11.0,0.0,22.0,0.0,28.0,2.0,141.0,0.0,74.0,111.0,1.0,159.0,3.0,166.0,0.0
2013,마포구,392671,145,224.0,6.0,23.0,0.0,20.0,0.0,36.0,1.0,151.0,7.0,83.0,120.0,1.0,160.0,0.0,183.0,0.0
2014,마포구,391952,146,271.0,4.0,16.0,0.0,31.0,0.0,36.0,0.0,117.0,8.0,87.0,133.0,1.0,149.0,3.0,156.0,0.0
2015,마포구,399490,150,212.0,4.0,37.0,0.0,25.0,0.0,54.0,1.0,168.0,3.0,65.0,111.0,1.0,213.0,1.0,219.0,0.0
2016,마포구,394478,147,147.0,1.0,30.0,0.0,19.0,0.0,94.0,4.0,166.0,3.0,56.0,79.0,0.0,149.0,0.0,160.0,0.0
2017,마포구,387945,154,229.0,0.0,21.0,0.0,30.0,0.0,63.0,2.0,149.0,5.0,53.0,80.0,1.0,113.0,0.0,119.0,0.0
2018,마포구,385630,139,178.0,1.0,22.0,0.0,21.0,0.0,50.0,0.0,145.0,3.0,42.0,61.0,0.0,91.0,1.0,95.0,0.0
2019,마포구,386021,124,200.0,1.0,7.0,0.0,20.0,0.0,33.0,1.0,115.0,2.0,31.0,51.0,0.0,106.0,0.0,114.0,0.0
2020,마포구,384098,106,157.0,0.0,5.0,1.0,15.0,1.0,26.0,2.0,91.0,5.0,31.0,51.0,0.0,115.0,1.0,130.0,0.0
2021,마포구,379102,91,102.0,3.0,12.0,0.0,21.0,0.0,28.0,1.0,69.0,2.0,33.0,38.0,1.0,107.0,1.0,130.0,1292326.0
2022,마포구,377141,88,113.0,1.0,13.0,0.0,23.0,0.0,27.0,1.0,73.0,5.0,45.0,67.0,0.0,105.0,1.0,119.0,155648323.0
2023,마포구,375907,104,130.0,2.0,14.0,0.0,34.0,0.0,27.0,1.0,74.0,2.0,74.0,105.0,0.0,84.0,2.0,88.0,170206303.0
2024,마포구,373890,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179228185.0
2025,마포구,371852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44892263.0
2005,서대문구,0,87,88.0,3.0,14.0,0.0,22.0,0.0,35.0,0.0,121.0,9.0,49.0,67.0,0.0,22.0,1.0,22.0,0.0
2006,서대문구,0,77,31.0,0.0,38.0,1.0,21.0,0.0,58.0,0.0,134.0,5.0,31.0,52.0,0.0,16.0,0.0,16.0,0.0
2007,서대문구,0,85,8.0,0.0,66.0,1.0,9.0,0.0,70.0,3.0,147.0,6.0,40.0,55.0,0.0,25.0,0.0,25.0,0.0
2008,서대문구,348362,90,54.0,1.0,38.0,0.0,25.0,0.0,68.0,3.0,145.0,6.0,36.0,64.0,1.0,33.0,1.0,33.0,0.0
2009,서대문구,337699,102,103.0,4.0,30.0,0.0,20.0,0.0,46.0,2.0,153.0,8.0,40.0,72.0,3.0,48.0,1.0,49.0,0.0
2010,서대문구,334163,95,114.0,1.0,24.0,0.0,29.0,2.0,31.0,0.0,157.0,7.0,37.0,53.0,1.0,45.0,2.0,44.0,0.0
2011,서대문구,328001,88,130.0,3.0,17.0,0.0,24.0,0.0,27.0,4.0,153.0,4.0,33.0,52.0,0.0,33.0,0.0,34.0,0.0
2012,서대문구,322503,86,132.0,3.0,17.0,0.0,25.0,0.0,21.0,0.0,124.0,1.0,40.0,62.0,0.0,37.0,0.0,38.0,0.0
2013,서대문구,325401,90,130.0,4.0,8.0,0.0,35.0,0.0,36.0,1.0,126.0,5.0,30.0,51.0,0.0,52.0,0.0,55.0,0.0
2014,서대문구,322987,93,151.0,1.0,16.0,0.0,18.0,0.0,32.0,3.0,151.0,5.0,29.0,39.0,0.0,64.0,1.0,67.0,0.0
2015,서대문구,319808,89,207.0,1.0,18.0,1.0,16.0,1.0,28.0,1.0,104.0,3.0,32.0,48.0,0.0,72.0,0.0,75.0,0.0
2016,서대문구,326522,94,128.0,2.0,8.0,1.0,12.0,0.0,68.0,2.0,104.0,6.0,29.0,40.0,1.0,65.0,2.0,69.0,0.0
2017,서대문구,326270,86,98.0,1.0,25.0,0.0,25.0,0.0,35.0,0.0,141.0,4.0,20.0,31.0,0.0,60.0,0.0,63.0,0.0
2018,서대문구,323427,86,107.0,0.0,17.0,0.0,18.0,0.0,46.0,1.0,153.0,3.0,15.0,32.0,0.0,55.0,0.0,64.0,0.0
2019,서대문구,324042,92,121.0,2.0,10.0,0.0,21.0,0.0,38.0,2.0,134.0,4.0,20.0,24.0,1.0,69.0,1.0,73.0,0.0
2020,서대문구,324227,77,81.0,4.0,10.0,0.0,16.0,0.0,24.0,1.0,133.0,3.0,20.0,24.0,1.0,62.0,1.0,65.0,0.0
2021,서대문구,317146,77,70.0,0.0,6.0,0.0,17.0,0.0,36.0,0.0,99.0,3.0,25.0,41.0,0.0,60.0,0.0,60.0,840809.0
2022,서대문구,317825,81,93.0,1.0,11.0,0.0,20.0,1.0,35.0,0.0,96.0,1.0,26.0,38.0,0.0,69.0,0.0,72.0,100581070.0
2023,서대문구,321425,76,71.0,1.0,18.0,0.0,19.0,0.0,17.0,0.0,102.0,0.0,22.0,29.0,0.0,43.0,0.0,46.0,107958673.0
2024,서대문구,319689,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107540691.0
2025,서대문구,318085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25709361.0
2005,서초구,0,130,92.0,2.0,5.0,0.0,26.0,0.0,39.0,4.0,113.0,3.0,109.0,188.0,0.0,26.0,0.0,30.0,0.0
2006,서초구,0,135,96.0,2.0,18.0,0.0,24.0,0.0,33.0,1.0,115.0,5.0,97.0,164.0,0.0,24.0,0.0,25.0,0.0
2007,서초구,0,148,81.0,1.0,31.0,0.0,37.0,2.0,58.0,1.0,124.0,5.0,89.0,138.0,0.0,31.0,0.0,32.0,0.0
2008,서초구,412307,165,105.0,2.0,25.0,0.0,34.0,0.0,89.0,1.0,116.0,3.0,103.0,152.0,1.0,56.0,0.0,57.0,0.0
2009,서초구,425026,185,160.0,2.0,13.0,0.0,27.0,1.0,77.0,0.0,157.0,8.0,124.0,180.0,1.0,46.0,1.0,49.0,0.0
2010,서초구,434951,179,175.0,4.0,24.0,1.0,58.0,1.0,46.0,1.0,166.0,8.0,103.0,172.0,1.0,75.0,0.0,82.0,0.0
2011,서초구,439074,170,226.0,3.0,18.0,0.0,41.0,0.0,35.0,1.0,162.0,4.0,115.0,178.0,0.0,73.0,0.0,78.0,0.0
2012,서초구,441002,174,270.0,7.0,18.0,0.0,39.0,0.0,30.0,1.0,173.0,5.0,98.0,155.0,0.0,91.0,0.0,98.0,0.0
2013,서초구,444027,171,304.0,2.0,16.0,0.0,30.0,2.0,28.0,0.0,129.0,4.0,87.0,138.0,0.0,81.0,0.0,85.0,0.0
2014,서초구,450996,184,301.0,2.0,20.0,0.0,46.0,0.0,22.0,0.0,178.0,3.0,119.0,176.0,0.0,128.0,1.0,135.0,0.0
2015,서초구,452251,180,157.0,3.0,59.0,0.0,53.0,2.0,27.0,2.0,205.0,4.0,69.0,113.0,1.0,120.0,0.0,131.0,0.0
2016,서초구,450618,192,197.0,4.0,46.0,0.0,42.0,1.0,74.0,1.0,109.0,3.0,61.0,87.0,1.0,112.0,0.0,114.0,0.0
2017,서초구,447706,196,207.0,1.0,39.0,0.0,35.0,0.0,59.0,3.0,221.0,9.0,61.0,95.0,1.0,63.0,0.0,64.0,0.0
2018,서초구,442213,206,226.0,3.0,28.0,0.0,40.0,0.0,62.0,0.0,181.0,6.0,73.0,105.0,0.0,78.0,0.0,80.0,0.0
2019,서초구,435750,201,219.0,6.0,22.0,0.0,33.0,1.0,42.0,1.0,153.0,2.0,58.0,124.0,1.0,80.0,0.0,87.0,0.0
2020,서초구,431720,187,188.0,2.0,19.0,0.0,40.0,1.0,47.0,1.0,119.0,2.0,58.0,124.0,1.0,119.0,1.0,126.0,0.0
2021,서초구,420872,176,186.0,6.0,14.0,0.0,45.0,0.0,40.0,0.0,101.0,1.0,77.0,96.0,0.0,101.0,0.0,112.0,1658704.0
2022,서초구,410667,188,201.0,1.0,28.0,0.0,30.0,0.0,63.0,1.0,123.0,2.0,78.0,114.0,1.0,86.0,1.0,95.0,194508282.0
2023,서초구,410144,180,146.0,1.0,34.0,0.0,44.0,0.0,51.0,1.0,105.0,1.0,137.0,194.0,0.0,81.0,0.0,87.0,204270647.0
2024,서초구,412480,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212984352.0
2025,서초구,412715,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54051330.0
2005,성동구,0,95,109.0,3.0,9.0,0.0,10.0,0.0,23.0,0.0,104.0,2.0,61.0,83.0,1.0,62.0,2.0,70.0,0.0
2006,성동구,0,87,41.0,2.0,12.0,0.0,24.0,0.0,36.0,1.0,124.0,3.0,43.0,73.0,1.0,59.0,0.0,60.0,0.0
2007,성동구,0,98,26.0,1.0,10.0,0.0,22.0,0.0,30.0,0.0,149.0,9.0,29.0,39.0,0.0,80.0,0.0,81.0,0.0
2008,성동구,332572,95,71.0,4.0,7.0,0.0,17.0,1.0,33.0,1.0,123.0,1.0,24.0,34.0,1.0,103.0,2.0,106.0,0.0
2009,성동구,318155,105,109.0,2.0,13.0,0.0,19.0,0.0,26.0,0.0,112.0,1.0,37.0,65.0,2.0,118.0,2.0,123.0,0.0
2010,성동구,315419,91,114.0,2.0,6.0,0.0,11.0,0.0,18.0,1.0,86.0,2.0,19.0,32.0,0.0,114.0,3.0,112.0,0.0
2011,성동구,312149,96,140.0,3.0,7.0,0.0,7.0,0.0,14.0,1.0,98.0,3.0,37.0,55.0,0.0,131.0,2.0,133.0,0.0
2012,성동구,307531,82,130.0,1.0,2.0,0.0,14.0,0.0,15.0,0.0,62.0,3.0,23.0,35.0,0.0,112.0,0.0,130.0,0.0
2013,성동구,308200,91,163.0,3.0,12.0,0.0,6.0,0.0,3.0,0.0,82.0,2.0,25.0,29.0,0.0,137.0,0.0,152.0,0.0
2014,성동구,305733,99,189.0,3.0,4.0,0.0,20.0,0.0,7.0,0.0,103.0,1.0,26.0,41.0,0.0,177.0,1.0,192.0,0.0
2015,성동구,305298,102,155.0,0.0,15.0,0.0,17.0,0.0,10.0,0.0,134.0,3.0,29.0,56.0,0.0,203.0,1.0,233.0,0.0
2016,성동구,305689,91,113.0,3.0,19.0,1.0,18.0,1.0,16.0,0.0,117.0,4.0,15.0,29.0,0.0,147.0,1.0,160.0,0.0
2017,성동구,312179,89,84.0,1.0,22.0,0.0,12.0,0.0,13.0,0.0,118.0,2.0,7.0,14.0,0.0,119.0,3.0,125.0,0.0
2018,성동구,316069,95,126.0,1.0,20.0,0.0,16.0,0.0,12.0,0.0,103.0,4.0,24.0,44.0,0.0,116.0,2.0,123.0,0.0
2019,성동구,311967,90,79.0,2.0,30.0,0.0,15.0,1.0,23.0,1.0,79.0,4.0,11.0,21.0,0.0,133.0,1.0,141.0,0.0
2020,성동구,303811,93,78.0,0.0,24.0,0.0,34.0,1.0,28.0,0.0,84.0,4.0,11.0,21.0,0.0,167.0,1.0,187.0,0.0
