자치구,년월,버스승객수,발생건수,사망자수,부상자수
강동구,'2022.11,2404454,96,1,123
강동구,'2022.12,2415809,103,0,154
강동구,'2023.01,2185350,94,1,125
강동구,'2023.02,2177209,83,0,108
강동구,'2023.03,2462669,73,1,85
강동구,'2023.04,2344931,91,0,118
강동구,'2023.05,2385081,111,0,137
강동구,'2023.06,2414026,105,0,131
강동구,'2023.07,2469451,114,1,156
강동구,'2023.08,2444524,100,1,129
강동구,'2023.09,2337689,109,0,143
강동구,'2023.10,2531093,92,0,129
강동구,'2023.11,2709302,113,0,138
강동구,'2023.12,2731478,100,0,123
강동구,'2024.01,2651560,70,0,93
강동구,'2024.02,2464307,105,0,140
강동구,'2024.03,2785813,117,1,150
강동구,'2024.04,2804514,99,1,169
강동구,'2024.05,2857823,121,2,167
강동구,'2024.06,2771711,143,1,193
강동구,'2024.07,2979737,121,1,156
강동구,'2024.08,3295480,132,0,188
강동구,'2024.09,3121211,126,1,168
강동구,'2024.10,3305270,138,0,176
강동구,'2024.11,3282513,133,1,166
강동구,'2024.12,3310437,123,1,155
강동구,'2025.01,2720632,0,0,0
강동구,'2025.02,2991430,0,0,0
강동구,'2025.03,3265672,0,0,0
강동구,'2025.04,607131,0,0,0
강북구,'2017.01,0,90,0,126
강북구,'2017.02,0,77,1,109
강북구,'2017.03,0,111,2,138
강북구,'2017.04,0,88,1,108
강북구,'2017.05,0,90,1,128
강북구,'2017.06,0,97,0,129
강북구,'2017.07,0,103,0,125
강북구,'2017.08,0,104,0,145
강북구,'2017.09,0,107,0,143
강북구,'2017.10,0,139,3,167
강북구,'2017.11,0,109,0,136
강북구,'2017.12,0,87,1,113
강북구,'2018.01,0,102,0,160
강북구,'2018.02,0,103,2,139
강북구,'2018.03,0,96,1,135
강북구,'2018.04,0,99,1,136
강북구,'2018.05,0,125,0,158
강북구,'2018.06,0,93,1,118
강북구,'2018.07,0,89,3,133
강북구,'2018.08,0,102,1,136
강북구,'2018.09,0,104,0,129
강북구,'2018.10,0,107,2,128
강북구,'2018.11,0,97,1,123
강북구,'2018.12,0,99,1,138
강북구,'2019.01,0,88,0,114
강북구,'2019.02,0,76,0,107
강북구,'2019.03,0,119,1,156
강북구,'2019.04,0,112,1,151
강북구,'2019.05,0,116,0,153
강북구,'2019.06,0,117,1,153
강북구,'2019.07,0,88,0,108
강북구,'2019.08,0,125,1,173
강북구,'2019.09,0,112,1,163
강북구,'2019.10,0,114,1,148
강북구,'2019.11,0,115,1,149
강북구,'2019.12,0,95,0,131
강북구,'2020.01,0,89,0,121
강북구,'2020.02,0,103,1,128
강북구,'2020.03,0,92,0,126
강북구,'2020.04,0,79,1,95
강북구,'2020.05,0,98,0,119
강북구,'2020.06,0,99,0,131
강북구,'2020.07,0,86,0,118
강북구,'2020.08,0,83,0,114
강북구,'2020.09,0,104,0,131
강북구,'2020.10,0,96,0,124
강북구,'2020.11,0,79,1,107
강북구,'2020.12,0,79,0,106
강북구,'2021.01,0,100,0,128
강북구,'2021.02,0,87,1,105
강북구,'2021.03,0,74,2,94
강북구,'2021.04,0,93,0,113
강북구,'2021.05,0,90,0,115
강북구,'2021.06,0,79,0,109
강북구,'2021.07,0,83,1,119
강북구,'2021.08,0,81,0,99
강북구,'2021.09,0,64,1,79
강북구,'2021.10,0,80,0,108
강북구,'2021.11,0,92,0,121
강북구,'2021.12,0,94,1,112
강북구,'2022.01,4466101,78,0,97
강북구,'2022.02,3894539,82,0,107
강북구,'2022.03,4382599,57,0,72
강북구,'2022.04,4785049,73,1,85
강북구,'2022.05,5147671,97,0,119
강북구,'2022.06,4919266,83,0,100
강북구,'2022.07,5215973,102,0,125
강북구,'2022.08,5106499,94,0,112
강북구,'2022.09,4873737,90,1,104
강북구,'2022.10,5174051,103,2,122
강북구,'2022.11,4988520,97,1,115
강북구,'2022.12,5065117,88,1,108
강북구,'2023.01,4586229,82,1,100
강북구,'2023.02,4478062,53,0,64
강북구,'2023.03,5176318,75,1,101
강북구,'2023.04,4960239,83,1,101
강북구,'2023.05,5139135,87,0,107
강북구,'2023.06,5016733,82,1,109
강북구,'2023.07,5063681,68,0,85
강북구,'2023.08,4966788,91,1,114
강북구,'2023.09,4858943,95,0,111
강북구,'2023.10,4910467,89,0,106
강북구,'2023.11,4904231,81,0,109
강북구,'2023.12,4940914,86,0,110
강북구,'2024.01,4705349,67,0,84
강북구,'2024.02,4412051,62,0,72
강북구,'2024.03,4996712,77,1,109
강북구,'2024.04,5037674,76,0,99
강북구,'2024.05,5194683,73,2,99
강북구,'2024.06,4948882,68,0,78
강북구,'2024.07,5153049,72,0,99
강북구,'2024.08,5171476,70,0,84
강북구,'2024.09,5068537,75,1,101
강북구,'2024.10,5318977,78,1,99
강북구,'2024.11,5238711,91,0,110
강북구,'2024.12,5266874,68,0,89
강북구,'2025.01,4373524,0,0,0
강북구,'2025.02,4577064,0,0,0
강북구,'2025.03,5220422,0,0,0
강북구,'2025.04,996758,0,0,0
강서구,'2017.01,0,155,1,237
강서구,'2017.02,0,112,1,154
강서구,'2017.03,0,140,1,174
강서구,'2017.04,0,146,0,201
강서구,'2017.05,0,121,0,156
강서구,'2017.06,0,147,3,183
강서구,'2017.07,0,136,1,192
강서구,'2017.08,0,129,2,189
강서구,'2017.09,0,128,2,166
강서구,'2017.10,0,137,0,195
강서구,'2017.11,0,114,0,159
강서구,'2017.12,0,119,1,149
강서구,'2018.01,0,134,3,210
강서구,'2018.02,0,134,0,177
강서구,'2018.03,0,109,0,164
강서구,'2018.04,0,124,0,206
강서구,'2018.05,0,103,1,155
강서구,'2018.06,0,131,2,189
강서구,'2018.07,0,115,0,173
강서구,'2018.08,0,141,2,228
강서구,'2018.09,0,116,1,169
강서구,'2018.10,0,122,0,156
강서구,'2018.11,0,146,0,208
강서구,'2018.12,0,127,2,173
강서구,'2019.01,0,136,1,179
강서구,'2019.02,0,131,0,165
강서구,'2019.03,0,144,2,194
강서구,'2019.04,0,140,2,189
강서구,'2019.05,0,153,5,230
강서구,'2019.06,0,143,1,206
강서구,'2019.07,0,147,0,185
강서구,'2019.08,0,189,1,260
강서구,'2019.09,0,162,1,237
강서구,'2019.10,0,167,4,214
강서구,'2019.11,0,162,1,226
강서구,'2019.12,0,155,2,206
강서구,'2020.01,0,135,2,193
강서구,'2020.02,0,128,1,163
강서구,'2020.03,0,123,2,172
강서구,'2020.04,0,124,1,180
강서구,'2020.05,0,158,3,204
강서구,'2020.06,0,137,2,188
강서구,'2020.07,0,128,1,173
강서구,'2020.08,0,129,2,169
강서구,'2020.09,0,150,1,214
강서구,'2020.10,0,130,2,175
강서구,'2020.11,0,133,0,175
강서구,'2020.12,0,100,0,125
강서구,'2021.01,0,107,0,144
강서구,'2021.02,0,92,1,131
강서구,'2021.03,0,116,0,154
강서구,'2021.04,0,126,2,171
강서구,'2021.05,0,141,1,186
강서구,'2021.06,0,144,1,184
강서구,'2021.07,0,149,1,192
강서구,'2021.08,0,117,3,187
강서구,'2021.09,0,121,1,154
강서구,'2021.10,0,130,2,183
강서구,'2021.11,0,131,1,181
강서구,'2021.12,0,127,0,175
강서구,'2022.01,4287110,140,2,183
강서구,'2022.02,3727510,116,1,139
강서구,'2022.03,4165953,112,0,147
강서구,'2022.04,4550713,135,3,169
강서구,'2022.05,4875536,154,3,209
강서구,'2022.06,4764240,155,1,204
강서구,'2022.07,5095909,143,3,176
강서구,'2022.08,5081768,126,1,168
강서구,'2022.09,4629392,131,1,175
강서구,'2022.10,4924458,133,0,172
강서구,'2022.11,4827409,125,0,171
강서구,'2022.12,4937327,136,0,195
강서구,'2023.01,4479207,112,0,149
강서구,'2023.02,4440861,106,0,157
강서구,'2023.03,5009225,112,4,156
강서구,'2023.04,4770622,139,1,191
강서구,'2023.05,4876774,134,0,185
강서구,'2023.06,4894939,133,0,204
강서구,'2023.07,5010174,121,2,175
강서구,'2023.08,4943601,128,1,175
강서구,'2023.09,4668096,153,1,199
강서구,'2023.10,4672275,135,0,169
강서구,'2023.11,4796175,126,0,179
강서구,'2023.12,4837112,119,0,173
강서구,'2024.01,4658174,103,3,135
강서구,'2024.02,4326952,105,0,154
강서구,'2024.03,4837596,122,1,166
강서구,'2024.04,4850463,118,1,141
강서구,'2024.05,4936754,150,0,191
강서구,'2024.06,4797208,121,0,160
강서구,'2024.07,5154291,133,1,166
강서구,'2024.08,5079774,144,0,178
강서구,'2024.09,4751231,137,1,178
강서구,'2024.10,5007720,146,1,185
강서구,'2024.11,5002935,135,4,179
강서구,'2024.12,5085719,124,0,168
강서구,'2025.01,4180595,0,0,0
강서구,'2025.02,4523654,0,0,0
강서구,'2025.03,4960620,0,0,0
강서구,'2025.04,973981,0,0,0
관악구,'2017.01,0,105,3,136
관악구,'2017.02,0,92,1,123
관악구,'2017.03,0,115,2,157
관악구,'2017.04,0,101,0,131
관악구,'2017.05,0,108,0,151
