구,연도,눈_발생건수,맑음_발생건수,비_발생건수,흐림_발생건수,눈_사상자수,맑음_사상자수,비_사상자수,흐림_사상자수,화재_소계,거주인구,버스계_발생건수,승용계_발생건수,화물계_발생건수,버스계_사상자수,승용계_사상자수,화물계_사상자수,차대사람_발생건수,차대차_발생건수,차량단독_발생건수,차대사람_사상자수,차대차_사상자수,차량단독_사상자수,인구 10만명당 부상자수 (명),인구 10만명당 사망자수 (명),자동차 1만대당 발생건수 (건)
강동구,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,5940414.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,970.0,50.0,453.0,1525.0,69.0,411.8,3.7,92.8
강동구,2013,14.0,1168.0,93.0,63.0,32.0,1651.0,143.0,99.0,216.0,5879226.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,915.0,39.0,430.0,1476.0,48.0,398.0,2.5,86.3
강동구,2014,7.0,1290.0,84.0,51.0,14.0,1788.0,133.0,78.0,231.0,5810301.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,963.0,27.0,474.0,1521.0,33.0,418.4,2.9,91.6
강동구,2015,5.0,1308.0,107.0,66.0,5.0,1886.0,165.0,87.0,244.0,5633358.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0,963.0,52.0,503.0,1590.0,59.0,459.5,5.0,96.6
강동구,2016,6.0,1243.0,107.0,60.0,7.0,1715.0,158.0,81.0,291.0,5447892.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,959.0,41.0,441.0,1489.0,44.0,436.4,3.8,93.3
강동구,2017,5.0,1177.0,80.0,109.0,7.0,1651.0,105.0,129.0,243.0,5380236.0,66.0,872.0,44.0,107.0,1236.0,72.0,427.0,906.0,38.0,468.0,1374.0,50.0,425.3,4.3,89.6
강동구,2018,10.0,1239.0,97.0,67.0,11.0,1687.0,119.0,110.0,311.0,5226561.0,76.0,917.0,40.0,124.0,1307.0,50.0,394.0,978.0,46.0,414.0,1465.0,55.0,445.0,2.8,93.5
강동구,2019,3.0,1222.0,98.0,89.0,3.0,1676.0,128.0,111.0,238.0,5187180.0,88.0,866.0,40.0,122.0,1198.0,73.0,437.0,944.0,33.0,461.0,1424.0,36.0,433.7,2.5,90.5
강동구,2020,1.0,1133.0,94.0,39.0,1.0,1432.0,118.0,55.0,207.0,5534586.0,62.0,774.0,32.0,87.0,980.0,49.0,342.0,890.0,36.0,355.0,1211.0,41.0,344.8,1.5,75.9
강동구,2021,14.0,949.0,55.0,27.0,22.0,1276.0,70.0,52.0,193.0,5617134.0,41.0,658.0,39.0,58.0,929.0,55.0,242.0,788.0,17.0,248.0,1154.0,20.0,302.9,1.9,61.7
강동구,2022,4.0,1037.0,69.0,29.0,11.0,1396.0,98.0,40.0,164.0,5577360.0,45.0,761.0,47.0,56.0,1065.0,71.0,262.0,865.0,24.0,268.0,1261.0,31.0,334.7,1.5,67.5
강동구,2023,6.0,1064.0,69.0,38.0,9.0,1366.0,91.0,50.0,150.0,5558409.0,73.0,782.0,34.0,87.0,1036.0,48.0,291.0,873.0,21.0,306.0,1196.0,24.0,328.5,0.9,69.1
강북구,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,753.0,20.0,396.0,1205.0,23.0,452.0,5.1,124.4
강북구,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,839.0,26.0,419.0,1337.0,28.0,505.4,2.0,137.4
강북구,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,845.0,34.0,420.0,1345.0,38.0,513.9,3.2,137.8
강북구,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,4157286.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,916.0,54.0,428.0,1411.0,60.0,545.8,3.5,149.6
강북구,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,4138104.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,914.0,39.0,471.0,1453.0,45.0,566.7,5.8,151.0
강북구,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,4142535.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,813.0,34.0,485.0,1272.0,39.0,508.6,4.6,137.4
강북구,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,4190241.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,784.0,28.0,395.0,1227.0,33.0,472.6,2.0,124.1
강북구,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,4178373.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,784.0,49.0,402.0,1229.0,58.0,484.9,2.6,125.6
강북구,2013,8.0,860.0,85.0,152.0,10.0,1190.0,112.0,220.0,220.0,4127877.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,678.0,30.0,424.0,1074.0,37.0,446.0,2.9,115.0
강북구,2014,6.0,967.0,93.0,245.0,8.0,1333.0,111.0,331.0,181.0,4076061.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,842.0,48.0,445.0,1288.0,52.0,523.9,3.5,136.0
강북구,2015,1.0,1025.0,92.0,142.0,1.0,1384.0,131.0,177.0,163.0,4035768.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,787.0,49.0,466.0,1178.0,56.0,503.6,4.8,129.5
